iter	Logloss
0	0.6825775225
1	0.6716216351
2	0.6608384552
3	0.6500694794
4	0.6396616328
5	0.6295132708
6	0.6192645043
7	0.6093295277
8	0.6003030913
9	0.5913967784
10	0.5831650663
11	0.5749015282
12	0.5665047433
13	0.5574143514
14	0.5492862502
15	0.5414810808
16	0.5334358728
17	0.5261414168
18	0.5183305481
19	0.5104939882
20	0.5036100048
21	0.4972681773
22	0.4909453741
23	0.4851964912
24	0.4789427073
25	0.4735015086
26	0.467506251
27	0.4624315847
28	0.4573611128
29	0.452186747
30	0.4469051064
31	0.441856568
32	0.4372562777
33	0.4325601978
34	0.4273846483
35	0.4231292434
36	0.4188319996
37	0.4149902516
38	0.4101018975
39	0.4061766542
40	0.4017534801
41	0.3976891679
42	0.394002028
43	0.3905346447
44	0.3865511363
45	0.3832314144
46	0.3803795395
47	0.3771436877
48	0.373993437
49	0.3711030272
50	0.3677947926
51	0.3651839004
52	0.3625958375
53	0.3604108795
54	0.3580258942
55	0.3549476823
56	0.3527974732
57	0.3504340944
58	0.3481174954
59	0.3452633802
60	0.3429899787
61	0.3408473282
62	0.3380687586
63	0.3353932332
64	0.3332081039
65	0.3310393469
66	0.3287764794
67	0.327035385
68	0.325361244
69	0.323053665
70	0.3213828511
71	0.3199280172
72	0.3181509298
73	0.3166571662
74	0.314713334
75	0.3131653218
76	0.3118922172
77	0.3102029761
78	0.3083136139
79	0.3069300846
80	0.305775759
81	0.3042686603
82	0.3029530874
83	0.3018880735
84	0.3006952966
85	0.2990287342
86	0.2976385348
87	0.2965369982
88	0.2949888581
89	0.2939273327
90	0.2930700421
91	0.2920420357
92	0.290970271
93	0.2900388559
94	0.2887417784
95	0.2874593023
96	0.2864235577
97	0.2856867185
98	0.2849691294
99	0.2840753768
100	0.2830043707
101	0.2822819259
102	0.2815870183
103	0.280517497
104	0.2798718607
105	0.279265601
106	0.2783950722
107	0.2776182185
108	0.2768984905
109	0.2762852537
110	0.2753183889
111	0.2747029539
112	0.273836163
113	0.2731722366
114	0.2727011161
115	0.2720953038
116	0.2713851719
117	0.2705825711
118	0.2699441727
119	0.2692462145
120	0.2687420735
121	0.2680982304
122	0.2675545573
123	0.266949395
124	0.2662581649
125	0.2658118518
126	0.2651295948
127	0.2644140223
128	0.2640660639
129	0.2637237301
130	0.2631096859
131	0.2626474663
132	0.2621861165
133	0.2617214071
134	0.2612335418
135	0.2608139359
136	0.2602096208
137	0.2599064033
138	0.2593272766
139	0.2590383256
140	0.2587898059
141	0.258305444
142	0.2578921156
143	0.2576469636
144	0.2572897241
145	0.2570571174
146	0.2567235906
147	0.2563142575
148	0.2561000251
149	0.2556216507
150	0.2553970046
151	0.255009468
152	0.2546427073
153	0.2544636164
154	0.2541757819
155	0.2537421885
156	0.2533704594
157	0.2530315638
158	0.2527846822
159	0.2525358132
160	0.2521387302
161	0.2519623045
162	0.2516442315
163	0.2514308655
164	0.2511371553
165	0.2509579406
166	0.2508273901
167	0.2506635088
168	0.2503245648
169	0.250056626
170	0.2497239106
171	0.2495380085
172	0.2493400934
173	0.2491500957
174	0.2489370015
175	0.248718736
176	0.2484781493
177	0.2483182663
178	0.2480736291
179	0.2478292734
180	0.2475606877
181	0.2472926525
182	0.247135959
183	0.2469898591
184	0.2467279177
185	0.2464860866
186	0.2462433997
187	0.2460875124
188	0.2459433443
189	0.2457146531
190	0.2455213745
191	0.2453949161
192	0.2453209889
193	0.2452483794
194	0.2451214412
195	0.2449621558
196	0.2448127048
197	0.2447022458
198	0.2446359527
199	0.2445187096
200	0.2443213763
201	0.2441814801
202	0.244122859
203	0.2439404753
204	0.243841324
205	0.2437878527
206	0.2436356627
207	0.2435849238
208	0.2435254779
209	0.2434612762
210	0.2434059774
211	0.2433425731
212	0.2432499183
213	0.2431642379
214	0.2431237721
215	0.2430092923
216	0.242886119
217	0.2427290294
218	0.2426854958
219	0.2425633895
220	0.2424008299
221	0.2423575363
222	0.2422856347
223	0.242132893
224	0.2419891696
225	0.2419407812
226	0.2418688431
227	0.2417612637
228	0.2417282716
229	0.2415896962
230	0.2414618699
231	0.2414146584
232	0.2413284055
233	0.2412782177
234	0.2412185091
235	0.2411636639
236	0.2411116072
237	0.2409946407
238	0.2409048057
239	0.2408685597
240	0.2408170735
241	0.240708474
242	0.2405898736
243	0.2405196118
244	0.2404070154
245	0.2403245027
246	0.240248265
247	0.2401526279
248	0.2401122658
249	0.2400915499
250	0.2399857736
251	0.239908829
252	0.239838225
253	0.2397663148
254	0.2397005689
255	0.2396319663
256	0.2395465094
257	0.2394664424
258	0.2394413494
259	0.2394225718
260	0.2394060894
261	0.2393857977
262	0.239340973
263	0.2393175809
264	0.2392240467
265	0.2392096318
266	0.2391919399
267	0.2391301175
268	0.2390477599
269	0.2390329982
270	0.2390103186
271	0.238930555
272	0.2389125913
273	0.2388950682
274	0.2388639462
275	0.2388204922
276	0.2387929089
277	0.2387445748
278	0.2386951294
279	0.2386183396
280	0.2385614055
281	0.2385245061
282	0.2384826684
283	0.2384406113
284	0.2383581914
285	0.2382963257
286	0.2382563758
287	0.2381774426
288	0.2381453376
289	0.2380714785
290	0.237993413
291	0.2379658472
292	0.2379360675
293	0.23791397
294	0.2378567504
295	0.2377865
296	0.2377583277
297	0.237745528
298	0.2377039248
299	0.2376534394
