iter	Accuracy	Logloss	Logloss:use_weights=true	Logloss:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	F1:use_weights=true	F1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false
44	0.7446563664	0.5346133454	0.5346133454	0.5347802804	0.7843575419	0.7843575419	0.7266590945	0.2005427796	0.7544067053	0.3194175862	0.7446563664	0.7118015414
45	0.7441399674	0.5336504161	0.5336504161	0.5337808871	0.7824022346	0.7824022346	0.7267853195	0.2006446991	0.7535689736	0.3193842645	0.7441399674	0.7124759152
46	0.7447066517	0.532396475	0.532396475	0.5325291997	0.7824022346	0.7824022346	0.7275512879	0.2012646404	0.7539804967	0.3201691719	0.7447066517	0.7135115607
47	0.7452446962	0.5318104041	0.5318104041	0.5320414102	0.7790502793	0.7790502793	0.7297134922	0.2030283177	0.7535752258	0.3221112202	0.7452446962	0.7172687861
48	0.7449418806	0.5312652582	0.5312652582	0.531611502	0.7762569832	0.7762569832	0.7305052806	0.2036792729	0.7526865239	0.3226892708	0.7449418806	0.719026975
49	0.7453158907	0.530599	0.530599	0.5309764392	0.7787709497	0.7787709497	0.7299311625	0.2032069971	0.753560534	0.3223121387	0.7453158907	0.7176300578
50	0.7457666907	0.5300756806	0.5300756806	0.530516646	0.7779329609	0.7779329609	0.7309115567	0.2040143579	0.7536895748	0.3232545993	0.7457666907	0.7191473988
51	0.745492662	0.5290910072	0.5290910072	0.5295735373	0.7770949721	0.7770949721	0.7308987851	0.2040038132	0.7532892869	0.3231689609	0.745492662	0.7193400771
52	0.7455453769	0.5280192173	0.5280192173	0.5283434506	0.7770949721	0.7770949721	0.7309712698	0.204063669	0.7533277819	0.3232440597	0.7455453769	0.7194364162
53	0.7452924047	0.5271020758	0.5271020758	0.5274780779	0.7765363128	0.7765363128	0.7308660805	0.2039768141	0.7530093542	0.3230867569	0.7452924047	0.7194364162
54	0.7447970621	0.5268069711	0.5268069711	0.5272766332	0.7748603352	0.7748603352	0.730913051	0.2040155917	0.7522453736	0.3229900448	0.7447970621	0.7199181118
55	0.7449788399	0.5260482584	0.5260482584	0.5265953525	0.775698324	0.775698324	0.7307987932	0.2039212807	0.7525794674	0.3229445284	0.7449788399	0.7195568401
56	0.7450420093	0.5253945927	0.5253945927	0.5260287045	0.7765363128	0.7765363128	0.7305217579	0.2036928488	0.752826561	0.3227304388	0.7450420093	0.7189788054
57	0.7452475676	0.5248960796	0.5248960796	0.5255689148	0.7768156425	0.7768156425	0.7306831169	0.2038258575	0.7530435052	0.3229215049	0.7452475676	0.7191233141
58	0.745186975	0.5243016676	0.5243016676	0.5249991463	0.7765363128	0.7765363128	0.730721063	0.2038571533	0.7529323778	0.3229366324	0.745186975	0.719243738
59	0.7452159093	0.5239578582	0.5239578582	0.5246992729	0.7770949721	0.7770949721	0.7305184764	0.203690145	0.7530872527	0.322775264	0.7452159093	0.7188342967
60	0.7450024732	0.5235733609	0.5235733609	0.5244116949	0.7765363128	0.7765363128	0.7304674209	0.2036480844	0.7527977071	0.3226742499	0.7450024732	0.7189065511
61	0.7450209528	0.5230887466	0.5230887466	0.5239906048	0.7762569832	0.7762569832	0.7306140132	0.2037688811	0.7527442378	0.3228017191	0.7450209528	0.7191714836
62	0.7452396898	0.5223781848	0.5223781848	0.5233552988	0.7765363128	0.7765363128	0.7307935646	0.2039169662	0.752970864	0.3230116772	0.7452396898	0.7193400771
63	0.7458378852	0.5218924504	0.5218924504	0.5229172617	0.7776536313	0.7776536313	0.7311306877	0.2041953939	0.7536748985	0.3234576507	0.7458378852	0.7195086705
64	0.7455902139	0.5217244786	0.5217244786	0.5228124421	0.7768156425	0.7768156425	0.7311544156	0.2042150095	0.7532937197	0.3234096988	0.7455902139	0.7197495183
65	0.7459881518	0.5209920362	0.5209920362	0.5220642388	0.7773743017	0.7773743017	0.7314589353	0.2044669752	0.7537179923	0.3237740678	0.7459881518	0.7200144509
66	0.7459381611	0.5201194434	0.5201194434	0.5210827904	0.7765363128	0.7765363128	0.73175557	0.204712813	0.7534811779	0.324009324	0.7459381611	0.7206165703
67	0.7460067787	0.5197550026	0.5197550026	0.5207747979	0.775698324	0.775698324	0.7322170082	0.2050960118	0.7533307659	0.3244158879	0.7460067787	0.7214354528
68	0.7460043492	0.5193273642	0.5193273642	0.5204249347	0.7737430168	0.7737430168	0.7330740169	0.2058102385	0.7528596886	0.3251364517	0.7460043492	0.7230491329
69	0.7471902852	0.5189402332	0.5189402332	0.5200995687	0.7751396648	0.7751396648	0.734104147	0.2066731213	0.7540640392	0.3263362145	0.7471902852	0.7240606936
70	0.7474091695	0.5185477844	0.5185477844	0.5197825221	0.7740223464	0.7740223464	0.7349059742	0.2073480994	0.7539571479	0.3270774315	0.7474091695	0.7253853565
71	0.7477728723	0.5182754836	0.5182754836	0.5195673994	0.774301676	0.774301676	0.7352889943	0.2076715613	0.7542912285	0.3275047259	0.7477728723	0.7258188825
72	0.7482367037	0.5181184161	0.5181184161	0.5194650825	0.7748603352	0.7748603352	0.7356870087	0.2080083983	0.7547657271	0.3279735162	0.7482367037	0.7262042389
73	0.7474620316	0.517753091	0.517753091	0.5191778535	0.7726256983	0.7726256983	0.7356046699	0.2079386558	0.753660825	0.3276862931	0.7474620316	0.7266377649
74	0.7482445815	0.5172336526	0.5172336526	0.5186965164	0.7751396648	0.7751396648	0.7355730605	0.2079118903	0.7548382243	0.3278785372	0.7482445815	0.7259874759
75	0.7483604657	0.5166324007	0.5166324007	0.5180835623	0.7759776536	0.7759776536	0.7353604702	0.2077319973	0.7551232689	0.3277296054	0.7483604657	0.7255057803
76	0.7484684722	0.5165114097	0.5165114097	0.5180205584	0.7765363128	0.7765363128	0.7352618794	0.2076486406	0.7553356681	0.3276756247	0.7484684722	0.7252408478
77	0.7485184629	0.5158479328	0.5158479328	0.5172966968	0.7773743017	0.7773743017	0.734958601	0.2073925032	0.7555716446	0.3274310254	0.7485184629	0.7246387283
78	0.7486687296	0.515477486	0.515477486	0.5170037078	0.7770949721	0.7770949721	0.7352917992	0.2076739325	0.7556156547	0.3277568332	0.7486687296	0.7251445087
79	0.7488058175	0.5150665772	0.5150665772	0.5167015017	0.7768156425	0.7768156425	0.735607179	0.2079407806	0.7556500143	0.3280641736	0.7488058175	0.7256262042
80	0.7490430342	0.5148403144	0.5148403144	0.5165505367	0.7768156425	0.7768156425	0.7359378106	0.2082210243	0.7558244233	0.3284128484	0.7490430342	0.7260597303
81	0.7487426481	0.5145482562	0.5145482562	0.5163059293	0.7759776536	0.7759776536	0.7358935187	0.2081834532	0.7554042122	0.3282911841	0.7487426481	0.7262042389
82	0.7487637046	0.5141711383	0.5141711383	0.5159299356	0.7762569832	0.7762569832	0.7357979787	0.2081024412	0.7554861875	0.3282154246	0.7487637046	0.7260115607
83	0.7487953629	0.5139665053	0.5139665053	0.5157878098	0.7759776536	0.7759776536	0.7359671033	0.2082458771	0.7554429794	0.3283687943	0.7487953629	0.726300578
84	0.7490272787	0.5134340219	0.5134340219	0.5152489488	0.7762569832	0.7762569832	0.7361658207	0.2084145793	0.7556800356	0.3286035237	0.7490272787	0.7264932563
85	0.7493250879	0.5131874689	0.5131874689	0.5150676317	0.7765363128	0.7765363128	0.736456537	0.2086617128	0.7559655604	0.3289356919	0.7493250879	0.7268063584
86	0.7495174675	0.5127266826	0.5127266826	0.5146067543	0.7768156425	0.7768156425	0.7365999661	0.2087837838	0.7561734829	0.329112426	0.7495174675	0.7269267823
87	0.7497440823	0.5124304597	0.5124304597	0.5143483204	0.7773743017	0.7773743017	0.7366658185	0.2088398619	0.7564727891	0.3292322252	0.7497440823	0.7268786127
88	0.7495068657	0.5122401216	0.5122401216	0.5141941407	0.7773743017	0.7773743017	0.7363347706	0.2085581535	0.7562982063	0.328882061	0.7495068657	0.7264450867
89	0.749314486	0.5119831518	0.5119831518	0.5139843717	0.7770949721	0.7770949721	0.7361914525	0.2084363527	0.7560904095	0.3287056182	0.749314486	0.7263246628
90	0.7491563416	0.5116262998	0.5116262998	0.5136411447	0.7770949721	0.7770949721	0.7359709257	0.2082491204	0.7559740879	0.3284727552	0.7491563416	0.7260356455
91	0.7493408435	0.5113470708	0.5113470708	0.5134291467	0.7770949721	0.7770949721	0.7362282198	0.2084675909	0.7561097999	0.3287444609	0.7493408435	0.7263728324
92	0.7488823129	0.5112272839	0.5112272839	0.5133624489	0.7762569832	0.7762569832	0.7359634621	0.2082427876	0.7555734068	0.3283899557	0.7488823129	0.7262283237
93	0.7493461444	0.5109033998	0.5109033998	0.5130429564	0.7768156425	0.7768156425	0.736360717	0.2085802145	0.7560473964	0.3288594572	0.7493461444	0.7266136802
94	0.7489798648	0.5107485715	0.5107485715	0.5129482891	0.7759776536	0.7759776536	0.7362247653	0.2084646556	0.755578696	0.3286407193	0.7489798648	0.7266377649
95	0.7500155342	0.5104470736	0.5104470736	0.5126922866	0.7776536313	0.7776536313	0.736919518	0.2090560937	0.7567388071	0.3295259514	0.7500155342	0.7271435453
96	0.750118387	0.5101206871	0.5101206871	0.5124172009	0.7770949721	0.7770949721	0.7373145099	0.2093933464	0.756682265	0.3298944622	0.750118387	0.7277938343
97	0.7500182583	0.5099633548	0.5099633548	0.5123085586	0.7768156425	0.7768156425	0.737300202	0.2093811173	0.7565422847	0.3298541098	0.7500182583	0.7278420039
98	0.7501500453	0.5097511177	0.5097511177	0.5121422386	0.7768156425	0.7768156425	0.737484696	0.2095388788	0.7566393976	0.3300498457	0.7501500453	0.7280828516
99	0.7503107666	0.5095716163	0.5095716163	0.5119852672	0.7773743017	0.7773743017	0.7374578614	0.2095159226	0.7568901744	0.3300717547	0.7503107666	0.7279142582
