iter	Accuracy	Logloss
194	1	0.1021533416
195	1	0.1016520093
196	1	0.1008123502
197	1	0.09977834387
198	1	0.09890134737
199	1	0.09810487331
200	1	0.09740652906
201	1	0.09650742934
202	1	0.09571011406
203	1	0.09512750593
204	1	0.09427410097
205	1	0.09347935845
206	1	0.09272610318
207	1	0.0920924892
208	1	0.09150986392
209	1	0.09058251993
210	1	0.09020465162
211	1	0.08929480697
212	1	0.08813100522
213	1	0.08713735139
214	1	0.08625388092
215	1	0.08539140279
216	1	0.08494614063
142078471	020207	0.8302207	0.8142824172	020208	0.832208	0.8143569872	0.20209	0.832209	0.8142824172	0.21210	0.821210	0.8148789778	0.21211	0.221211	0.8149535478	0.21212	0.221212	0.815102688	0.421213	0.22213	0.8152518281	0.421214	0.22214	0.814609463	0.421215	0.82215	0.8156246785	0.421216	0.82216	0.8151314535	0.4044143704
467
1	0.4222998012
