iter	Logloss
0	0.6583639138
1	0.6282018154
2	0.5964717981
3	0.5694760193
4	0.542328438
5	0.5169008136
6	0.4971245636
7	0.478454025
8	0.4623083773
9	0.4474103137
10	0.4319857324
11	0.419106559
12	0.4056806047
13	0.3939271964
14	0.3810369817
15	0.3718172296
16	0.3639313773
17	0.355184428
18	0.3472407737
19	0.3402268961
20	0.3324842069
21	0.3259335214
22	0.3209714364
23	0.3156167053
24	0.3089525302
25	0.3038440208
26	0.2994118983
27	0.2963500498
28	0.2927563641
29	0.2884430786
30	0.2856261714
31	0.2829565037
32	0.2806867519
33	0.2775839891
34	0.2757528342
35	0.2728218864
36	0.2709001646
37	0.2682550687
38	0.2661137146
39	0.2647585243
40	0.2631846828
41	0.2619651103
42	0.2599660813
43	0.2579840451
44	0.2566306782
45	0.255402633
46	0.2546886704
47	0.2536885252
48	0.2529578126
49	0.2515313369
50	0.2509083302
51	0.250347702
52	0.2497526239
53	0.2486898043
54	0.2479363276
55	0.2473968991
56	0.2468406578
57	0.2460669256
58	0.2452267549
59	0.24430695
60	0.2438162076
61	0.2430193803
62	0.2425126894
63	0.2421297235
64	0.2415084037
65	0.2409495478
66	0.2404105118
67	0.2401455465
68	0.2398566047
69	0.2393557189
70	0.2389348468
71	0.2386844233
72	0.2382658115
73	0.2380200538
74	0.2375358573
75	0.2371865321
76	0.2367598087
77	0.2365614728
78	0.2364019487
79	0.2360252181
80	0.235741608
81	0.2355835692
82	0.2353162996
83	0.2351408928
84	0.234815668
85	0.234527769
86	0.2344201569
87	0.2343155882
88	0.2341864651
89	0.2340679
90	0.2339139603
91	0.2336766098
92	0.2334184031
93	0.2332780511
94	0.2330920584
95	0.2328626449
96	0.2327569955
97	0.2326095349
98	0.2323771175
99	0.232163627
100	0.2319428453
101	0.2317616829
102	0.2317261139
103	0.2316360065
104	0.2314840257
105	0.2314134501
106	0.2312725779
107	0.2311172312
108	0.2309363357
109	0.2308574287
110	0.2307050914
111	0.2305317612
112	0.2304152317
113	0.2303400768
114	0.2301836698
115	0.2300653529
116	0.2298783313
117	0.2298338427
118	0.2297170161
119	0.2296365985
120	0.2294649092
121	0.2294141033
122	0.2293336944
123	0.2292575638
124	0.2291307819
125	0.2290867308
126	0.228967513
127	0.2288739832
128	0.2287982616
129	0.2287188244
130	0.2286412988
131	0.2285504801
132	0.2284852279
133	0.228402875
134	0.2283186846
135	0.2281772807
136	0.228115192
137	0.2280585863
138	0.228002171
139	0.2278800717
140	0.2278284037
141	0.2276505321
142	0.2275472154
143	0.2274347281
144	0.2273832377
145	0.2272817086
146	0.2272102005
147	0.2271781824
148	0.2271240354
149	0.2270678688
150	0.2270186133
151	0.226881846
152	0.2268194041
153	0.2267458782
154	0.2266517993
155	0.226581356
156	0.2265142417
157	0.2264416805
158	0.226368092
159	0.2263304188
160	0.2262747717
161	0.2261710569
162	0.2261247469
163	0.2259867956
164	0.2258712405
165	0.2257817143
166	0.225705454
167	0.2256094928
168	0.2255663087
169	0.2255142801
170	0.2255049932
171	0.2254805748
172	0.2254146323
173	0.2253356116
174	0.2252844887
175	0.2252410858
176	0.225102897
177	0.2250460732
178	0.2249678093
179	0.2248749183
180	0.2248402065
181	0.2248010091
182	0.2247582758
183	0.2247113224
184	0.2246834695
185	0.2246207058
186	0.2245535825
187	0.2244753853
188	0.224453262
189	0.2243626628
190	0.224317315
191	0.2242534691
192	0.2242206144
193	0.2241806019
194	0.2241158862
195	0.2240631902
196	0.2239916425
197	0.2239311675
198	0.2238884417
199	0.2238859693
200	0.2238508326
201	0.2238005382
202	0.2237664127
203	0.2237006574
204	0.2236369064
205	0.2235742447
206	0.2235206328
207	0.2234379692
208	0.2233601346
209	0.2233116395
210	0.2232106666
211	0.2231633211
212	0.2230942829
213	0.2230572771
214	0.2229712604
215	0.222912356
216	0.2228670499
217	0.2228004683
218	0.2227257868
219	0.222668389
220	0.2225952381
221	0.2225614209
222	0.2225097019
223	0.2224300674
224	0.2223587812
225	0.2223160438
226	0.2222307236
227	0.2221761498
228	0.2220782299
229	0.2220548586
230	0.2219697402
231	0.22196848
232	0.2219173507
233	0.2218643881
234	0.2218161858
235	0.221776224
236	0.2217187929
237	0.2216767087
238	0.2216184285
239	0.2215121417
240	0.2214672748
241	0.2214393647
242	0.2213446786
243	0.2212311007
244	0.221176726
245	0.2211128588
246	0.2210846964
247	0.2209992608
248	0.2209316709
249	0.2208679922
250	0.2208158501
251	0.2207223633
252	0.2206696606
253	0.2206091622
254	0.2204905002
255	0.220439432
256	0.2203826358
257	0.2202958259
258	0.2202612021
259	0.2201840513
260	0.2201659242
261	0.2200964541
262	0.2200178657
263	0.2199557017
264	0.2198822249
265	0.2197596972
266	0.2197226373
267	0.2196150103
268	0.2195620284
269	0.2195030043
270	0.2194305482
271	0.2193647665
272	0.2193103201
273	0.2192211285
274	0.2191383383
275	0.2191184299
276	0.2190708535
277	0.2190390483
278	0.218988725
279	0.2188982443
280	0.2188502064
281	0.2188311227
282	0.2187554498
283	0.2186862939
284	0.2185780632
285	0.2185300822
286	0.2184725353
287	0.2183741563
288	0.2183293963
289	0.2182627232
290	0.218191528
291	0.2181068138
292	0.2180682411
