iter	RMSE
177	20451.87944
178	20423.62061
179	20411.09867
180	20367.09516
181	20353.62193
182	20300.07453
183	20289.10361
184	20251.57131
185	20216.87662
186	20214.60477
187	20150.30296
188	20136.3569
189	20111.73522
190	20100.27086
191	20075.45873
192	20034.43308
193	20000.49524
194	19974.49572
195	19931.0224
196	19917.17834
197	19903.82571
198	19854.0419
199	19841.11459
200	19784.47723
201	19750.99491
202	19722.51397
203	19712.75942
204	19703.12005
205	19700.58329
206	19677.06658
207	19635.15345
208	19594.76994
209	19537.63021
210	19527.79935
211	19485.14263
212	19455.15999
213	19435.96324
214	19425.54615
215	19414.42234
216	19369.26157
217	19346.06632
218	19297.42673
219	19254.18994
220	19204.48048
221	19194.33423
222	19187.01519
223	19152.25397
224	19142.00006
225	19103.87599
226	19064.74847
227	19019.21224
228	18995.34182
229	18987.28011
230	18967.16578
231	18944.55012
232	18927.97253
233	18916.23689
234	18907.27902
235	18873.00469
236	18854.12571
237	18829.2066
238	18820.61384
239	18805.63841
240	18788.96913
241	18756.25565
242	18744.05328
243	18709.43564
244	18666.92676
245	18645.46931
246	18640.04755
247	18590.47929
248	18542.24789
249	18528.3776
250	18505.08671
251	18479.31536
252	18465.11611
253	18450.24304
254	18437.61366
255	18415.33764
256	18384.11077
257	18351.39073
258	18318.16234
259	18295.75781
260	18263.64792
261	18248.45978
262	18222.02719
263	18186.61605
264	18161.06712
265	18137.66044
266	18118.88518
267	18092.55218
268	18080.54764
269	18056.74064
270	18012.45753
271	17977.97034
272	17952.33156
273	17941.65174
274	17931.87142
275	17903.85063
276	17886.63898
277	17867.5449
278	17846.35505
279	17819.98051
280	17807.55699
281	17791.04876
282	17761.78542
283	17759.8822
284	17726.41204
285	17720.55755
286	17703.86095
287	17694.90828
288	17684.95076
289	17672.6278
290	17632.719
291	17596.55919
292	17558.38498
293	17526.93481
294	17487.50946
295	17457.05851
296	17422.23377
297	17404.83348
298	17375.24426
299	17341.7809
300	17321.94341
301	17279.67668
302	17275.26509
303	17268.15356
304	17256.77263
305	17254.96536
306	17237.86852
307	17208.88889
308	17190.65552
309	17152.04895
310	17131.36956
311	17108.60963
312	17082.33422
313	17037.08321
314	17011.47499
315	16976.96695
316	16970.26352
317	16965.28147
318	16935.5975
319	16912.75102
320	16885.31466
321	16850.34731
322	16819.17363
323	16810.89174
324	16776.53397
325	16745.90375
326	16740.95224
327	16720.79246
328	16701.47661
329	16678.02943
330	16661.4611
331	16649.49873
332	16631.69533
333	16607.03064
334	16595.43511
335	16589.00248
336	16552.64002
337	16523.00441
338	16502.51819
339	16463.73006
340	16431.17518
341	16424.03799
342	16402.25561
343	16398.36518
344	16367.79422
345	16341.5993
346	16334.04432
347	16322.04286
348	16287.75611
349	16277.3328
350	16247.7946
351	16240.65248
352	16214.17721
353	16203.95585
354	16176.90339
355	16147.11969
356	16131.0433
357	16115.0369
358	16089.95809
359	16074.87796
360	16050.77549
361	16030.52885
362	15996.19399
363	15977.17118
364	15962.03725
365	15936.49573
366	15920.51565
367	15897.38376
368	15884.46594
369	15876.04995
370	15842.92321
371	15815.53926
372	15785.09804
373	15775.36814
374	15755.09332
375	15740.75514
376	15733.16628
377	15705.52644
378	15691.22261
379	15683.55694
380	15659.3045
381	15640.33221
382	15615.0149
383	15602.06733
384	15586.91037
385	15578.5745
386	15570.97437
387	15546.30782
388	15528.52803
389	15501.29875
390	15497.10066
391	15480.11107
392	15457.18002
393	15442.12699
394	15437.55514
395	15425.88394
396	15421.01667
397	15415.0631
398	15394.11985
399	15380.20444
400	15363.44483
401	15342.6405
402	15327.99553
403	15303.2837
404	15295.29895
405	15285.83443
406	15272.81035
407	15259.96391
408	15246.98193
409	15244.82414
410	15232.38158
411	15219.91153
412	15194.99045
413	15186.37447
414	15177.54126
415	15163.70857
416	15147.40862
417	15131.23711
418	15106.71728
419	15102.61603
420	15097.88388
421	15089.59824
422	15063.51481
423	15050.56989
424	15020.64983
425	15013.86883
426	14979.4165
427	14958.71888
428	14952.84719
429	14947.31857
430	14927.27522
431	14912.59607
432	14908.66223
433	14889.64737
434	14862.63333
435	14840.47705
436	14832.83445
437	14808.00507
438	14782.27788
439	14764.17966
440	14760.38162
441	14752.95303
442	14740.60439
443	14729.51172
444	14713.71616
445	14702.44664
446	14685.17438
447	14661.9851
448	14646.42519
449	14627.56496
450	14608.1332
451	14596.02101
452	14594.21948
453	14569.24806
454	14560.02018
455	14542.14725
456	14533.01661
457	14522.63865
458	14511.30804
459	14500.92819
460	14496.03067
461	14487.74326
462	14483.32065
463	14478.62417
464	14449.50819
465	14445.56246
466	14440.71978
467	14431.22115
468	14422.10732
469	14406.55752
470	14398.15504
471	14376.41155
472	14367.03258
473	14346.84781
474	14341.03068
475	14329.96311
476	14314.49798
477	14312.785
478	14297.01576
479	14279.97355
480	14267.76408
481	14247.65309
482	14234.24015
483	14232.98327
484	14220.05138
485	14216.01649
486	14210.98788
487	14195.69521
488	14190.36509
489	14174.33816
490	14162.37087
491	14153.46621
492	14147.48786
493	14133.11566
494	14124.5566
495	14121.2739
496	14108.36152
497	14093.76395
498	14081.74321
499	14072.44469
500	14061.28217
501	14052.70603
502	14045.92671
503	14025.44728
504	14005.80285
505	13985.02828
506	13973.70475
507	13962.39215
508	13953.49907
509	13945.14238
510	13942.235
511	13931.45643
512	13913.60565
513	13903.07225
514	13894.0128
515	13889.78715
516	13866.39264
517	13861.27764
518	13859.98495
519	13853.28688
520	13849.06197
521	13838.43212
522	13826.94833
523	13812.57304
524	13796.19686
525	13792.03987
526	13773.26258
527	13768.28539
528	13749.73644
529	13738.3766
530	13715.5645
531	13702.71762
532	13699.20618
533	13690.74306
534	13671.39093
535	13663.52706
536	13655.36974
537	13641.39396
538	13637.05856
539	13623.61278
540	13613.26951
541	13597.41583
542	13577.12214
543	13564.0148
544	13558.9561
545	13545.97336
546	13540.71617
547	13526.74732
548	13500.03284
549	13484.11425
550	13482.3114
551	13470.35921
552	13466.83563
553	13453.2914
554	13439.2951
555	13428.66217
556	13427.35064
557	13414.23389
558	13402.49989
559	13392.56623
560	13383.81435
561	13374.36033
562	13353.87421
563	13346.01062
564	13344.76434
565	13330.10457
566	13325.31796
567	13308.5689
568	13302.88273
569	13299.06755
570	13290.10935
571	13265.64124
572	13265.13341
573	13251.30128
574	13243.75019
575	13240.21344
576	13225.55632
577	13217.07261
578	13190.85839
579	13185.08312
580	13173.82706
581	13163.8947
582	13153.0118
583	13151.62322
584	13137.38884
585	13130.09733
586	13120.23887
587	13108.09943
588	13104.77624
589	13094.30711
590	13068.62517
591	13055.16106
592	13038.24471
593	13011.49042
594	13008.28155
595	13007.09741
596	12998.60611
597	12986.94319
598	12982.29323
599	12979.80999
600	12978.55371
601	12970.18989
602	12964.90448
603	12938.86337
604	12937.24503
605	12934.84677
606	12918.79621
607	12909.69876
608	12898.33705
609	12889.32323
610	12877.84391
611	12868.12254
612	12866.14008
613	12851.31999
614	12844.79306
615	12828.98818
616	12821.19066
617	12806.14435
618	12798.15916
619	12784.28269
620	12772.70141
621	12764.39951
622	12743.19353
623	12733.29264
624	12723.1925
625	12714.53784
626	12708.10545
627	12696.30888
628	12685.23353
629	12673.86543
630	12660.10492
631	12657.28645
632	12643.57746
633	12634.16255
634	12627.11744
635	12617.15672
636	12606.96925
637	12606.44941
638	12599.05086
639	12587.76459
640	12577.41785
641	12567.87288
642	12564.26375
643	12553.15679
644	12543.19085
645	12536.03315
646	12523.95604
647	12521.4026
648	12512.33308
649	12504.35826
650	12493.4112
651	12491.94256
652	12485.42374
653	12471.74372
654	12462.49966
655	12454.34577
656	12437.94614
657	12429.27454
658	12414.35399
659	12405.44484
660	12396.09035
661	12390.18042
662	12385.63787
663	12382.13184
664	12373.73929
665	12364.78465
666	12358.10167
667	12346.41583
668	12335.53086
669	12333.25257
670	12327.77913
671	12316.31852
672	12305.22541
673	12298.76694
674	12283.51132
675	12271.31733
676	12265.56275
677	12261.78629
678	12258.8355
679	12250.97595
680	12242.94387
681	12231.65018
682	12213.45834
683	12208.46594
684	12197.2066
685	12196.33175
686	12184.65562
687	12180.26678
688	12174.13531
689	12173.21398
690	12161.47962
691	12155.35381
692	12147.45479
693	12143.13141
694	12130.37403
695	12123.60592
696	12117.16553
697	12112.12892
698	12102.44574
699	12086.4927
700	12077.91616
701	12064.27511
702	12059.24956
703	12052.09649
704	12048.49829
705	12038.2302
706	12029.86376
707	12017.13098
708	11999.78321
709	11995.11444
710	11988.41
711	11981.97612
712	11973.40656
713	11955.68984
714	11942.10677
715	11933.29624
716	11926.00963
717	11917.98632
718	11909.07892
719	11896.68649
720	11893.00177
721	11883.76491
722	11882.5322
723	11874.94555
724	11866.99256
725	11858.50381
