prob_score,auc,accuracy,kommentar
3.1316964285714284,0.8154899734619122,0.7407225221611429,"inkl datum,avd, kusk,häst,streck"
3.146205357142857,0.8151640292105853,0.7406341992435652,"inkl datum,kusk,häst,streck"
3.1361607142857144,0.8162590757456829,0.7453960511909773,"inkl kusk,häst,streck"
3.1573660714285716,0.8154180216042461,0.7378602742086335,"inkl datum, raw_ekipage,streck"
3.166294642857143,0.8143806767212379,0.737153650575579,"inkl raw_ekipage,streck"
3.1283482142857144,0.8183108133363235,,"FLML datum,kusk,häst ,streck"
3.9955357142857144,0.7143899043133737,0.6538762611138638,"inkl datum,avd, kusk,häst"
4.080357142857143,0.703390264072662,0.6489992409643309,"inkl datum,kusk,häst"
4.1015625,0.7055400594303656,0.644358162578038,"inkl kusk,häst"
3.994419642857143,0.7118456585931076,0.6556428201965002,"inkl datum, raw_ekipage"
4.094866071428571,0.7062657686701055,0.6469811458443413,inkl raw_ekipage
3.7466517857142856,0.7301525005606639,,"FLML datum,kusk,häst"
