datum,bana,avd,startnr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,kr,plac,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4
2021-03-20,MANTORP,1,12,UPSTATE FACE,5,v,Adrian Kolgjini,2140.0,1,2140.0,13.0,11.0,13.0,8.06,2.44,24196.0,20,2021-02-20 00:00:00,Mantorp-5,Adrian Kolgjini,2.0,2140.0,9.0,7.08,110.0,16.7,2021-01-30 00:00:00,Eskilstuna-4,Adrian Kolgjini,1.0,2660.0,9.0,3.61,100.0,15.2,2021-01-20 00:00:00,Åby-4,Adrian Kolgjini,4.0,2640.0,9.0,8.78,60.0,19.0,2020-12-23 00:00:00,Mantorp-10,Adrian Kolgjini,4.0,1640.0,9.0,29.89,100.0,12.3,2020-11-26 00:00:00,Jägersro-4,Adrian Kolgjini,4.0,2140.0,9.0,5.66,30.0,14.6,9,0,0,1,1,1,6976.064300232707,10966.331584284586,1895.3755572212776,2446.919322642204,1340.2329094063966,28.0,21.0,10.0,28.0,27.0
2021-03-20,MANTORP,2,1,BAT MARKE,4,v,Rikard N Skoglund,2640.0,0,2640.0,1.0,1.0,1.0,37.63,6.68,11916.0,2,2021-03-13 00:00:00,Axevalla-9,Ulf Ohlsson,20.0,2140.0,4.0,43.16,110.0,30.0,2021-02-20 00:00:00,Mantorp-6,Ulf Ohlsson,4.0,1640.0,4.0,18.75,110.0,16.5,2021-02-10 00:00:00,Solvalla-4,Christel Berntsson,2.0,2140.0,4.0,3.11,40.0,15.9,2021-01-18 00:00:00,Färjestad-10,Ulf Ohlsson,2.0,2160.0,4.0,3.54,30.0,15.6,2021-01-01 00:00:00,Örebro-5,Ulf Ohlsson,2.0,1609.0,4.0,3.34,30.0,15.8,23,1,1,1,0,1,0.8609147285877977,2566.350636345657,4206.725054048198,3643.130763542206,3643.130763542206,7.0,21.0,10.0,23.0,17.0
2021-03-20,MANTORP,2,2,ILLFINDMYWAYHOME,6,v,Örjan Kihlström,2640.0,0,2640.0,19.0,2.0,19.0,4.07,1.74,19650.0,3,2021-02-03 00:00:00,Solvalla-7,Örjan Kihlström,2.0,2140.0,3.0,1.72,40.0,15.7,2021-01-23 00:00:00,Bollnäs-3,Örjan Kihlström,1.0,2140.0,3.0,2.46,30.0,16.7,2020-11-20 00:00:00,Solvalla-3,Örjan Kihlström,1.0,1640.0,3.0,1.25,40.0,13.7,2020-11-13 00:00:00,Solvalla-8,Örjan Kihlström,1.0,2140.0,3.0,1.36,40.0,16.3,2020-10-21 00:00:00,Solvalla-11,Örjan Kihlström,1.0,2140.0,3.0,3.02,40.0,14.4,3,1,1,1,1,1,4206.725054048198,6006.507181794034,6935.717076596412,6935.717076596412,6935.717076596412,45.0,11.0,64.0,7.0,23.0
2021-03-20,MANTORP,2,3,HÅNA AM,4,v,Mattias Djuse,2640.0,0,2640.0,9.0,3.0,9.0,10.67,2.73,16536.0,7,2021-03-09 00:00:00,Romme-8,Mattias Djuse,1.0,2140.0,11.0,7.24,30.0,14.8,2021-02-19 00:00:00,Romme-5,Martin P Djuse,1.0,2140.0,11.0,1.43,30.0,16.7,2021-02-05 00:00:00,Eskilstuna-3,Mattias Djuse,3.0,2140.0,11.0,1.68,25.0,15.0,2021-01-19 00:00:00,Eskilstuna-5,Mattias Djuse,3.0,2140.0,11.0,2.92,25.0,16.3,2021-01-08 00:00:00,Romme-4,Mattias Djuse,3.0,2640.0,11.0,3.9,30.0,17.4,11,1,1,1,1,1,6006.507181794034,6006.507181794034,2017.1439674636756,2017.1439674636756,2209.670505430644,11.0,18.0,14.0,17.0,11.0
2021-03-20,MANTORP,2,4,BOYCOTT,5,h,Ulf Ohlsson,2640.0,0,2640.0,5.0,4.0,5.0,12.66,2.94,11828.0,6,2021-03-12 00:00:00,Solvalla-5,Ulf Ohlsson,1.0,2140.0,12.0,3.0,40.0,16.9,2021-02-15 00:00:00,Eskilstuna-6,Ulf Ohlsson,5.0,2640.0,12.0,4.85,30.0,16.8,2021-01-30 00:00:00,Eskilstuna-7,Ulf Ohlsson,3.0,2640.0,12.0,15.01,110.0,16.1,2021-01-22 00:00:00,Romme-9,Svante Ericsson,3.0,2140.0,12.0,5.22,30.0,17.5,2021-01-05 00:00:00,Eskilstuna-7,Svante Ericsson,3.0,2140.0,12.0,3.07,25.0,17.2,13,1,0,0,0,1,6935.717076596412,812.8923507108439,4231.196882217894,2209.670505430644,2017.1439674636756,8.0,25.0,16.0,8.0,17.0
2021-03-20,MANTORP,2,6,SUAREZ,7,v,Erik Adielsson,2640.0,0,2640.0,27.0,5.0,27.0,2.78,1.51,7839.0,1,2021-03-06 00:00:00,Åby-3,William Ekberg,1.0,1640.0,7.0,2.36,35.0,12.9,2021-03-01 00:00:00,Mantorp-10,Robert Bergh,1.0,2140.0,7.0,1.22,12.0,15.0,2021-02-25 00:00:00,Åby-10,Robert Bergh,1.0,2640.0,7.0,3.79,15.0,16.1,2021-01-08 00:00:00,Charlottenlund-8,Robert Bergh,1.0,2060.0,7.0,1.67,,15.1,2021-01-03 00:00:00,Åby-3,Carl Johan Jepson,1.0,2140.0,7.0,3.96,30.0,16.9,1,1,0,0,0,1,6487.769258055282,3798.8486953256406,4247.24195949226,,6006.507181794034,14.0,5.0,4.0,48.0,5.0
2021-03-20,MANTORP,2,7,ALOHA CHIP,5,v,Björn Goop,2640.0,0,2640.0,4.0,6.0,4.0,18.61,3.96,10993.0,15,2021-03-11 00:00:00,Åby-5,Hannah Gustavsson,6.0,2140.0,9.0,2.72,35.0,17.4,2020-12-11 00:00:00,Solvalla-4,Kim Moberg,6.0,2140.0,9.0,4.08,50.0,15.7,2020-11-27 00:00:00,Åby-6,Robert Bergh,1.0,2140.0,9.0,5.37,35.0,13.9,2020-11-12 00:00:00,Kalmar-6,Robert Bergh,1.0,2140.0,9.0,2.83,25.0,15.8,2020-11-05 00:00:00,Åby-10,Saga Laursen,1.0,2160.0,9.0,3.1,25.0,30.0,17,1,1,1,1,0,532.5485306196407,636.517239655588,6487.769258055282,5483.165792142293,5483.165792142293,9.0,90.0,14.0,15.0,7.0
2021-03-20,MANTORP,2,9,PAPA CROWE,5,v,Anders Schillström,2640.0,0,2640.0,1.0,9.0,1.0,42.78,7.79,5463.0,8,2021-03-06 00:00:00,Åby-4,Stefan Persson,2.0,2640.0,3.0,33.63,100.0,15.0,2021-02-19 00:00:00,Halmstad-3,Kaj Jönsson,1.0,2140.0,3.0,3.37,25.0,18.1,2021-02-13 00:00:00,Åby-7,Adrian Kolgjini,15.0,2140.0,3.0,80.41,150.0,30.0,2021-01-25 00:00:00,Halmstad-3,Anders Schillström,15.0,2640.0,3.0,4.67,30.0,30.0,2021-01-11 00:00:00,Halmstad-2,Anders Schillström,15.0,2140.0,3.0,52.04,25.0,18.6,24,0,1,0,1,0,6651.416330443618,5483.165792142293,12.24744871391589,5.477225575051661,5.0,14.0,15.0,6.0,19.0,14.0
2021-03-20,MANTORP,2,10,JOKER BOKO,5,v,Janne Soronen,2640.0,0,2640.0,7.0,10.0,7.0,11.46,3.16,9547.0,5,2021-03-13 00:00:00,Axevalla-9,Jorma Kontio,8.0,2140.0,11.0,7.98,110.0,17.9,2021-02-27 00:00:00,Romme-3,Jorma Kontio,1.0,2140.0,11.0,2.23,30.0,14.2,2021-02-12 00:00:00,Mantorp-7,Jorma Kontio,1.0,1640.0,11.0,6.51,25.0,13.5,2021-02-05 00:00:00,Eskilstuna-3,Jorma Kontio,1.0,2140.0,11.0,4.79,25.0,15.1,2021-01-11 00:00:00,Färjestad-3,Jorma Kontio,1.0,2140.0,11.0,2.96,25.0,18.7,12,1,1,1,1,1,347.31779025430075,6006.507181794034,5483.165792142293,5483.165792142293,5483.165792142293,7.0,14.0,15.0,7.0,25.0
2021-03-20,MANTORP,2,11,DRAUPNER,4,h,Johan Untersteiner,2640.0,0,2640.0,6.0,11.0,6.0,8.21,2.48,25071.0,20,2021-03-13 00:00:00,Axevalla-4,Johan Untersteiner,2.0,2140.0,6.0,9.41,100.0,15.2,2021-01-27 00:00:00,Jägersro-5,Johan Untersteiner,1.0,2640.0,6.0,4.55,30.0,17.8,2021-01-14 00:00:00,Åby-3,Johan Untersteiner,2.0,2140.0,6.0,2.62,30.0,15.3,2021-01-03 00:00:00,Åby-7,Johan Untersteiner,2.0,2140.0,6.0,2.82,30.0,16.1,2020-12-12 00:00:00,Halmstad-4,Johan Untersteiner,2.0,2140.0,6.0,3.21,40.0,15.9,9,0,0,1,1,0,6651.416330443618,6006.507181794034,3643.130763542206,3643.130763542206,4206.725054048198,7.0,45.0,13.0,11.0,22.0
