iter	Accuracy_SumError	Accuracy_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight
30	13141.10686	20717.81801	6373.106856	9911.106856	10411.81801	6373.106856	9911.106856	6373.106856	10411.81801
31	13182.09441	20717.81801	6404.09441	9932.09441	10411.81801	6404.09441	9932.09441	6404.09441	10411.81801
32	13128.1193	20717.81801	6342.119303	9862.119303	10411.81801	6342.119303	9862.119303	6342.119303	10411.81801
33	13111.79012	20717.81801	6331.790118	9857.790118	10411.81801	6331.790118	9857.790118	6331.790118	10411.81801
34	13126.79012	20717.81801	6331.790118	9842.790118	10411.81801	6331.790118	9842.790118	6331.790118	10411.81801
35	13153.46093	20717.81801	6321.460934	9795.460934	10411.81801	6321.460934	9795.460934	6321.460934	10411.81801
36	13126.47338	20717.81801	6290.47338	9760.47338	10411.81801	6290.47338	9760.47338	6290.47338	10411.81801
37	13153.80256	20717.81801	6300.802565	9753.802565	10411.81801	6300.802565	9753.802565	6300.802565	10411.81801
38	13179.46093	20717.81801	6321.460934	9769.460934	10411.81801	6321.460934	9769.460934	6321.460934	10411.81801
39	13163.46093	20717.81801	6321.460934	9785.460934	10411.81801	6321.460934	9785.460934	6321.460934	10411.81801
40	13139.1442	20717.81801	6280.144196	9727.144196	10411.81801	6280.144196	9727.144196	6280.144196	10411.81801
41	13141.47338	20717.81801	6290.47338	9745.47338	10411.81801	6290.47338	9745.47338	6290.47338	10411.81801
42	13159.13175	20717.81801	6311.131749	9769.131749	10411.81801	6311.131749	9769.131749	6311.131749	10411.81801
43	13132.1442	20717.81801	6280.144196	9734.144196	10411.81801	6280.144196	9734.144196	6280.144196	10411.81801
44	13156.80256	20717.81801	6300.802565	9750.802565	10411.81801	6300.802565	9750.802565	6300.802565	10411.81801
45	13167.80256	20717.81801	6300.802565	9739.802565	10411.81801	6300.802565	9739.802565	6300.802565	10411.81801
46	13177.80256	20717.81801	6300.802565	9729.802565	10411.81801	6300.802565	9729.802565	6300.802565	10411.81801
47	13224.79012	20717.81801	6331.790118	9744.790118	10411.81801	6331.790118	9744.790118	6331.790118	10411.81801
48	13201.80256	20717.81801	6300.802565	9705.802565	10411.81801	6300.802565	9705.802565	6300.802565	10411.81801
49	13209.13175	20717.81801	6311.131749	9719.131749	10411.81801	6311.131749	9719.131749	6311.131749	10411.81801
50	13234.79012	20717.81801	6331.790118	9734.790118	10411.81801	6331.790118	9734.790118	6331.790118	10411.81801
51	13224.13175	20717.81801	6311.131749	9704.131749	10411.81801	6311.131749	9704.131749	6311.131749	10411.81801
52	13260.46093	20717.81801	6321.460934	9688.460934	10411.81801	6321.460934	9688.460934	6321.460934	10411.81801
53	13247.46093	20717.81801	6321.460934	9701.460934	10411.81801	6321.460934	9701.460934	6321.460934	10411.81801
54	13241.80256	20717.81801	6300.802565	9665.802565	10411.81801	6300.802565	9665.802565	6300.802565	10411.81801
55	13272.13175	20717.81801	6311.131749	9656.131749	10411.81801	6311.131749	9656.131749	6311.131749	10411.81801
56	13268.13175	20717.81801	6311.131749	9660.131749	10411.81801	6311.131749	9660.131749	6311.131749	10411.81801
57	13263.80256	20717.81801	6300.802565	9643.802565	10411.81801	6300.802565	9643.802565	6300.802565	10411.81801
58	13267.80256	20717.81801	6300.802565	9639.802565	10411.81801	6300.802565	9639.802565	6300.802565	10411.81801
59	13250.47338	20717.81801	6290.47338	9636.47338	10411.81801	6290.47338	9636.47338	6290.47338	10411.81801
60	13303.79012	20717.81801	6331.790118	9665.790118	10411.81801	6331.790118	9665.790118	6331.790118	10411.81801
61	13323.44849	20717.81801	6352.448487	9687.448487	10411.81801	6352.448487	9687.448487	6352.448487	10411.81801
62	13317.1193	20717.81801	6342.119303	9673.119303	10411.81801	6342.119303	9673.119303	6342.119303	10411.81801
63	13306.80256	20717.81801	6300.802565	9600.802565	10411.81801	6300.802565	9600.802565	6300.802565	10411.81801
64	13284.1442	20717.81801	6280.144196	9582.144196	10411.81801	6280.144196	9582.144196	6280.144196	10411.81801
65	13309.47338	20717.81801	6290.47338	9577.47338	10411.81801	6290.47338	9577.47338	6290.47338	10411.81801
66	13294.1442	20717.81801	6280.144196	9572.144196	10411.81801	6280.144196	9572.144196	6280.144196	10411.81801
67	13313.80256	20717.81801	6300.802565	9593.802565	10411.81801	6300.802565	9593.802565	6300.802565	10411.81801
68	13328.13175	20717.81801	6311.131749	9600.131749	10411.81801	6311.131749	9600.131749	6311.131749	10411.81801
69	13295.81501	20717.81801	6269.815011	9549.815011	10411.81801	6269.815011	9549.815011	6269.815011	10411.81801
70	13298.48583	20717.81801	6259.485826	9526.485826	10411.81801	6259.485826	9526.485826	6259.485826	10411.81801
71	13305.48583	20717.81801	6259.485826	9519.485826	10411.81801	6259.485826	9519.485826	6259.485826	10411.81801
72	13298.48583	20717.81801	6259.485826	9526.485826	10411.81801	6259.485826	9526.485826	6259.485826	10411.81801
73	13311.81501	20717.81801	6269.815011	9533.815011	10411.81801	6269.815011	9533.815011	6269.815011	10411.81801
74	13322.48583	20717.81801	6259.485826	9502.485826	10411.81801	6259.485826	9502.485826	6259.485826	10411.81801
75	13296.82746	20717.81801	6238.827457	9486.827457	10411.81801	6238.827457	9486.827457	6238.827457	10411.81801
76	13279.49827	20717.81801	6228.498273	9483.498273	10411.81801	6228.498273	9483.498273	6228.498273	10411.81801
77	13290.82746	20717.81801	6238.827457	9492.827457	10411.81801	6238.827457	9492.827457	6238.827457	10411.81801
78	13320.81501	20717.81801	6269.815011	9524.815011	10411.81801	6269.815011	9524.815011	6269.815011	10411.81801
79	13330.81501	20717.81801	6269.815011	9514.815011	10411.81801	6269.815011	9514.815011	6269.815011	10411.81801
80	13340.1442	20717.81801	6280.144196	9526.144196	10411.81801	6280.144196	9526.144196	6280.144196	10411.81801
81	13354.47338	20717.81801	6290.47338	9532.47338	10411.81801	6290.47338	9532.47338	6290.47338	10411.81801
82	13404.79012	20717.81801	6331.790118	9564.790118	10411.81801	6331.790118	9564.790118	6331.790118	10411.81801
83	13385.46093	20717.81801	6321.460934	9563.460934	10411.81801	6321.460934	9563.460934	6321.460934	10411.81801
84	13389.46093	20717.81801	6321.460934	9559.460934	10411.81801	6321.460934	9559.460934	6321.460934	10411.81801
85	13384.46093	20717.81801	6321.460934	9564.460934	10411.81801	6321.460934	9564.460934	6321.460934	10411.81801
86	13373.13175	20717.81801	6311.131749	9555.131749	10411.81801	6311.131749	9555.131749	6311.131749	10411.81801
87	13392.79012	20717.81801	6331.790118	9576.790118	10411.81801	6331.790118	9576.790118	6331.790118	10411.81801
88	13424.77767	20717.81801	6362.777672	9606.777672	10411.81801	6362.777672	9606.777672	6362.777672	10411.81801
89	13394.1193	20717.81801	6342.119303	9596.119303	10411.81801	6342.119303	9596.119303	6342.119303	10411.81801
90	13385.79012	20717.81801	6331.790118	9583.790118	10411.81801	6331.790118	9583.790118	6331.790118	10411.81801
91	13431.44849	20717.81801	6352.448487	9579.448487	10411.81801	6352.448487	9579.448487	6352.448487	10411.81801
92	13428.44849	20717.81801	6352.448487	9582.448487	10411.81801	6352.448487	9582.448487	6352.448487	10411.81801
93	13418.79012	20717.81801	6331.790118	9550.790118	10411.81801	6331.790118	9550.790118	6331.790118	10411.81801
94	13443.44849	20717.81801	6352.448487	9567.448487	10411.81801	6352.448487	9567.448487	6352.448487	10411.81801
95	13441.44849	20717.81801	6352.448487	9569.448487	10411.81801	6352.448487	9569.448487	6352.448487	10411.81801
96	13458.77767	20717.81801	6362.777672	9572.777672	10411.81801	6362.777672	9572.777672	6362.777672	10411.81801
97	13439.1193	20717.81801	6342.119303	9551.119303	10411.81801	6342.119303	9551.119303	6342.119303	10411.81801
98	13413.46093	20717.81801	6321.460934	9535.460934	10411.81801	6321.460934	9535.460934	6321.460934	10411.81801
99	13417.46093	20717.81801	6321.460934	9531.460934	10411.81801	6321.460934	9531.460934	6321.460934	10411.81801
100	13418.46093	20717.81801	6321.460934	9530.460934	10411.81801	6321.460934	9530.460934	6321.460934	10411.81801
101	13401.80256	20717.81801	6300.802565	9505.802565	10411.81801	6300.802565	9505.802565	6300.802565	10411.81801
102	13437.46093	20717.81801	6321.460934	9511.460934	10411.81801	6321.460934	9511.460934	6321.460934	10411.81801
103	13424.13175	20717.81801	6311.131749	9504.131749	10411.81801	6311.131749	9504.131749	6311.131749	10411.81801
104	13411.80256	20717.81801	6300.802565	9495.802565	10411.81801	6300.802565	9495.802565	6300.802565	10411.81801
105	13399.47338	20717.81801	6290.47338	9487.47338	10411.81801	6290.47338	9487.47338	6290.47338	10411.81801
106	13388.1442	20717.81801	6280.144196	9478.144196	10411.81801	6280.144196	9478.144196	6280.144196	10411.81801
107	13364.15664	20717.81801	6249.156642	9440.156642	10411.81801	6249.156642	9440.156642	6249.156642	10411.81801
108	13400.1442	20717.81801	6280.144196	9466.144196	10411.81801	6280.144196	9466.144196	6280.144196	10411.81801
109	13392.1442	20717.81801	6280.144196	9474.144196	10411.81801	6280.144196	9474.144196	6280.144196	10411.81801
110	13383.81501	20717.81801	6269.815011	9461.815011	10411.81801	6269.815011	9461.815011	6269.815011	10411.81801
111	13385.81501	20717.81801	6269.815011	9459.815011	10411.81801	6269.815011	9459.815011	6269.815011	10411.81801
112	13392.1442	20717.81801	6280.144196	9474.144196	10411.81801	6280.144196	9474.144196	6280.144196	10411.81801
113	13369.48583	20717.81801	6259.485826	9455.485826	10411.81801	6259.485826	9455.485826	6259.485826	10411.81801
114	13420.47338	20717.81801	6290.47338	9466.47338	10411.81801	6290.47338	9466.47338	6290.47338	10411.81801
115	13447.13175	20717.81801	6311.131749	9481.131749	10411.81801	6311.131749	9481.131749	6311.131749	10411.81801
116	13431.80256	20717.81801	6300.802565	9475.802565	10411.81801	6300.802565	9475.802565	6300.802565	10411.81801
117	13430.80256	20717.81801	6300.802565	9476.802565	10411.81801	6300.802565	9476.802565	6300.802565	10411.81801
118	13437.13175	20717.81801	6311.131749	9491.131749	10411.81801	6311.131749	9491.131749	6311.131749	10411.81801
119	13403.1442	20717.81801	6280.144196	9463.144196	10411.81801	6280.144196	9463.144196	6280.144196	10411.81801
120	13423.80256	20717.81801	6300.802565	9483.802565	10411.81801	6300.802565	9483.802565	6300.802565	10411.81801
121	13425.13175	20717.81801	6311.131749	9503.131749	10411.81801	6311.131749	9503.131749	6311.131749	10411.81801
122	13424.13175	20717.81801	6311.131749	9504.131749	10411.81801	6311.131749	9504.131749	6311.131749	10411.81801
123	13413.80256	20717.81801	6300.802565	9493.802565	10411.81801	6300.802565	9493.802565	6300.802565	10411.81801
124	13417.80256	20717.81801	6300.802565	9489.802565	10411.81801	6300.802565	9489.802565	6300.802565	10411.81801
125	13422.80256	20717.81801	6300.802565	9484.802565	10411.81801	6300.802565	9484.802565	6300.802565	10411.81801
126	13413.1442	20717.81801	6280.144196	9453.144196	10411.81801	6280.144196	9453.144196	6280.144196	10411.81801
127	13419.47338	20717.81801	6290.47338	9467.47338	10411.81801	6290.47338	9467.47338	6290.47338	10411.81801
128	13421.47338	20717.81801	6290.47338	9465.47338	10411.81801	6290.47338	9465.47338	6290.47338	10411.81801
129	13414.47338	20717.81801	6290.47338	9472.47338	10411.81801	6290.47338	9472.47338	6290.47338	10411.81801
130	13424.80256	20717.81801	6300.802565	9482.802565	10411.81801	6300.802565	9482.802565	6300.802565	10411.81801
131	13427.80256	20717.81801	6300.802565	9479.802565	10411.81801	6300.802565	9479.802565	6300.802565	10411.81801
132	13433.80256	20717.81801	6300.802565	9473.802565	10411.81801	6300.802565	9473.802565	6300.802565	10411.81801
133	13445.13175	20717.81801	6311.131749	9483.131749	10411.81801	6311.131749	9483.131749	6311.131749	10411.81801
134	13439.80256	20717.81801	6300.802565	9467.802565	10411.81801	6300.802565	9467.802565	6300.802565	10411.81801
135	13449.13175	20717.81801	6311.131749	9479.131749	10411.81801	6311.131749	9479.131749	6311.131749	10411.81801
136	13419.1442	20717.81801	6280.144196	9447.144196	10411.81801	6280.144196	9447.144196	6280.144196	10411.81801
137	13441.80256	20717.81801	6300.802565	9465.802565	10411.81801	6300.802565	9465.802565	6300.802565	10411.81801
138	13431.80256	20717.81801	6300.802565	9475.802565	10411.81801	6300.802565	9475.802565	6300.802565	10411.81801
139	13447.13175	20717.81801	6311.131749	9481.131749	10411.81801	6311.131749	9481.131749	6311.131749	10411.81801
140	13449.13175	20717.81801	6311.131749	9479.131749	10411.81801	6311.131749	9479.131749	6311.131749	10411.81801
141	13446.80256	20717.81801	6300.802565	9460.802565	10411.81801	6300.802565	9460.802565	6300.802565	10411.81801
142	13444.80256	20717.81801	6300.802565	9462.802565	10411.81801	6300.802565	9462.802565	6300.802565	10411.81801
143	13414.1442	20717.81801	6280.144196	9452.144196	10411.81801	6280.144196	9452.144196	6280.144196	10411.81801
144	13412.1442	20717.81801	6280.144196	9454.144196	10411.81801	6280.144196	9454.144196	6280.144196	10411.81801
145	13414.1442	20717.81801	6280.144196	9452.144196	10411.81801	6280.144196	9452.144196	6280.144196	10411.81801
146	13453.46093	20717.81801	6321.460934	9495.460934	10411.81801	6321.460934	9495.460934	6321.460934	10411.81801
147	13430.80256	20717.81801	6300.802565	9476.802565	10411.81801	6300.802565	9476.802565	6300.802565	10411.81801
148	13433.80256	20717.81801	6300.802565	9473.802565	10411.81801	6300.802565	9473.802565	6300.802565	10411.81801
149	13432.80256	20717.81801	6300.802565	9474.802565	10411.81801	6300.802565	9474.802565	6300.802565	10411.81801
150	13440.80256	20717.81801	6300.802565	9466.802565	10411.81801	6300.802565	9466.802565	6300.802565	10411.81801
151	13461.46093	20717.81801	6321.460934	9487.460934	10411.81801	6321.460934	9487.460934	6321.460934	10411.81801
152	13473.79012	20717.81801	6331.790118	9495.790118	10411.81801	6331.790118	9495.790118	6331.790118	10411.81801
153	13487.1193	20717.81801	6342.119303	9503.119303	10411.81801	6342.119303	9503.119303	6342.119303	10411.81801
154	13464.46093	20717.81801	6321.460934	9484.460934	10411.81801	6321.460934	9484.460934	6321.460934	10411.81801
155	13474.79012	20717.81801	6331.790118	9494.790118	10411.81801	6331.790118	9494.790118	6331.790118	10411.81801
156	13477.79012	20717.81801	6331.790118	9491.790118	10411.81801	6331.790118	9491.790118	6331.790118	10411.81801
157	13478.79012	20717.81801	6331.790118	9490.790118	10411.81801	6331.790118	9490.790118	6331.790118	10411.81801
158	13510.77767	20717.81801	6362.777672	9520.777672	10411.81801	6362.777672	9520.777672	6362.777672	10411.81801
159	13501.44849	20717.81801	6352.448487	9509.448487	10411.81801	6352.448487	9509.448487	6352.448487	10411.81801
160	13453.13175	20717.81801	6311.131749	9475.131749	10411.81801	6311.131749	9475.131749	6311.131749	10411.81801
161	13455.13175	20717.81801	6311.131749	9473.131749	10411.81801	6311.131749	9473.131749	6311.131749	10411.81801
162	13461.46093	20717.81801	6321.460934	9487.460934	10411.81801	6321.460934	9487.460934	6321.460934	10411.81801
163	13464.46093	20717.81801	6321.460934	9484.460934	10411.81801	6321.460934	9484.460934	6321.460934	10411.81801
164	13443.80256	20717.81801	6300.802565	9463.802565	10411.81801	6300.802565	9463.802565	6300.802565	10411.81801
165	13462.46093	20717.81801	6321.460934	9486.460934	10411.81801	6321.460934	9486.460934	6321.460934	10411.81801
166	13453.13175	20717.81801	6311.131749	9475.131749	10411.81801	6311.131749	9475.131749	6311.131749	10411.81801
167	13465.46093	20717.81801	6321.460934	9483.460934	10411.81801	6321.460934	9483.460934	6321.460934	10411.81801
168	13461.13175	20717.81801	6311.131749	9467.131749	10411.81801	6311.131749	9467.131749	6311.131749	10411.81801
169	13460.13175	20717.81801	6311.131749	9468.131749	10411.81801	6311.131749	9468.131749	6311.131749	10411.81801
170	13438.47338	20717.81801	6290.47338	9448.47338	10411.81801	6290.47338	9448.47338	6290.47338	10411.81801
171	13454.80256	20717.81801	6300.802565	9452.802565	10411.81801	6300.802565	9452.802565	6300.802565	10411.81801
172	13449.80256	20717.81801	6300.802565	9457.802565	10411.81801	6300.802565	9457.802565	6300.802565	10411.81801
173	13431.1442	20717.81801	6280.144196	9435.144196	10411.81801	6280.144196	9435.144196	6280.144196	10411.81801
174	13432.1442	20717.81801	6280.144196	9434.144196	10411.81801	6280.144196	9434.144196	6280.144196	10411.81801
175	13433.1442	20717.81801	6280.144196	9433.144196	10411.81801	6280.144196	9433.144196	6280.144196	10411.81801
176	13443.47338	20717.81801	6290.47338	9443.47338	10411.81801	6290.47338	9443.47338	6290.47338	10411.81801
177	13450.80256	20717.81801	6300.802565	9456.802565	10411.81801	6300.802565	9456.802565	6300.802565	10411.81801
178	13440.47338	20717.81801	6290.47338	9446.47338	10411.81801	6290.47338	9446.47338	6290.47338	10411.81801
179	13468.13175	20717.81801	6311.131749	9460.131749	10411.81801	6311.131749	9460.131749	6311.131749	10411.81801
180	13455.80256	20717.81801	6300.802565	9451.802565	10411.81801	6300.802565	9451.802565	6300.802565	10411.81801
181	13459.80256	20717.81801	6300.802565	9447.802565	10411.81801	6300.802565	9447.802565	6300.802565	10411.81801
182	13446.80256	20717.81801	6300.802565	9460.802565	10411.81801	6300.802565	9460.802565	6300.802565	10411.81801
183	13448.80256	20717.81801	6300.802565	9458.802565	10411.81801	6300.802565	9458.802565	6300.802565	10411.81801
184	13452.80256	20717.81801	6300.802565	9454.802565	10411.81801	6300.802565	9454.802565	6300.802565	10411.81801
185	13445.47338	20717.81801	6290.47338	9441.47338	10411.81801	6290.47338	9441.47338	6290.47338	10411.81801
186	13463.13175	20717.81801	6311.131749	9465.131749	10411.81801	6311.131749	9465.131749	6311.131749	10411.81801
187	13473.46093	20717.81801	6321.460934	9475.460934	10411.81801	6321.460934	9475.460934	6321.460934	10411.81801
188	13448.47338	20717.81801	6290.47338	9438.47338	10411.81801	6290.47338	9438.47338	6290.47338	10411.81801
189	13480.46093	20717.81801	6321.460934	9468.460934	10411.81801	6321.460934	9468.460934	6321.460934	10411.81801
190	13493.79012	20717.81801	6331.790118	9475.790118	10411.81801	6331.790118	9475.790118	6331.790118	10411.81801
191	13461.13175	20717.81801	6311.131749	9467.131749	10411.81801	6311.131749	9467.131749	6311.131749	10411.81801
192	13468.13175	20717.81801	6311.131749	9460.131749	10411.81801	6311.131749	9460.131749	6311.131749	10411.81801
193	13460.80256	20717.81801	6300.802565	9446.802565	10411.81801	6300.802565	9446.802565	6300.802565	10411.81801
194	13461.80256	20717.81801	6300.802565	9445.802565	10411.81801	6300.802565	9445.802565	6300.802565	10411.81801
195	13487.46093	20717.81801	6321.460934	9461.460934	10411.81801	6321.460934	9461.460934	6321.460934	10411.81801
196	13476.13175	20717.81801	6311.131749	9452.131749	10411.81801	6311.131749	9452.131749	6311.131749	10411.81801
197	13475.13175	20717.81801	6311.131749	9453.131749	10411.81801	6311.131749	9453.131749	6311.131749	10411.81801
198	13468.80256	20717.81801	6300.802565	9438.802565	10411.81801	6300.802565	9438.802565	6300.802565	10411.81801
199	13472.80256	20717.81801	6300.802565	9434.802565	10411.81801	6300.802565	9434.802565	6300.802565	10411.81801
200	13468.80256	20717.81801	6300.802565	9438.802565	10411.81801	6300.802565	9438.802565	6300.802565	10411.81801
201	13468.80256	20717.81801	6300.802565	9438.802565	10411.81801	6300.802565	9438.802565	6300.802565	10411.81801
202	13517.79012	20717.81801	6331.790118	9451.790118	10411.81801	6331.790118	9451.790118	6331.790118	10411.81801
203	13488.80256	20717.81801	6300.802565	9418.802565	10411.81801	6300.802565	9418.802565	6300.802565	10411.81801
204	13466.1442	20717.81801	6280.144196	9400.144196	10411.81801	6280.144196	9400.144196	6280.144196	10411.81801
205	13458.81501	20717.81801	6269.815011	9386.815011	10411.81801	6269.815011	9386.815011	6269.815011	10411.81801
206	13460.81501	20717.81801	6269.815011	9384.815011	10411.81801	6269.815011	9384.815011	6269.815011	10411.81801
207	13472.1442	20717.81801	6280.144196	9394.144196	10411.81801	6280.144196	9394.144196	6280.144196	10411.81801
208	13460.81501	20717.81801	6269.815011	9384.815011	10411.81801	6269.815011	9384.815011	6269.815011	10411.81801
209	13469.1442	20717.81801	6280.144196	9397.144196	10411.81801	6280.144196	9397.144196	6280.144196	10411.81801
210	13468.1442	20717.81801	6280.144196	9398.144196	10411.81801	6280.144196	9398.144196	6280.144196	10411.81801
211	13492.80256	20717.81801	6300.802565	9414.802565	10411.81801	6300.802565	9414.802565	6300.802565	10411.81801
212	13472.1442	20717.81801	6280.144196	9394.144196	10411.81801	6280.144196	9394.144196	6280.144196	10411.81801
213	13491.80256	20717.81801	6300.802565	9415.802565	10411.81801	6300.802565	9415.802565	6300.802565	10411.81801
214	13507.13175	20717.81801	6311.131749	9421.131749	10411.81801	6311.131749	9421.131749	6311.131749	10411.81801
215	13512.46093	20717.81801	6321.460934	9436.460934	10411.81801	6321.460934	9436.460934	6321.460934	10411.81801
216	13499.13175	20717.81801	6311.131749	9429.131749	10411.81801	6311.131749	9429.131749	6311.131749	10411.81801
217	13497.13175	20717.81801	6311.131749	9431.131749	10411.81801	6311.131749	9431.131749	6311.131749	10411.81801
218	13498.13175	20717.81801	6311.131749	9430.131749	10411.81801	6311.131749	9430.131749	6311.131749	10411.81801
219	13510.46093	20717.81801	6321.460934	9438.460934	10411.81801	6321.460934	9438.460934	6321.460934	10411.81801
220	13510.46093	20717.81801	6321.460934	9438.460934	10411.81801	6321.460934	9438.460934	6321.460934	10411.81801
221	13512.46093	20717.81801	6321.460934	9436.460934	10411.81801	6321.460934	9436.460934	6321.460934	10411.81801
222	13506.13175	20717.81801	6311.131749	9422.131749	10411.81801	6311.131749	9422.131749	6311.131749	10411.81801
223	13522.79012	20717.81801	6331.790118	9446.790118	10411.81801	6331.790118	9446.790118	6331.790118	10411.81801
224	13522.79012	20717.81801	6331.790118	9446.790118	10411.81801	6331.790118	9446.790118	6331.790118	10411.81801
225	13546.44849	20717.81801	6352.448487	9464.448487	10411.81801	6352.448487	9464.448487	6352.448487	10411.81801
226	13525.79012	20717.81801	6331.790118	9443.790118	10411.81801	6331.790118	9443.790118	6331.790118	10411.81801
227	13510.46093	20717.81801	6321.460934	9438.460934	10411.81801	6321.460934	9438.460934	6321.460934	10411.81801
228	13498.13175	20717.81801	6311.131749	9430.131749	10411.81801	6311.131749	9430.131749	6311.131749	10411.81801
229	13523.79012	20717.81801	6331.790118	9445.790118	10411.81801	6331.790118	9445.790118	6331.790118	10411.81801
230	13539.44849	20717.81801	6352.448487	9471.448487	10411.81801	6352.448487	9471.448487	6352.448487	10411.81801
231	13534.1193	20717.81801	6342.119303	9456.119303	10411.81801	6342.119303	9456.119303	6342.119303	10411.81801
232	13524.79012	20717.81801	6331.790118	9444.790118	10411.81801	6331.790118	9444.790118	6331.790118	10411.81801
233	13524.79012	20717.81801	6331.790118	9444.790118	10411.81801	6331.790118	9444.790118	6331.790118	10411.81801
234	13525.79012	20717.81801	6331.790118	9443.790118	10411.81801	6331.790118	9443.790118	6331.790118	10411.81801
235	13519.46093	20717.81801	6321.460934	9429.460934	10411.81801	6321.460934	9429.460934	6321.460934	10411.81801
236	13538.1193	20717.81801	6342.119303	9452.119303	10411.81801	6342.119303	9452.119303	6342.119303	10411.81801
237	13526.79012	20717.81801	6331.790118	9442.790118	10411.81801	6331.790118	9442.790118	6331.790118	10411.81801
238	13524.79012	20717.81801	6331.790118	9444.790118	10411.81801	6331.790118	9444.790118	6331.790118	10411.81801
239	13539.1193	20717.81801	6342.119303	9451.119303	10411.81801	6342.119303	9451.119303	6342.119303	10411.81801
240	13528.79012	20717.81801	6331.790118	9440.790118	10411.81801	6331.790118	9440.790118	6331.790118	10411.81801
241	13518.46093	20717.81801	6321.460934	9430.460934	10411.81801	6321.460934	9430.460934	6321.460934	10411.81801
242	13519.46093	20717.81801	6321.460934	9429.460934	10411.81801	6321.460934	9429.460934	6321.460934	10411.81801
243	13529.79012	20717.81801	6331.790118	9439.790118	10411.81801	6331.790118	9439.790118	6331.790118	10411.81801
244	13535.79012	20717.81801	6331.790118	9433.790118	10411.81801	6331.790118	9433.790118	6331.790118	10411.81801
245	13524.46093	20717.81801	6321.460934	9424.460934	10411.81801	6321.460934	9424.460934	6321.460934	10411.81801
