iter	Logloss
0	0.6592632461
1	0.6278260015
2	0.5980809652
3	0.5714959519
4	0.5452523311
5	0.523804593
6	0.5034617127
7	0.4839141223
8	0.4672580775
9	0.4490041143
10	0.4344226726
11	0.4214386917
12	0.4084542757
13	0.3951188779
14	0.3848097823
15	0.3750503419
16	0.3642267746
17	0.3565229248
18	0.349112992
19	0.3401720219
20	0.3338409949
21	0.3275967127
22	0.3226742335
23	0.3163824916
24	0.3104525009
25	0.3048568418
26	0.3004212513
27	0.2962005084
28	0.2929897266
29	0.2899294735
30	0.2869720593
31	0.2845646392
32	0.2819804318
33	0.2797110624
34	0.2763323105
35	0.2744927912
36	0.2714830418
37	0.2699047057
38	0.2675753491
39	0.2653353597
40	0.2632082009
41	0.2615387836
42	0.2599758359
43	0.2581281194
44	0.2564868954
45	0.2557666263
46	0.2545150872
47	0.2531187898
48	0.252239116
49	0.2515921856
50	0.2509406383
51	0.2503463629
52	0.2494430814
53	0.2488810432
54	0.2478714582
55	0.2471041705
56	0.2462071439
57	0.2456597086
58	0.2450283366
59	0.2443792253
60	0.2440378101
61	0.2436433052
62	0.2430427674
63	0.2428154511
64	0.2424712692
65	0.242157323
66	0.2420243263
67	0.2414746343
68	0.2411143784
69	0.240786816
70	0.2403068537
71	0.2400106729
72	0.2397904104
73	0.2393573216
74	0.2389570883
75	0.2385588573
76	0.238115081
77	0.237891133
78	0.2375719303
79	0.2372514351
80	0.2370529974
81	0.2367257979
82	0.2364160881
83	0.2361229771
84	0.235941515
85	0.235670319
86	0.2355343626
87	0.2353436966
88	0.2352218092
89	0.2350857311
90	0.234978649
91	0.2348631374
92	0.2346522878
93	0.2344303802
94	0.2341877163
95	0.2340188103
96	0.2337559591
97	0.2335393349
98	0.2332980939
99	0.2332117331
100	0.2331223326
101	0.2330284191
102	0.2328793644
103	0.2327748999
104	0.2326922349
105	0.2326474022
106	0.2325459302
107	0.232472426
108	0.2322989534
109	0.2321786487
110	0.2320646578
111	0.2318719323
112	0.2318072692
113	0.2317050637
114	0.2316005442
115	0.2314757437
116	0.2313823263
117	0.2312865914
118	0.2312088746
119	0.2310419404
120	0.2310223992
121	0.2309223696
122	0.2308756481
123	0.2307719775
124	0.2307310637
125	0.2306578564
126	0.2305678846
127	0.2304500159
128	0.2303939028
129	0.2302713782
130	0.2301983385
131	0.2301279819
132	0.2300599499
133	0.2299850353
134	0.2299121128
135	0.2298758178
136	0.2298132209
137	0.2297246193
138	0.2296351085
139	0.2295892561
140	0.2294803944
141	0.2293660179
142	0.2292657871
143	0.2291818636
144	0.2291227822
145	0.2290450152
146	0.2289365959
147	0.2289255382
148	0.2288629337
149	0.2288236263
150	0.2288219843
151	0.2287283376
152	0.2286344693
153	0.2285834637
154	0.2285437994
155	0.2284784017
156	0.2283964824
157	0.2282882121
158	0.2281998374
159	0.2281291569
160	0.2280537603
161	0.2279759607
162	0.2279027001
163	0.2278468142
164	0.2277749093
165	0.2276338581
166	0.2275491314
167	0.2274367754
168	0.2273429067
169	0.2272476613
170	0.2272462763
171	0.2272196513
172	0.2271785721
173	0.2271217357
174	0.2270230799
175	0.2269452809
176	0.2268982952
177	0.2268195214
178	0.2267794755
179	0.2267495466
180	0.2267208025
181	0.226617432
182	0.2265635448
183	0.2264940734
184	0.226383832
185	0.2263295643
186	0.2262479794
187	0.2262076797
188	0.2261269636
189	0.226071288
190	0.2259882089
191	0.2258998986
192	0.2258405986
193	0.2257651313
194	0.2257263287
195	0.2256713705
196	0.2255476216
197	0.2254756737
198	0.2253512664
199	0.2252996063
200	0.2252498048
201	0.2251631984
202	0.2251406324
203	0.2250991788
204	0.2250170014
205	0.2249593858
206	0.2248932725
207	0.2248441049
208	0.2247880786
209	0.2247253982
210	0.2246431499
211	0.2245365496
212	0.2244547426
213	0.2243907521
214	0.2242917137
215	0.2242296608
216	0.2241936485
217	0.2241127701
218	0.2240232862
219	0.2239297843
220	0.2239203483
221	0.2238727595
222	0.2238117318
223	0.2237736902
224	0.2237318296
225	0.2236977025
226	0.2236495642
227	0.2235768066
228	0.2235585904
229	0.2234839655
230	0.2234419365
231	0.2233694981
232	0.2233304828
233	0.2232859059
234	0.2232177744
235	0.2231218142
236	0.2230763926
237	0.2230430954
238	0.2229509099
239	0.2228331589
240	0.2227546625
241	0.2227100306
242	0.2226806861
243	0.2226265117
244	0.2225633192
245	0.2224996368
246	0.222441737
247	0.2224015125
248	0.2223188875
249	0.2222834165
250	0.2222677827
251	0.2222032326
252	0.2221929508
253	0.2221120185
254	0.2220634418
255	0.2219780728
256	0.2219153242
257	0.2218710887
258	0.2218221518
259	0.2217622032
260	0.221710854
261	0.2216574227
262	0.2216404948
263	0.2215600341
264	0.2215138625
265	0.2214711554
266	0.2214025868
267	0.2213902631
268	0.2213319588
269	0.2212939668
270	0.2212337099
271	0.2211556637
272	0.2211189395
273	0.2210589064
274	0.2209988499
275	0.2209595027
276	0.2208939681
277	0.2208665234
278	0.220831726
279	0.2207556174
280	0.2207204169
281	0.220683077
282	0.2206161043
283	0.2205749788
284	0.2205172644
285	0.2203957959
286	0.2203165446
287	0.2202572717
288	0.2201800478
289	0.2201316531
290	0.2200448999
291	0.2199748205
292	0.2199283241
293	0.219869231
294	0.219841494
295	0.2197490957
296	0.2196861222
297	0.2196577335
298	0.2196143584
299	0.2195317828
300	0.2194701076
301	0.2194009551
302	0.2193632409
303	0.2192765631
304	0.2191946363
305	0.2191595798
306	0.2191245004
307	0.2191000289
308	0.2190453621
309	0.2189865677
310	0.2189438019
311	0.218898539
312	0.2188353077
313	0.2187582163
314	0.2186921285
315	0.2186231901
316	0.2185673854
317	0.2184813874
318	0.2184219423
319	0.2183649507
320	0.2182801304
321	0.2182460856
322	0.2181971313
323	0.2181386341
324	0.2180326675
325	0.2179914089
326	0.217957047
327	0.2179039774
328	0.2179031272
329	0.2178093914
330	0.2177470733
331	0.2176715845
332	0.2175942272
333	0.2175248774
