datum,f,insats,kassa,plac,proba,rätt,spela,utdelning,vann,vinst,vodds
2019-02-23,0.009031140255477849,4.515570127738925,1000.0,4.0,0.11627885234904084,False,True,0.0,0,-4.515570127738925,9.24
2019-02-23,-0.2136332253286043,-0.0,1000.0,5.0,0.10828540207951354,False,False,-0.0,0,0.0,3.77
2019-02-23,-0.007249352491436707,-0.0,1000.0,6.0,0.005374401769641581,False,False,-0.0,0,0.0,79.79
2019-02-23,-0.060985961156476885,-0.0,1000.0,7.0,0.20426052913264234,False,False,-0.0,0,0.0,4.0
2019-02-23,-0.0018066810641831734,-0.0,1000.0,13.0,0.01688374208999935,False,False,-0.0,0,0.0,53.6
2019-02-23,-0.04413793146241203,-0.0,1000.0,13.0,0.054738766592740615,False,False,-0.0,0,0.0,10.56
2019-02-23,-0.03838745655687219,-0.0,1000.0,13.0,0.11966238462377807,False,False,-0.0,0,0.0,6.57
2019-02-23,-0.0067682213737759135,-0.0,1000.0,13.0,0.009930538310645647,False,False,-0.0,0,0.0,60.29
2019-02-23,-0.004261894441607132,-0.0,1000.0,13.0,0.0021542945083136895,False,False,-0.0,0,0.0,156.52
2019-02-23,-0.010415890292704162,-0.0,1000.0,13.0,0.0020969999895584296,False,False,-0.0,0,0.0,80.75
2019-02-23,-0.0027067245063711895,-0.0,1000.0,13.0,0.007934331680685705,False,False,-0.0,0,0.0,94.23
2019-02-23,-0.04032180665114305,-0.0,1000.0,1.0,0.0928820098214745,False,False,-0.0,1,0.0,7.81
2019-02-23,-0.0759974862717769,-0.0,1000.0,2.0,0.03895951012478048,False,False,-0.0,0,0.0,9.36
2019-02-23,-0.0338365872478064,-0.0,1000.0,3.0,0.0211254854394773,False,False,-0.0,0,0.0,18.81
2019-02-23,-0.0649896955804085,-0.0,1000.0,4.0,0.09612826139090896,False,False,-0.0,0,0.0,6.61
2019-02-23,0.015861305335996084,7.930652667998042,1000.0,5.0,0.35996574402970377,False,True,0.0,0,-7.930652667998042,2.86
2019-02-23,-0.028023741498687714,-0.0,1000.0,6.0,0.04195745261286353,False,False,-0.0,0,0.0,14.69
2019-02-23,0.0005289645779610808,0.26448228898054044,1000.0,7.0,0.08126168149411932,False,True,0.0,0,-0.26448228898054044,12.38
2019-02-23,-0.017009069748317725,-0.0,1000.0,13.0,0.01401622219031308,False,False,-0.0,0,0.0,32.78
2019-02-23,-0.003657920683503584,-0.0,1000.0,13.0,0.08587445404294633,False,False,-0.0,0,0.0,11.21
2019-02-23,-0.020195939006335303,-0.0,1000.0,14.0,0.07064964772619678,False,False,-0.0,0,0.0,11.23
2019-02-23,0.033617288324719524,16.808644162359762,1000.0,1.0,0.1401644450695134,True,True,152.45440255260306,1,135.6457583902433,9.07
2019-02-23,-1.3255794215652377,-0.0,1000.0,2.0,0.28940628785506634,False,False,-0.0,0,0.0,1.44
2019-02-23,0.045979193456553484,22.98959672827674,1000.0,3.0,0.11026630980045149,False,True,0.0,0,-22.98959672827674,14.84
2019-02-23,-0.005443830814936511,-0.0,1000.0,4.0,0.04227538279754268,False,False,-0.0,0,0.0,21.07
2019-02-23,-0.013969724387066522,-0.0,1000.0,5.0,0.005884783629128239,False,False,-0.0,0,0.0,51.07
2019-02-23,-0.013506987578786222,-0.0,1000.0,6.0,0.08754056851082358,False,False,-0.0,0,0.0,10.03
2019-02-23,-0.019955209436606242,-0.0,1000.0,7.0,0.011898482300951727,False,False,-0.0,0,0.0,32.02
2019-02-23,0.006850521734665167,3.4252608673325837,1000.0,13.0,0.023266215590290535,False,True,0.0,0,-3.4252608673325837,60.5
2019-02-23,-0.029059886489406973,-0.0,1000.0,13.0,0.04842956279443392,False,False,-0.0,0,0.0,13.28
2019-02-23,-0.03861042515725053,-0.0,1000.0,13.0,0.05702589391800275,False,False,-0.0,0,0.0,10.86
2019-03-02,-0.19031982396978,-0.0,1129.6785378376055,1.0,0.18755948522697558,False,False,-0.0,1,0.0,3.15
2019-03-02,-0.10936000727439513,-0.0,1129.6785378376055,2.0,0.1015449370743492,False,False,-0.0,0,0.0,5.26
2019-03-02,-0.015667313870694248,-0.0,1129.6785378376055,3.0,0.016022773925583267,False,False,-0.0,0,0.0,32.05
2019-03-02,-0.03317009379686208,-0.0,1129.6785378376055,4.0,0.019867385350820773,False,False,-0.0,0,0.0,19.48
2019-03-02,-0.05591138380539726,-0.0,1129.6785378376055,5.0,0.03135401981488352,False,False,-0.0,0,0.0,12.1
2019-03-02,-0.0795127393820063,-0.0,1129.6785378376055,6.0,0.11087751447725408,False,False,-0.0,0,0.0,5.67
2019-03-02,-0.0018223419082228358,-0.0,1129.6785378376055,7.0,0.034660627571319144,False,False,-0.0,0,0.0,27.46
2019-03-02,-0.05770670307779009,-0.0,1129.6785378376055,13.0,0.11857774743517492,False,False,-0.0,0,0.0,6.0
2019-03-02,-0.06525123716509322,-0.0,1129.6785378376055,13.0,0.05847132231981889,False,False,-0.0,0,0.0,8.61
2019-03-02,-0.0276734265797038,-0.0,1129.6785378376055,13.0,0.00556310079997614,False,False,-0.0,0,0.0,30.92
