datum,f,insats,kassa,plac,proba,rätt,spela,utdelning,vann,vinst,vodds
2019-02-09,-0.03053550418719865,-0.0,1000.0,1.0,0.20156708684595417,False,False,-0.0,1,0.0,4.44
2019-02-09,-0.03313113198968625,-0.0,1000.0,2.0,0.023665521775552128,False,False,-0.0,0,0.0,18.19
2019-02-09,-0.027530015464259296,-0.0,1000.0,3.0,0.1696926362563279,False,False,-0.0,0,0.0,5.21
2019-02-09,-0.010278433506272147,-0.0,1000.0,6.0,0.019969423784334805,False,False,-0.0,0,0.0,33.4
2019-02-09,-0.06517030195111066,-0.0,1000.0,7.0,0.047665535119981575,False,False,-0.0,0,0.0,9.44
2019-02-09,-0.0464568111005834,-0.0,1000.0,13.0,0.02040943880999701,False,False,-0.0,0,0.0,15.65
2019-02-09,-0.023801411117668834,-0.0,1000.0,13.0,0.005341811515911264,False,False,-0.0,0,0.0,35.13
2019-02-09,-0.03496595538391155,-0.0,1000.0,13.0,0.023672342371550865,False,False,-0.0,0,0.0,17.65
2019-02-09,-0.07131760081719091,-0.0,1000.0,13.0,0.14380641541116065,False,False,-0.0,0,0.0,4.98
2019-02-09,-0.06619130419533606,-0.0,1000.0,14.0,0.08482729413261524,False,False,-0.0,0,0.0,7.06
2019-02-09,-0.0181029797731104,-0.0,1000.0,14.0,0.012434002223683549,False,False,-0.0,0,0.0,33.34
2019-02-09,-0.04317209066795221,-0.0,1000.0,1.0,0.022312660786407628,False,False,-0.0,1,0.0,15.93
2019-02-09,-0.04239243521704026,-0.0,1000.0,2.0,0.09351270627149172,False,False,-0.0,0,0.0,7.67
2019-02-09,-0.05312510435400527,-0.0,1000.0,3.0,0.07239636219593576,False,False,-0.0,0,0.0,8.39
2019-02-09,-0.01211683162595394,-0.0,1000.0,4.0,0.008137657700160809,False,False,-0.0,0,0.0,49.97
2019-02-09,-0.031001550676691504,-0.0,1000.0,5.0,0.02666072844392883,False,False,-0.0,0,0.0,17.88
2019-02-09,-0.02530519149237618,-0.0,1000.0,6.0,0.018869956783900257,False,False,-0.0,0,0.0,23.21
2019-02-09,-0.06325987089987266,-0.0,1000.0,7.0,0.0384874851671008,False,False,-0.0,0,0.0,10.45
2019-02-09,-0.38905204517387204,-0.0,1000.0,13.0,0.305473977413064,False,False,-0.0,0,0.0,2.0
2019-02-09,-0.04108054819693757,-0.0,1000.0,13.0,0.0669153592923713,False,False,-0.0,0,0.0,9.64
2019-02-09,-0.023382739344339168,-0.0,1000.0,14.0,0.016797187602827664,False,False,-0.0,0,0.0,25.47
2019-02-09,-0.03176906229403981,-0.0,1000.0,1.0,0.015408306809482816,False,False,-0.0,1,0.0,21.87
2019-02-09,-0.04072314504588716,-0.0,1000.0,2.0,0.015654056744247576,False,False,-0.0,0,0.0,18.46
2019-02-09,-0.057765527181698195,-0.0,1000.0,3.0,0.08996708834647195,False,False,-0.0,0,0.0,7.16
