,datum,avd,startnr,häst,proba6,proba1,proba9,kelly6,kelly1,kelly9,meta_predict,välj
4,2022-07-07,1,5,francesco zet,0.6108631300682137,0.7354878942663958,0.6052882454238796,0.35382528097340227,0.5607688481651535,0.3445679995462023,0.503554852245452,True
10,2022-07-07,2,4,sourire frö,0.33256906976171186,0.2867632081169421,0.3474995281604358,0.053479418077284575,-0.011480398519767163,0.07465312389713269,0.3818914269710416,True
20,2022-07-07,3,6,iznogoud am,0.3245765058087087,0.31376871159576697,0.34038802574915056,0.06384539715532143,0.048865512111260515,0.08576057673896625,0.37051603517967885,True
31,2022-07-07,4,9,marion fouty bon,0.33628156258926345,0.3230284057016922,0.32856836465712186,0.08102762869897544,0.0626775508260313,0.07034807635496267,0.3825793335326235,True
40,2022-07-07,5,6,parfait a.f.,0.20348996551210297,0.2463102772640121,0.2531232414700213,-0.01972587732633485,0.03509449916355635,0.043816744460355786,0.219839273809521,True
52,2022-07-07,6,3,imhatra am,0.45421866652202,0.3892072456940683,0.43538406449366557,0.14400190043792419,0.042038624552450395,0.11446189503037407,0.4301172779838335,True
73,2022-07-07,7,15,spickleback face,0.21020155907660767,0.30411638903209376,0.23244322980789014,0.0324541182203234,0.1475048732651576,0.05970136993025586,0.2096313356064883,True
