datum,vann,plac,proba,f,spela,insats,rätt,utdelning,vinst,vodds,kassa
2021-04-03,0,3.0,0.45393165198385615,-0.13962090020760456,False,-0.0,False,-0.0,0.0,1.92,1000.0
2021-04-03,0,20.0,0.051028163673385536,0.00789308020399397,True,3.946540101996985,False,0.0,-3.946540101996985,23.0,1000.0
2021-04-03,1,1.0,0.3177913235327351,0.031149022496069125,True,15.574511248034563,True,52.64184801835682,37.06733677032226,3.38,1000.0
2021-04-03,0,5.0,0.04813216587480932,0.002761916393151042,True,1.380958196575521,False,0.0,-1.380958196575521,21.98,1000.0
2021-04-03,0,6.0,0.022901161086554593,0.0026755589562824887,True,1.3377794781412444,False,0.0,-1.3377794781412444,49.31,1000.0
2021-04-03,0,2.0,0.02057648449345185,0.0029450980756922083,True,1.4725490378461041,False,0.0,-1.4725490378461041,56.55,1000.0
2021-04-03,0,4.0,0.10599752842751128,0.0120897057833423,True,6.04485289167115,False,0.0,-6.04485289167115,10.52,1000.0
2021-04-03,0,7.0,0.09018105887125366,-0.026462395119611248,False,-0.0,False,-0.0,0.0,8.8,1000.0
2021-04-03,0,8.0,0.015963844757939823,-0.002357439085703077,False,-0.0,False,-0.0,0.0,54.71,1000.0
2021-04-03,0,15.0,0.021346540464454285,0.009888239802523062,True,4.944119901261531,False,0.0,-4.944119901261531,86.41,1000.0
2021-04-03,0,15.0,0.08394684006812805,-0.07818646257468112,False,-0.0,False,-0.0,0.0,6.65,1000.0
2021-04-03,0,20.0,0.07292793216945324,0.01476782753767491,True,7.383913768837456,False,0.0,-7.383913768837456,16.94,1000.0
2021-04-03,0,5.0,0.10223414247257014,0.0574577904761896,True,28.7288952380948,False,0.0,-28.7288952380948,21.05,1000.0
2021-04-03,0,6.0,0.1111651790416412,-0.12460002545659724,False,-0.0,False,-0.0,0.0,4.77,1000.0
2021-04-03,0,8.0,0.20106792632215084,-0.11471550200901484,False,-0.0,False,-0.0,0.0,3.53,1000.0
2021-04-03,1,1.0,0.07451931098862369,-0.04233431136129756,False,-0.0,False,-0.0,0.0,8.92,1000.0
2021-04-03,0,4.0,0.054822550422260495,0.0005020073430800546,True,0.2510036715400273,False,0.0,-0.2510036715400273,18.4,1000.0
2021-04-03,0,7.0,0.09400255742373664,-0.16860539694619475,False,-0.0,False,-0.0,0.0,4.45,1000.0
2021-04-03,0,2.0,0.014190575863094237,0.0038873837211951382,True,1.943691860597569,False,0.0,-1.943691860597569,96.68,1000.0
2021-04-03,0,3.0,0.01730486742267654,0.012164710855162558,True,6.082355427581279,False,0.0,-6.082355427581279,192.18,1000.0
2021-04-03,0,15.0,0.017849442273617327,0.00910210919803501,True,4.5510545990175055,False,0.0,-4.5510545990175055,113.28,1000.0
2021-04-03,0,20.0,0.018852919314667933,0.005798807011776342,True,2.899403505888171,False,0.0,-2.899403505888171,76.16,1000.0
2021-04-03,0,6.0,0.01839161815485869,-0.009313952882260737,False,-0.0,False,-0.0,0.0,36.43,1000.0
2021-04-03,1,1.0,0.1044293449019909,-0.05435977834233696,False,-0.0,False,-0.0,0.0,6.64,1000.0
2021-04-03,0,2.0,0.022121357585372686,-0.014339441908088436,False,-0.0,False,-0.0,0.0,27.82,1000.0
2021-04-03,0,20.0,0.0658368427965348,-0.026289701306371035,False,-0.0,False,-0.0,0.0,11.14,1000.0
2021-04-03,0,4.0,0.13703708625420846,-0.0684302741614562,False,-0.0,False,-0.0,0.0,5.2,1000.0
2021-04-03,0,20.0,0.019714497731835565,-0.019403040267692146,False,-0.0,False,-0.0,0.0,26.06,1000.0
2021-04-03,0,5.0,0.7339628093330699,0.3644667111845557,True,182.23335559227786,False,0.0,-182.23335559227786,1.72,1000.0
2021-04-03,0,3.0,0.01676963732246393,0.0069969471060089454,True,3.4984735530044726,False,0.0,-3.4984735530044726,101.61,1000.0
2021-04-03,0,15.0,0.014850057601948762,0.00745070397119879,True,3.7253519855993953,False,0.0,-3.7253519855993953,134.14,1000.0
2021-04-03,0,15.0,0.011418177587604088,0.005927581517554681,True,2.9637907587773404,False,0.0,-2.9637907587773404,181.05,1000.0
2021-04-03,0,15.0,0.011399842055685385,0.001522729877202875,True,0.7613649386014375,False,0.0,-0.7613649386014375,101.09,1000.0
2021-04-03,0,15.0,0.008060925801129252,0.0002968441308187408,True,0.14842206540937042,False,0.0,-0.14842206540937042,128.76,1000.0
2021-04-03,0,8.0,0.010357851860905824,0.005717744264604744,True,2.858872132302372,False,0.0,-2.858872132302372,214.28,1000.0
2021-04-03,0,7.0,0.018019334346801728,0.011322794073662077,True,5.661397036831039,False,0.0,-5.661397036831039,147.64,1000.0
2021-04-03,0,15.0,0.025134119638707833,0.014032128061879545,True,7.016064030939773,False,0.0,-7.016064030939773,88.81,1000.0
2021-04-03,0,3.0,0.017946771099455038,-0.0014613954796071139,False,-0.0,False,-0.0,0.0,51.6,1000.0
2021-04-03,0,8.0,0.13935378923110012,-0.1010501802574194,False,-0.0,False,-0.0,0.0,4.58,1000.0
2021-04-03,0,15.0,0.056981616995048064,-0.030904532399635243,False,-0.0,False,-0.0,0.0,11.73,1000.0
2021-04-03,0,2.0,0.02073443714909751,0.004826939376990582,True,2.4134696884952906,False,0.0,-2.4134696884952906,62.56,1000.0
2021-04-03,0,20.0,0.02961673470455563,-0.008905824457629535,False,-0.0,False,-0.0,0.0,26.19,1000.0
2021-04-03,1,1.0,0.043572630963206335,0.006168353722815496,True,3.084176861407748,True,81.94657920760386,78.86240234619612,26.57,1000.0
