,datum,bana,avd,häst,kön,ålder,kusk,spår,vodds,podds,plac,start,lopp_dist,dist,tid,kr,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_kmtid,h1_odds,h1_pris,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_kmtid,h2_odds,h2_pris,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_kmtid,h3_odds,h3_pris,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_kmtid,h4_odds,h4_pris,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_kmtid,h5_odds,h5_pris
0,2019-12-27,MOMARKEN,6,VALLE MATTIS,h,9,Geir Vegard Gundersen,1,"2,83","1,71",1,VOLTSTART,1640M,1640,"1.23,9",12 334,191214,Bjerke,Geir Vegard Gundersen,3,2100,5,"24,6a","11,10",41',191127,Bjerke,Magnus Teien Gundersen,3,1609,4,"22,3a","4,60",20',(191115),Biri,Magnus Teien Gundersen,1,1609,2,"24,0a","3,80",14',(191012),Biri,Vidar Hop,0,2620,3,"26,5","11,10",127',(191005),Klosterskogen,Magnus Teien Gundersen,2,2120,6,"24,3","9,70",71'
1,2019-12-27,MOMARKEN,6,FINNSKOG ODA,s,9,Henrik Kulblik,2,"37,96","4,80",2,VOLTSTART,1640M,1640,"1.24,2",9 861,191218,Bjerke,Henrik Kulblik,5,2100,6,"27,4a","10,10",20',(191130),Klosterskogen,Henrik Kulblik,1,1700,1,"25,9a","6,50",41',191113,Bjerke,Henrik Kulblik,0,1660,2,"25,3","23,90",20',191023,Bjerke,Henrik Kulblik,2,1660,4,"23,6","40,00",31',(190727),Biri,Henrik Kulblik,0,2160,1,"26,9","59,60",51'
2,2019-12-27,MOMARKEN,6,LEX LODNEY,h,11,Ole Johan Østre,2,"53,09","5,22",3,VOLTSTART,1640M,1660,"1.23,3",12 868,(191221),DR,Ole Johan Østre,1,1700,11,"24,8a",-,14',191214,Bjerke,Dag-Sveinung Dalen,4,2100,7,"26,1a","34,80",41',191127,Bjerke,Ole Johan Østre,4,1609,3,"22,5a","24,50",20',(191115),Biri,Ole Johan Østre,0,1609,6,"26,6ag","10,00",14',(191109),Jarlsberg,Dag-Sveinung Dalen,5,2100,3,"24,1a","35,70",41'
3,2019-12-27,MOMARKEN,6,TROLL SOLEN,h,6,Magnus Teien Gundersen,1,"2,18","1,10 - 1,53",4,VOLTSTART,1640M,1660,"1.23,3",30 138,191214,Bjerke,Magnus Teien Gundersen,1,2100,1,"24,1a","1,80",41',191119,Solvalla,Magnus Teien Gundersen,2,2140,7,"23,1a","4,32",100',(191109),Jarlsberg,Magnus Teien Gundersen,3,2100,1,"24,0a","3,00",41',(191026),Bergen,Magnus Teien Gundersen,5,1600,7,"21,5ag","11,00",127',(191012),Biri,Frode Hamre,1,2620,10,"24,9","4,20",127'
4,2019-12-27,MOMARKEN,6,INGBEST,h,7,Frode Hamre,3,"6,26","1,16 - 2,06",5,VOLTSTART,1640M,1660,"1.23,6",48 753,191214,Bjerke,Frode Hamre,2,2100,2,"24,2a","3,60",41',191127,Bjerke,Frode Hamre,1,1609,1,"21,7a","1,40",20',191119,Solvalla,Erik Adielsson,3,2140,2,"23,4a","11,24",100',(191109),Jarlsberg,Frode Hamre,4,2100,8,"24,0a","8,30",41',(191026),Bergen,Frode Hamre,3,1600,5,"20,9a","7,40",127'
5,2019-12-27,MOMARKEN,6,ÅDNE ODIN,h,6,Vidar Hop,3,"9,84","1,98 - 4,38",6,VOLTSTART,1640M,1640,"1.24,8",24 277,191214,Bergsåker,Wiktor Kylin-Blom,0,2160,2,"29,7g","9,88",200',191125,Färjestad,Björn Goop,1,2160,4,"25,4","4,39",50',(191115),Biri,Vidar Hop,3,1609,8,"24,6a","7,00",14',(191026),Bergen,Vidar Hop,0,1600,10,"22,5a","52,30",127',191013,Klosterskogen,Vidar Hop,0,1700,7,"25,1ag","6,03",16'
6,2019-12-27,MOMARKEN,6,TORD VIKING,v,15,Kai Johansen,5,"118,53","6,94 - 18,35",0,VOLTSTART,1640M,1660,"1.23,9",10 840,(191221),DR,Kai Johansen,6,1700,8,"26,5a",-,14',191214,Bjerke,Eirik Høitomt,5,2100,9,"27,3ag","41,50",41',191127,Bjerke,Eirik Høitomt,0,1609,8,"23,3a","32,20",20',(191115),Biri,Eirik Høitomt,4,1609,7,"24,6a","24,90",14',(191109),Jarlsberg,Eirik Høitomt,0,2100,7,uag,"60,40",41'
7,2019-12-27,MOMARKEN,6,TIN BALDER,v,9,Dag-Sveinung Dalen,4,"120,59","8,80 - 23,51",0,VOLTSTART,1640M,1660,"1.24,6g",15 522,(191221),DR,Mats-Andre Rasmussen,0,1700,7,"30,6a",-,14',191214,Bjerke,Joakim Rasmussen,d,2100,4,0ag,"65,10",41',191127,Bjerke,Joakim Rasmussen,5,1609,5,"22,7a","49,50",20',(191115),Biri,Joakim Rasmussen,0,1609,1,"26,6ag","40,70",14',191029,Momarken,Joakim Rasmussen,d,2160,3,0g,"22,50",14'
8,2019-12-27,MOMARKEN,6,TORPA NICKLAS,h,8,Odd Arne Sagholen,5,"36,99","3,20 - 7,84",0,VOLTSTART,1640M,1640,"1.25,7",12 528,191006,Årjäng,Odd Arne Sagholen,0,2160,3,"25,3","9,82",50',(190830),Biri,Odd Arne Sagholen,3,1120,3,"21,9","6,80",18',190810,Drammen,Odd Arne Sagholen,0,1700,10,"23,9a","37,20",71',(190803),Norge,Odd Arne Sagholen,1,1940,2,"24,8","7,10",18',190721,Biri,Odd Arne Sagholen,3,1609,6,"26,8a","7,66",16'
9,2019-12-27,MOMARKEN,6,FINNSKOG FOKUS,v,12,Gunnar Austevoll,4,"67,59","5,78 - 15,14",d,VOLTSTART,1640M,1640,0,6 251,191125,Färjestad,Niclas Benzon,3,2160,3,"25,9","90,01",50',191006,Sörlandet,Herman R. Tvedt,0,1609,7,"25,1a","20,57",16',190705,Arvika,Alicia J Larsson,0,2560,2,u,"115,12",50',(190612),Jarlsberg,Tom Erik Solberg,0,1609,1,"24,8a","20,20",24',190523,Klosterskogen,Geir Flåten,0,1700,6,"26,6a","62,60",18'
