,datum,bana,avd,häst,kön,ålder,kusk,spår,vodds,podds,plac,start,lopp_dist,dist,tid,kr,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_kmtid,h1_odds,h1_pris,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_kmtid,h2_odds,h2_pris,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_kmtid,h3_odds,h3_pris,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_kmtid,h4_odds,h4_pris,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_kmtid,h5_odds,h5_pris
0,2018-09-09,BJERKE,1,PHOTO LAVEC,h,6,Tom Erik Solberg,2,"4,81","1,31",1,AUTOSTART,2100M,2100,"1.13,7",37 640,180823,Bjerke,Tom Erik Solberg,1,1609,2,"12,2a","3,00",102',180804,Bjerke,Tom Erik Solberg,1,2100,6,"11,8a","14,20",71',(180728),Biri,Tom Erik Solberg,5,2600,4,"14,4a","19,80",254',(180720),Sörlandet,Tom Erik Solberg,1,1609,1,"11,7a","1,40",41',180708,Jarlsberg,Tom Erik Solberg,3,2100,2,"12,8a","41,40",204'
1,2018-09-09,BJERKE,1,DEEP SEA DREAM,v,10,Svein Ove Wassberg,9,"22,04","2,94",2,AUTOSTART,2100M,2100,"1.13,7",13 821,(180830),Bergen,Roar Hop,1,2100,4,"13,7a","1,60",18',180823,Bjerke,Lars Anvar Kolle,4,1609,4,"12,6a","6,80",102',180804,Bjerke,Svein Ove Wassberg,2,2100,2,"11,8a","7,10",71',(180728),Biri,Svein Ove Wassberg,0,2600,5,"14,5a","27,70",254',(180712),Bergen,Roar Hop,4,2640,1,"15,2","2,60",24'
2,2018-09-09,BJERKE,1,GIVEITGASANDGO,4,0,Ulf Ohlsson,3,"1,52","1,22",3,AUTOSTART,2100M,2100,"1.13,7",143 411,180811,Åby,Erik Adielsson,6,2140,9,"12,8a","5,91",250',180731,Jägersro,Ulf Ohlsson,0,1609,7,"10,2a","37,52",1000',180708,Jarlsberg,Frode Hamre,0,2100,9,"13,8a","8,10",814',180610,Bjerke,Erik Adielsson,1,1609,4,"9 ,9a","1,20",204',180527,Solvalla,Erik Adielsson,1,1640,1,"9 ,5a","1,80",500'
3,2018-09-09,BJERKE,1,CASH OKAY,h,6,Erlend Rennesvik,6,"14,28","1,25 - 2,50",4,AUTOSTART,2100M,2100,"1.13,8",62 958,180811,Frankrike,Olivier Raffin,7,2000,11,"12,7a","5,70",,180719,Frankrike,Olivier Raffin,6,2775,3,"14,6","35,00",,180710,Frankrike,Olivier Raffin,5,2800,4,"13,7","14,00",,180622,Frankrike,Olivier Raffin,3,2950,5,"15,4","12,00",,180414,Vincennes,Eric Raffin,d,2700,10,0g,"10,00",
4,2018-09-09,BJERKE,1,LOVE VOICE,v,8,Lars Anvar Kolle,5,"20,90","2,54 - 6,51",5,AUTOSTART,2100M,2100,"1.13,9",17 880,180819,Momarken,Lars Anvar Kolle,1,2140,6,"13,5a","9,50",18',180331,Klosterskogen,Tom Erik Solberg,d,2940,1,0,"22,80",127',180317,Momarken,Lars Anvar Kolle,0,2140,7,"14,4a","39,80",153',180130,Forus,Lars Anvar Kolle,d,2040,12,0a,"1,40",18',(180113),Jarlsberg,Lars Anvar Kolle,4,2100,9,"13,1a","13,70",71'
5,2018-09-09,BJERKE,1,PHOTO VA BENE,v,10,Marius Høitomt,11,"99,99","10,03 - 29,39",6,AUTOSTART,2100M,2100,"1.14,0",13 684,(180831),Biri,Marius Høitomt,1,2100,5,"15,2a","4,70",16',180823,Bjerke,Marius Høitomt,0,1609,10,"12,8a","37,80",102',180708,Jarlsberg,Marius Høitomt,0,2100,1,"13,1a","104,10",204',180627,Bjerke,Marius Høitomt,d,2100,6,0ag,"12,70",51',(180613),Jarlsberg,Marius Høitomt,3,2120,3,"15,1","4,20",24'
6,2018-09-09,BJERKE,1,HICKOTHEPOOH,v,6,Vidar Hop,10,"9,86","1,61 - 3,60",0,AUTOSTART,2100M,2100,"1.14,2",19 768,180820,Färjestad,Vidar Hop,1,1640,6,"11,0a","4,69",50',180804,Bjerke,Vidar Hop,5,2100,1,"12,6a","2,70",71',(180728),Biri,Vidar Hop,2,2600,7,"14,2a","20,70",254',180714,Årjäng,Vidar Hop,0,2140,5,"12,4a","11,35",150',180630,Momarken,Vidar Hop,1,1640,1,"11,3a","2,50",71'
7,2018-09-09,BJERKE,1,LONGCAT HANOVER,v,6,Jomar Blekkan,8,"99,99","9,88 - 28,90",0,AUTOSTART,2100M,2100,"1.14,2",15 586,180825,Bergsåker,Jomar Blekkan,7,2140,5,"12,1a","44,60",150',(180723),Leangen,Jomar Blekkan,1,1640,9,"13,0a","1,40",18',180708,Jarlsberg,Vidar Hop,6,1609,9,"11,0a","55,50",102',180622,Leangen,Jomar Blekkan,2,1140,5,"9 ,3a","1,60",31',180610,Bjerke,Jomar Blekkan,5,1609,2,"11,3a","19,10",127'
8,2018-09-09,BJERKE,1,VALOKAJA HINDØ,h,7,Magnus Teien Gundersen,4,"67,91","4,62 - 12,97",0,AUTOSTART,2100M,2100,"1.14,2",14 556,180819,Momarken,Geir Vegard Gundersen,4,2140,1,"13,7a","2,30",18',180804,Bjerke,Magnus Teien Gundersen,3,2100,5,"12,0a","22,50",71',180714,Årjäng,Magnus Teien Gundersen,7,2140,6,"12,1a","55,50",,180630,Momarken,Magnus Teien Gundersen,4,1640,12,"12,6a","14,70",71',(180618),Jarlsberg,Magnus Teien Gundersen,2,2100,6,"13,4a","4,80",18'
9,2018-09-09,BJERKE,1,DANCELLI,v,7,Olav Mikkelborg,7,"62,63","4,01 - 11,07",0,AUTOSTART,2100M,2100,"1.14,3",15 603,180823,Bjerke,Olav Mikkelborg,3,1609,9,"12,5a","13,00",102',180808,Bjerke,Olav Mikkelborg,2,2100,6,"13,2a","3,90",24',180512,Åby,Erik Adielsson,4,2640,9,"13,1a","12,85",125',180428,Åby,Olav Mikkelborg,3,2140,3,"12,3a","6,63",125',180404,Bjerke,Olav Mikkelborg,2,2100,4,"14,8a","7,40",31'
