datum,bana,avd,häst,kön,ålder,kusk,spår,vodds,podds,plac,start,lopp_dist,dist,tid,kr,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_kmtid,h1_odds,h1_pris,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_kmtid,h2_odds,h2_pris,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_kmtid,h3_odds,h3_pris,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_kmtid,h4_odds,h4_pris,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_kmtid,h5_odds,h5_pris
2020-04-18,UMÅKER,4,ANCHOR MAN,v,5,Hanna Olofsson,12,"53,98","6,22 - 9,77",7,AUTOSTART,2640M,2640,"1.15,5",9 500,200319,Boden,Rikard N Skoglund,3,2140,3,"17,6a","3,29",30',200227,Boden,Hanna Olofsson,3,2140,7,"18,0a","4,33",25',200216,Boden,Hanna Olofsson,2,2640,7,"18,0a","6,83",35',191225,Umåker,Hanna Olofsson,7,2640,8,"20,5ag","5,91",100',191207,Boden,Hanna Olofsson,1,1640,5,"16,8a","2,25",25'
2020-04-18,UMÅKER,4,FILLE AM,v,5,Fredrik B Larsson,9,"5,79","1,77 - 2,32",0,AUTOSTART,2640M,2640,"1.16,3",20 427,200403,Solvalla,Fredrik B Larsson,1,2140,10,"15,8a","3,46",40',191202,Eskilstuna,Erik Adielsson,6,2140,9,"17,0","2,37",30',190831,Rättvik,Jörgen Westholm,1,2140,8,"15,2a","1,24",20',190726,Lindesberg,Jörgen Westholm,1,2640,3,"15,9a","1,69",25',190619,Solvalla,Oskar J Andersson,1,2140,4,"14,1a","2,83",40'
2020-04-18,UMÅKER,4,JUST CELEBRATION,v,4,Mats E Djuse,4,"50,72","6,66 - 10,46",d,AUTOSTART,2640M,2640,ug,13 893,200405,Umåker,Krister Söderholm,4,2140,10,"15,9a","10,04",35',200229,Bergsåker,Mika Forss,5,2140,6,"16,2","12,23",110',200219,Bergsåker,Mats E Djuse,1,2140,1,"15,4a","31,00",60',200207,Umåker,Krister Söderholm,3,1640,3,"17,7a","9,73",25',200119,Boden,Mats E Djuse,5,2140,6,"17,2ag","17,10",35'
2020-04-18,UMÅKER,5,MACELLERIA,v,6,Per Lennartsson,11,"16,99","3,77",1,AUTOSTART,1640M,1640,"1.12,3",31 022,200320,Romme,Robert Bergh,4,3180,1,"17,1","2,11",60',200312,Östersund,Robert Bergh,1,2140,3,"16,0a","1,43",35',191102,Solvalla,Robert Bergh,3,2140,5,"13,2a","4,98",250',191019,Romme,Robert Bergh,1,2140,6,"13,9","1,79",125',191005,Skellefteå,Per Lennartsson,1,2140,1,"13,6a","2,12",125'
2020-04-18,UMÅKER,5,HILL STREET,h,5,Örjan Kihlström,7,"4,10","1,91",2,AUTOSTART,1640M,1640,"1.12,3",48 570,200326,Gävle,Daniel Redén,3,1640,8,"10,7a","10,80",30',190905,Gävle,Daniel Redén,3,1640,5,"11,0a","26,59",150',190814,Solvalla,Daniel Redén,5,1660,6,"11,9","65,96",300',190729,Färjestad,Carl Johan Jepson,3,1640,6,"11,0a","2,72",40',190718,Bergsåker,Rikard N Skoglund,0,2140,4,"13,1a","22,96",250'
2020-04-18,UMÅKER,5,TE QUIERO GRIF,v,8,Mika Forss,10,"43,69","6,27",3,AUTOSTART,1640M,1640,"1.12,3",14 000,200405,Umåker,Mika Forss,5,2140,5,"15,2a","40,78",35',190713,Torneå,John Östman,0,1600,,"12,6a","19,00",,190620,Dannero,Ulf Ohlsson,0,1640,2,"12,4a","8,22",200',190620,Dannero,Ulf Ohlsson,2,1640,2,"13,4a","3,60",30',190608,Östersund,Ulf Ohlsson,3,1640,6,"11,1a","26,23",150'
2020-04-18,UMÅKER,5,MINNESTADS EL PASO,h,7,Rebecca Dahlén,12,"5,82","1,65 - 2,30",4,AUTOSTART,1640M,1640,"1.12,4",32 115,200409,Gävle,Rebecca Dahlén,1,1640,2,"10,9a","3,36",100',200326,Gävle,Rebecca Dahlén,2,1640,7,"10,5a","4,85",30',200217,Vincennes,Rebecca Dahlén,3,2850,,"13,7","14,50",,200203,Vincennes,Rebecca Dahlén,5,2850,,"15,1","17,00",,200125,Frankrike,Rebecca Dahlén,3,2000,,"14,2a","7,40",
2020-04-18,UMÅKER,5,COBOURG HANOVER,v,8,Emilia Leo,1,"22,40","3,58 - 5,51",5,AUTOSTART,1640M,1640,"1.12,7",22 898,200312,Östersund,Emilia Leo,5,2140,2,"16,4a","3,60",35',200111,Bergsåker,Emilia Leo,3,3140,3,"15,4a","34,27",125',200101,Bergsåker,Emilia Leo,0,2140,2,"14,9a","4,64",60',191214,Bergsåker,Emilia Leo,3,1640,11,"14,4a","29,99",150',191204,Bergsåker,Emilia Leo,2,2140,6,"14,2a","2,64",70'
2020-04-18,UMÅKER,5,WEEKEND FUN,v,6,Ulf Ohlsson,4,"3,59","1,61 - 2,20",6,AUTOSTART,1640M,1640,"1.12,7",34 210,200329,Östersund,Ulf Ohlsson,2,2140,6,"14,5a","4,34",35',200229,Bergsåker,Magnus A Djuse,4,2140,11,"14,3a","26,64",125',200129,Bergsåker,Magnus A Djuse,1,2140,4,"15,7a","2,16",60',191214,Bergsåker,Magnus A Djuse,d,1640,9,4ag,"8,88",150',191130,Gävle,Magnus A Djuse,6,1640,5,"12,4a","6,40",150'
2020-04-18,UMÅKER,5,PICASSO,v,12,Troels Andersen,2,"5,85","1,83 - 2,59",7,AUTOSTART,1640M,1640,"1.12,8g",15 621,200326,Gävle,Troels Andersen,1,1640,5,"10,1a","5,55",30',200303,Romme,Troels Andersen,3,2160,4,"13,9","5,39",30',200218,Gävle,Troels Andersen,3,2140,1,"14,2a","4,78",25',191119,Solvalla,Troels Andersen,d,1640,9,5ag,"9,55",60',191028,Eskilstuna,Troels Andersen,0,3140,3,"16,6a","3,45",40'
