datum,bana,avd,häst,kön,ålder,kusk,spår,vodds,podds,plac,start,lopp_dist,dist,tid,kr,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_kmtid,h1_odds,h1_pris,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_kmtid,h2_odds,h2_pris,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_kmtid,h3_odds,h3_pris,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_kmtid,h4_odds,h4_pris,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_kmtid,h5_odds,h5_pris
2020-04-25,ÅBY,1,ELIAN WEB,v,8,Jorma Kontio,4,"10,49","3,19",1,AUTOSTART,2140M,2140,"1.12,2",107 243,200412,Romme,Jorma Kontio,1,2140,6,"13,1a","9,36",150',200328,Solvalla,Jorma Kontio,6,2140,11,"11,5a","6,96",300',200229,Bergsåker,Jorma Kontio,4,1640,1,"10,9a","1,35",150',200208,Solvalla,Jorma Kontio,1,2140,4,"12,5a","1,66",300',200111,Bergsåker,Jorma Kontio,1,2140,5,"12,4a","4,14",150'
2020-04-25,ÅBY,1,CYBER LANE,v,7,Johan Untersteiner,2,"6,08","2,18",2,AUTOSTART,2140M,2140,"1.12,2",264 294,200404,Jägersro,Johan Untersteiner,1,2140,10,"11,4a","4,15",150',190824,Bergsåker,Johan Untersteiner,4,2140,10,"11,4a","5,41",1000',190730,Jägersro,Johan Untersteiner,4,1609,8,"9 ,7a","20,47",1609',190706,Halmstad,Johan Untersteiner,1,2140,5,"11,8a","1,81",200',190525,Solvalla,Johan Untersteiner,3,1640,3,"9 ,8a","2,33",600'
2020-04-25,ÅBY,1,BILLIE DE MONTFORT,s,9,Björn Goop,3,"4,86","1,75",3,AUTOSTART,2140M,2140,"1.12,3",214 547,200308,Cagnes sur Mer,Gabriele Gelormini,3,1609,,"10,0a","13,80",,200209,Vincennes,Gabriele Gelormini,7,2100,,"11,6a","36,70",,200126,Vincennes,Gabriele Gelormini,0,2700,,"12,2","49,00",,191229,Vincennes,Gabriele Gelormini,1,2100,,"10,6a","17,80",,191208,Vincennes,Gabriele Gelormini,3,2850,,"13,2","54,10",
2020-04-25,ÅBY,1,NEXT DIRECTION,v,7,Iikka Nurmonen,6,"6,34","2,16 - 2,92",4,AUTOSTART,2140M,2140,"1.12,4",103 365,200418,Umåker,Iikka Nurmonen,1,2140,3,"12,7a","2,88",200',190831,Vermo,Iikka Nurmonen,1,2100,,"11,0a","3,20",,190721,Mikkeli,Iikka Nurmonen,2,1609,,"10,3a","9,90",,190706,Kaustinen,Iikka Nurmonen,2,1609,,"11,2a","2,40",,190615,Kouvola,Iikka Nurmonen,2,2100,,"11,9a","8,80",
2020-04-25,ÅBY,1,LOOKING SUPERB,h,7,Erik Adielsson,7,"15,18","3,59 - 5,08",5,AUTOSTART,2140M,2140,"1.12,4",89 792,200308,Cagnes sur Mer,Jean Michel Bazire,5,1609,,"10,5a","7,40",,200209,Vincennes,David Thomain,0,2100,,"11,9a","138,50",,200202,Vincennes,Jean Michel Bazire,6,2700,,"13,3","1,80",,200126,Vincennes,David Thomain,0,2700,,it,"17,40",,200112,Vincennes,David Thomain,6,2850,,"12,9","63,90",
2020-04-25,ÅBY,1,SORBET,h,9,Örjan Kihlström,10,"8,93","2,37 - 3,24",6,AUTOSTART,2140M,2140,"1.12,5",115 911,200412,Romme,Örjan Kihlström,2,2140,4,"13,3a","1,55",150',200331,Eskilstuna,Örjan Kihlström,1,1640,4,"9 ,8a","1,34",35',191012,Åby,Örjan Kihlström,5,2640,2,"13,4a","2,48",500',190929,Solvalla,Örjan Kihlström,3,2140,7,"12,2a","5,62",400',190914,Bollnäs,Örjan Kihlström,2,1640,4,"10,6a","2,80",200'
2020-04-25,ÅBY,1,VELVET GIO,v,6,Carl Johan Jepson,8,"25,47","4,33 - 6,12",7,AUTOSTART,2140M,2140,"1.12,6",71 989,200404,Jägersro,Carl Johan Jepson,2,2140,9,"11,5a","7,06",150',200222,Axevalla,Ulf Ohlsson,4,2640,3,"15,1a","2,06",150',200213,Vincennes,Gabriele Gelormini,3,2850,,"15,2","6,30",,200126,Vincennes,Gabriele Gelormini,2,2100,,"11,6a","5,80",,191214,Vincennes,Björn Goop,2,2100,,"11,7a","2,60",
2020-04-25,ÅBY,1,DISCO VOLANTE,v,7,Ulf Ohlsson,1,"10,39","2,43 - 3,33",7,AUTOSTART,2140M,2140,"1.12,6g",71 548,200413,Halmstad,Ulf Ohlsson,1,1640,4,"11,2a","1,27",100',200328,Solvalla,Ulf Ohlsson,1,2140,5,"10,9a","2,23",300',200314,Halmstad,Ulf Ohlsson,1,1640,8,"10,1a","1,85",150',200229,Bergsåker,Ulf Ohlsson,1,1640,4,"10,3a","5,67",150',200208,Solvalla,Ulf Ohlsson,0,2140,5,"13,5a","5,49",300'
2020-04-25,ÅBY,1,GARETH BOKO,h,7,Marc Elias,9,"21,26","4,16 - 5,88",0,AUTOSTART,2140M,2140,"1.12,7",108 563,200328,Solvalla,Marc Elias,3,2140,6,"11,2a","4,74",300',200307,Färjestad,Marc Elias,1,2140,5,"12,6a","2,85",150',200222,Axevalla,Marc Elias,1,2640,11,"14,7a","8,19",150',200208,Solvalla,Marc Elias,6,2140,9,"13,0a","6,10",300',200118,Kalmar,Marc Elias,1,2140,5,"13,2a","9,29",150'
2020-04-25,ÅBY,1,MILLIONDOLLARRHYME,v,6,Fredrik B Larsson,5,"5,16","1,83 - 2,35",0,AUTOSTART,2140M,2140,"1.12,8",91 102,200412,Romme,Fredrik B Larsson,3,2140,9,"13,4a","9,99",150',191102,Solvalla,Fredrik B Larsson,5,2140,11,"12,5a","2,58",400',191012,Åby,Fredrik B Larsson,1,2640,11,"13,1a","6,01",500',190928,Solvalla,Ulf Ohlsson,1,2140,3,"11,6a","1,72",300',190824,Bergsåker,Fredrik B Larsson,5,2140,9,"11,4a","11,15",1000'
2020-04-25,ÅBY,2,VIKENS HIGH YIELD,v,6,Robert Bergh,5,"1,90","1,34",1,AUTOSTART,2140M,2140,"1.12,0",23 124,200410,Färjestad,Robert Bergh,1,3160,3,"13,7","1,98",100',200325,Åby,Robert Bergh,1,1640,4,"11,0a","1,72",60',200314,Halmstad,Magnus A Djuse,3,2140,14,"13,3a","2,38",110',200305,Åby,Robert Bergh,1,2140,2,"14,2a","3,06",35',191212,Åby,Robert Bergh,5,2640,2,"17,1","3,60",35'
2020-04-25,ÅBY,2,SANDSJÖNS ENZO,h,5,Johan Untersteiner,3,"52,59","5,20",2,AUTOSTART,2140M,2140,"1.12,1",20 822,200414,Axevalla,Johan Untersteiner,1,2140,3,"13,8a","2,38",35',200323,Halmstad,Johan Untersteiner,2,2140,12,"14,1a","24,59",35',200113,Mantorp,Johan Untersteiner,4,2140,8,"15,7a","2,01",35',191231,Axevalla,Johan Untersteiner,0,2140,1,"21,9ag","6,99",100',191220,Jägersro,Johan Untersteiner,1,2140,5,"14,3a","4,09",30'
2020-04-25,ÅBY,2,NERO MAXIMUS,h,5,Marc Elias,2,"6,60","1,89",3,AUTOSTART,2140M,2140,"1.12,1",39 365,200404,Jägersro,Marc Elias,2,2640,5,"14,1","7,07",110',200304,Jägersro,Conrad Lugauer,1,2140,5,"13,1a","1,83",60',200222,Axevalla,Marc Elias,0,2140,8,"15,9g","5,54",110',200206,Åby,Marc Elias,1,2640,2,"14,8a","2,12",35',200104,Jägersro,Marc Elias,3,3160,1,"16,7","5,02",100'
2020-04-25,ÅBY,2,GIZMO DE VELUWE,h,7,Carl Johan Jepson,9,"79,10","6,43 - 13,75",4,AUTOSTART,2140M,2140,"1.12,6",20 792,200408,Åby,Carl Johan Jepson,4,3180,4,"14,9","27,97",60',200325,Åby,Carl Johan Jepson,5,1640,10,"12,0a","17,77",60',200201,Åby,Rikard N Skoglund,0,3160,10,"17,0","6,48",150',200115,Åby,Henriette Larsen,1,1640,6,"13,8a","1,54",60',200102,Åby,Henriette Larsen,1,1640,5,"13,2a","2,40",35'
2020-04-25,ÅBY,2,GUILLAUME BOKO,h,7,Björn Goop,12,"27,71","3,31 - 6,73",5,AUTOSTART,2140M,2140,"1.12,7",21 365,200412,Romme,Björn Goop,6,1640,3,"13,9a","4,12",110',200328,Solvalla,Björn Goop,3,2140,11,"12,3a","6,98",220',200307,Färjestad,Björn Goop,2,2140,9,"13,3a","6,30",110',200203,Vincennes,Björn Goop,3,2850,,"15,0","3,60",,191231,Vincennes,Björn Goop,4,2850,,"15,4","27,60",
2020-04-25,ÅBY,2,IGGY B.R.,h,4,Tom Horpestad,6,"42,34","4,89 - 10,34",6,AUTOSTART,2140M,2140,"1.12,8",54 908,191226,Solvalla,Magnus Teien Gundersen,1,2140,6,"14,5a","2,28",250',191116,Bjerke,Magnus Teien Gundersen,1,2600,,"15,6a","1,90",,(191109),Jarlsberg,Magnus Teien Gundersen,1,2100,,"14,9a","3,70",,(191026),Bergen,Geir Vegard Gundersen,4,2100,,"14,4a","3,90",,190908,Bjerke,Magnus Teien Gundersen,d,2100,,0ag,"2,10",
2020-04-25,ÅBY,2,HOBBY DE L'ITON,h,6,André Eklundh,11,"50,35","4,30 - 9,03",7,AUTOSTART,2140M,2140,"1.12,8",32 039,200407,Axevalla,André Eklundh,3,2140,4,"13,9","2,69",35',200208,Solvalla,André Eklundh,2,2140,1,"13,6ag","8,63",220',200123,Åby,André Eklundh,3,2140,5,"15,5a","1,47",35',191221,Halmstad,André Eklundh,1,2140,9,"13,9","3,93",125',191202,Eskilstuna,Erik Adielsson,1,2160,3,"14,5","1,61",30'
2020-04-25,ÅBY,2,IKE SCHERMER,v,5,Rick Ebbinge,10,"5,62","1,46 - 2,35",0,AUTOSTART,2140M,2140,"1.12,9",47 492,191108,Wolvega,Rick Ebbinge,1,2100,,"13,2a","3,10",,191024,Wolvega,Rick Ebbinge,4,2100,,"13,9a","1,50",,190928,Solvalla,Rick Ebbinge,1,2140,6,"11,8a","2,07",250',190831,Jägersro,Rick Ebbinge,1,2140,4,"13,1a","2,09",125',190821,Jägersro,Rick Ebbinge,5,2640,7,"12,8a","6,94",200'
2020-04-25,ÅBY,2,ADDE S.H.,v,5,Peter Untersteiner,7,"21,56","2,31 - 4,43",0,AUTOSTART,2140M,2140,"1.13,0",29 256,200412,Romme,Ulf Ohlsson,4,1640,9,"13,6a","5,72",110',200328,Solvalla,Peter Untersteiner,2,2140,2,"12,2a","8,08",220',200314,Halmstad,Peter Untersteiner,1,1640,4,"11,6a","4,28",110',200220,Åby,Peter Untersteiner,1,1640,6,"13,4a","3,03",35',200206,Åby,Peter Untersteiner,0,2640,4,"15,4a","3,41",35'
2020-04-25,ÅBY,2,ZINCO JET,h,5,Ulf Ohlsson,8,"18,67","2,83 - 5,64",0,AUTOSTART,2140M,2140,"1.13,1",21 405,200411,Dannero,Ulf Ohlsson,1,1640,1,"13,0a","3,62",75',200327,Solvalla,Ulf Ohlsson,1,2140,10,"12,6a","6,98",40',191114,Örebro,Ulf Ohlsson,5,2100,1,"14,7a","12,71",35',191101,Örebro,Ulf Ohlsson,1,2660,1,"14,5","2,67",30',191013,Hamburg,Ulf Ohlsson,0,2200,,"13,8a","29,71",
2020-04-25,ÅBY,2,GOGO HALL,h,5,Erik Adielsson,1,"41,57","4,08 - 8,50",d,AUTOSTART,2140M,2140,ug,20 482,(200229),Jarlsberg,Frode Hamre,1,2100,,"15,9a","3,20",,200219,Bjerke,Frode Hamre,1,2100,,"14,6a","3,20",,(200111),Jarlsberg,Adrian Solberg Akselsen,2,2609,,"16,5a","8,80",,191227,Momarken,Frode Hamre,5,2680,,"16,1","6,80",,191208,Färjestad,Frode Hamre,d,2640,9,5ag,"3,80",35'
2020-04-25,ÅBY,3,WILD LOVE,s,6,Kevin Oscarsson,9,"9,71","2,32",1,AUTOSTART,2140M,2140,"1.11,7",30 675,200415,Jägersro,Kevin Oscarsson,3,2140,7,"13,5a","5,15",60',200328,Solvalla,Kevin Oscarsson,4,1640,7,"10,9a","9,81",220',200314,Halmstad,Kevin Oscarsson,2,2180,2,"13,2","3,27",110',200218,Jägersro,Kevin Oscarsson,3,2640,6,"15,0a","3,96",35',200201,Åby,Örjan Kihlström,4,2180,1,"14,3","3,85",150'
2020-04-25,ÅBY,3,MAN AT WORK,v,7,Örjan Kihlström,5,"5,51","1,64",2,AUTOSTART,2140M,2140,"1.11,7",30 183,200328,Solvalla,Örjan Kihlström,3,2140,5,"13,4a","2,54",250',200307,Färjestad,Örjan Kihlström,1,1640,8,"11,1a","2,23",125',200229,Bergsåker,Örjan Kihlström,3,2140,10,"14,1a","2,88",125',200208,Solvalla,Örjan Kihlström,2,2140,10,"12,6a","4,04",220',200118,Kalmar,Örjan Kihlström,2,1640,3,"11,2a","1,87",110'
2020-04-25,ÅBY,3,M.S.TRIPLE J.,h,5,Erik Adielsson,4,"2,49","1,45",3,AUTOSTART,2140M,2140,"1.11,7",29 462,200413,Halmstad,Jörgen Sjunnesson,4,1640,1,"11,4a","30,72",100',200311,Bjerke,Frode Hamre,1,2100,,"13,1a","6,70",,191125,Färjestad,Frode Hamre,5,2140,8,"15,8a","4,34",50',191116,Bjerke,Svein O Wassberg,4,1609,,"13,0a","21,70",,(191102),Sörlandet,Frode Hamre,2,1609,,"12,4a","2,00",
2020-04-25,ÅBY,3,NIGHT BRODDE,h,5,Marc Elias,11,"11,55","2,48 - 4,04",4,AUTOSTART,2140M,2140,"1.11,9",43 550,200404,Jägersro,Marc Elias,6,2140,2,"14,1ag","4,57",125',200314,Halmstad,Marc Elias,0,1640,7,"15,4ag","4,60",150',200224,Halmstad,Marc Elias,1,1640,5,"10,9a","1,68",35',200110,Vincennes,Marc Elias,0,2850,,"15,1","14,80",,191226,Solvalla,Marc Elias,1,2140,5,"12,1a","5,81",250'
2020-04-25,ÅBY,3,PASTOR POWER,v,6,Peter Untersteiner,1,"19,88","2,60 - 4,26",5,AUTOSTART,2140M,2140,"1.11,9",39 191,200328,Solvalla,Peter Untersteiner,0,2140,3,"14,4ag","20,83",250',200314,Halmstad,Peter Untersteiner,5,2140,10,"14,4a","24,73",125',200222,Axevalla,Peter Untersteiner,5,2140,9,"14,3a","13,60",125',200208,Solvalla,Peter Untersteiner,2,2140,9,"13,5a","27,12",250',200118,Kalmar,Peter Untersteiner,4,1640,11,"13,0a","12,44",125'
2020-04-25,ÅBY,3,GRAINFIELD AIDEN,v,6,Hannu Torvinen,7,"7,27","1,95 - 3,05",6,AUTOSTART,2140M,2140,"1.12,0",21 395,200412,Romme,Hannu Korpi,3,2640,12,"14,5a","7,48",125',200328,Solvalla,Hannu Korpi,0,2140,9,"13,6a","5,10",250',200314,Halmstad,Hannu Korpi,2,2140,3,"14,3a","2,53",125',200229,Bergsåker,Hannu Korpi,1,2140,12,"13,7a","5,45",125',200222,Axevalla,Mika Forss,1,2140,7,"14,0a","4,24",125'
2020-04-25,ÅBY,3,KUNG EDWARD,v,7,Björn Goop,10,"26,73","3,67 - 6,25",7,AUTOSTART,2140M,2140,"1.12,5",13 636,200328,Solvalla,Björn Goop,7,2140,11,"13,5a","45,48",250',200314,Halmstad,Carl Johan Jepson,3,2140,8,"14,3a","70,82",125',200222,Axevalla,Emilia Leo,4,2140,2,"14,3a","41,02",125',200205,Jägersro,Joakim Lövgren,1,1640,5,"12,1a","3,65",60',200122,Jägersro,Joakim Lövgren,3,2640,6,"14,4a","14,18",60'
2020-04-25,ÅBY,3,NIKY FLAX,v,7,Johan Untersteiner,6,"16,77","2,77 - 4,58",0,AUTOSTART,2140M,2140,"1.12,7",26 177,200404,Jägersro,Johan Untersteiner,2,2140,1,"13,6a","2,80",125',200328,Solvalla,Johan Untersteiner,2,2140,2,"13,3a","7,34",250',200314,Halmstad,Johan Untersteiner,4,2140,7,"14,4a","13,86",125',200222,Axevalla,Johan Untersteiner,6,2140,12,"14,3a","19,93",125',200208,Solvalla,Johan Untersteiner,6,2140,7,"13,6a","14,81",250'
2020-04-25,ÅBY,3,VOYAGER GRIF,h,6,Alessandro Gocciadoro,2,"21,38","3,81 - 6,49",0,AUTOSTART,2140M,2140,"1.12,9",24 529,200219,Rom,Roberto Vecchione,0,1640,,"14,0a","3,20",,200121,Neapel,Roberto Vecchione,2,1600,,"12,6a","2,70",,200106,Bologna,Gaetano di Nardo,3,2460,,"15,7","20,40",,191220,Vincennes,Giampaolo Minnucci,7,2850,,"13,9","62,90",,191130,Bologna,Roberto Vecchione,1,1660,,"12,3a","2,20",
2020-04-25,ÅBY,3,SECRET MISSION,v,9,Henriette Larsen,12,"83,19","10,89 - 18,84",0,AUTOSTART,2140M,2140,"1.13,4",15 955,200404,Jägersro,Henriette Larsen,5,2140,5,"14,0a","18,72",125',200118,Kalmar,Henriette Larsen,0,1640,2,"14,1a","2,43",125',191221,Halmstad,Henriette Larsen,1,2140,2,"13,7a","5,13",150',191207,Åby,Henriette Larsen,0,2140,9,"15,0","13,49",150',191009,Åby,Henriette Larsen,0,1640,8,"12,4a","8,70",150'
2020-04-25,ÅBY,4,INDRA'S SECRET,s,6,Robert Bergh,2,"1,77","1,43",1,VOLTSTART,2640M,2660,"1.13,6",16 888,200416,Åby,Robert Bergh,1,2640,4,"13,7a","2,74",35',200407,Bergsåker,Robert Bergh,1,2640,7,"15,7a","1,62",30',200325,Romme,Oskar J Andersson,6,2140,11,"16,0a","2,81",30',200111,Bergsåker,Robert Bergh,d,2160,4,13g,"2,55",110',191226,Solvalla,Robert Bergh,0,2140,4,ua,"6,44",250'
2020-04-25,ÅBY,4,COBBYS NANA,s,5,Rikard N Skoglund,1,"11,55","2,55",2,VOLTSTART,2640M,2640,"1.14,4",14 836,200412,Romme,Rikard N Skoglund,d,3140,9,5ag,"8,46",110',200325,Solvalla,Rikard N Skoglund,1,2640,6,"14,8a","2,60",60',200314,Halmstad,Rikard N Skoglund,3,3140,7,"16,1","12,51",110',200226,Solvalla,Rikard N Skoglund,1,3140,1,"16,6","9,87",60',200215,Mantorp,Ulf Ohlsson,d,2140,5,14g,"58,38",110'
2020-04-25,ÅBY,4,RAPIDE CASH,s,6,Carl Johan Jepson,4,"16,04","2,96",3,VOLTSTART,2640M,2640,"1.14,7",16 466,200404,Jägersro,Kim Eriksson,6,2160,4,"15,0","6,08",110',200322,Färjestad,Kim Eriksson,2,2140,6,"12,6a","1,46",35',200307,Färjestad,Kim Eriksson,5,2160,8,"13,9","35,62",110',200208,Solvalla,Kim Eriksson,2,2140,5,"14,6","8,84",220',200125,Eskilstuna,Kim Eriksson,2,2140,3,"16,2","2,72",110'
2020-04-25,ÅBY,4,SHARP DREAM,s,7,Peter Ingves,1,"14,19","2,41 - 4,10",4,VOLTSTART,2640M,2660,"1.14,2",17 802,200409,Jägersro,Peter Ingves,1,1640,4,"10,2a","6,91",30',200313,Kalmar,Jan Hansen,1,1640,4,"13,5a","2,94",30',200224,Halmstad,Peter Ingves,2,2140,1,"14,3ag","5,63",35',200210,Halmstad,Peter Ingves,2,1640,2,"13,5a","2,47",35',200118,Kalmar,Örjan Kihlström,4,2140,9,"13,9a","4,91",110'
2020-04-25,ÅBY,4,VISIA SPIN,s,6,Björn Goop,3,"10,52","2,52 - 4,34",5,VOLTSTART,2640M,2660,"1.14,2g",14 567,200307,Cagnes sur Mer,Alessandro Gocciadoro,1,1609,,"12,3a",-,,200208,Turin,Andrea Guzzinati,3,1600,,"12,9a","5,00",,200119,Milano,Federico Esposito,3,1670,,"13,2","29,00",,191229,Bologna,Alessandro Gocciadoro,2,1660,,"15,5a","4,70",,191218,Rom,Alessandro Gocciadoro,3,1640,,"14,4a","2,90",
2020-04-25,ÅBY,4,DARAH BIBO,s,5,Peter Untersteiner,2,"17,59","2,50 - 4,30",6,VOLTSTART,2640M,2640,"1.15,0",31 041,200404,Jägersro,Peter Untersteiner,5,2160,8,"14,8","10,02",110',200314,Halmstad,Peter Untersteiner,1,2160,1,"15,1","11,47",100',191207,Åby,Peter Untersteiner,4,2640,9,"16,9","10,55",125',191114,Åby,Peter Untersteiner,1,2140,11,"15,3a","5,74",30',191021,Halmstad,Peter Untersteiner,6,2140,8,"15,0a","3,76",40'
2020-04-25,ÅBY,4,FLOALTS CESNA,s,6,Thomas Uhrberg,5,"60,32","5,11 - 9,42",7,VOLTSTART,2640M,2640,"1.15,0",8 909,200415,Jägersro,Bengt A Nilsson,4,1640,3,"12,6a","10,86",60',200331,Jägersro,Thomas Linder,2,2140,10,"14,8a","16,67",30',200302,Halmstad,Bengt A Nilsson,1,2140,2,"14,7a","7,63",30',200211,Jägersro,Bengt A Nilsson,6,1640,1,"14,9a","15,11",30',200122,Jägersro,Bengt A Nilsson,0,2140,4,"14,6a","30,35",60'
2020-04-25,ÅBY,4,CATWALK IMA,s,5,Oskar Svanberg,6,"78,64","8,08 - 15,28",0,VOLTSTART,2640M,2640,"1.15,1",14 544,200409,Gävle,Oskar Svanberg,0,2640,1,"16,1","22,94",150',200328,Solvalla,Oskar Svanberg,3,2140,3,"13,7","78,22",220',200313,Kalmar,Oskar Svanberg,6,2140,10,"17,2","8,01",35',200307,Färjestad,Oskar Svanberg,0,2140,4,ug,"21,52",110',200215,Mantorp,Oskar Svanberg,3,2140,4,"15,2","19,02",110'
2020-04-25,ÅBY,4,MAJORS CORONA,s,5,Conny Gustafsson,7,"74,97","6,80 - 12,76",0,VOLTSTART,2640M,2640,"1.15,2",12 093,200402,Åby,Conny Gustafsson,3,1640,6,"13,6a","20,95",35',200318,Jägersro,Conny Gustafsson,3,1640,5,"12,9a","19,60",60',200310,Åby,Conny Gustafsson,2,1640,8,"14,3a","77,69",30',200220,Åby,Janette Gustafsson,3,2660,3,"17,6","42,61",35',200206,Åby,Janette Gustafsson,0,2140,6,"17,0","29,47",35'
2020-04-25,ÅBY,4,HASTY HELENE,s,5,Kevin Oscarsson,3,"121,52","15,21 - 29,01",0,VOLTSTART,2640M,2640,"1.15,2",13 214,200407,Axevalla,Fredrik Persson,3,2140,2,"15,4a","8,64",30',200314,Halmstad,Kevin Oscarsson,6,2140,2,"13,9a","21,36",110',200222,Axevalla,Kevin Oscarsson,0,2140,6,"17,8g","9,75",110',200208,Solvalla,Kevin Oscarsson,1,2160,2,"16,3","5,01",40',200127,Mantorp,Fredrik Persson,3,2680,7,"17,0g","2,63",25'
2020-04-25,ÅBY,4,ABOVE ALL,s,9,Henriette Larsen,8,"118,66","7,68 - 14,49",0,VOLTSTART,2640M,2660,"1.14,7",7 436,200317,Örebro,Petter Karlsson,5,2100,10,"14,1a","47,00",40',200303,Axevalla,Petter Karlsson,3,2140,5,"14,8a","45,39",35',200215,Mantorp,Linda Sedström,5,2140,7,"15,2a","76,11",110',200128,Axevalla,Linda Sedström,1,2160,2,"15,7","27,39",35',200108,Åby,Henriette Larsen,0,3140,7,"17,7a","42,73",60'
2020-04-25,ÅBY,4,DARSHANA,s,5,Christoffer Eriksson,7,"104,76","10,60 - 20,13",0,VOLTSTART,2640M,2660,"1.14,8",25 031,200410,Färjestad,Carl Johan Jepson,5,2140,1,"13,6a","79,99",100',191106,Åby,Kevin Oscarsson,0,1640,3,"13,1a","18,62",70',191027,Solvalla,Kevin Oscarsson,6,2140,8,"12,9a","74,93",200',191001,Jägersro,Kevin Oscarsson,3,2140,8,"13,5a","44,56",125',190920,Kalmar,Christoffer Eriksson,3,2160,4,"13,4","5,92",150'
2020-04-25,ÅBY,4,CALLMESALLY,s,8,Örjan Kihlström,4,"17,30","2,64 - 4,55",0,VOLTSTART,2640M,2660,"1.14,9",23 574,200409,Jägersro,Mikko Aho,6,1640,9,"11,0a","13,92",30',200328,Solvalla,Magnus A Djuse,2,2160,3,"12,8","25,42",220',200314,Halmstad,Magnus A Djuse,5,2180,3,"13,5","63,63",110',200222,Axevalla,Örjan Kihlström,0,2160,1,"16,4","8,63",110',191231,Axevalla,Carl Johan Jepson,0,2160,3,ug,"6,54",100'
2020-04-25,ÅBY,4,ROYAL BABY,s,7,Erik Adielsson,6,"8,60","1,88 - 2,84",d,VOLTSTART,2640M,2660,8g,21 854,(200306),Jarlsberg,Tom Erik Solberg,3,2100,,"14,6a","3,60",,191023,Åby,Christoffer Eriksson,0,3140,11,"15,5a","34,69",70',(191005),Klosterskogen,Lars Anvar Kolle,0,2540,,"16,8","3,50",,190914,Sörlandet,Svein O Wassberg,2,2140,,"13,9a","1,80",,190907,Bjerke,Tom Erik Solberg,2,2100,,"12,4a","34,50",
2020-04-25,ÅBY,5,MONI VIKING,h,7,Björn Goop,1,"4,15","1,67",1,VOLTSTART,3140M,3200,"1.12,4",79 041,200313,Enghien,Bryan Coppens,1,2150,,"13,0a","3,50",,200229,Vincennes,Pierre Vercruysse,1,2700,,"12,4","4,90",,200216,Vincennes,Pierre Vercruysse,1,2700,,"14,3","3,60",,200123,Vincennes,Pierre Vercruysse,4,2850,,"17,4","9,50",,191215,Vincennes,Pierre Vercruysse,1,2700,,"13,9","3,30",
2020-04-25,ÅBY,5,ENZO AM,v,6,Per Nilsson,6,"27,25","3,47",2,VOLTSTART,3140M,3160,"1.13,6",17 239,200410,Färjestad,Per Nilsson,2,3160,1,"14,0","22,07",100',200330,Färjestad,Per Nilsson,3,1640,5,"12,6a","7,48",35',191101,Färjestad,Per Nilsson,4,2660,5,"15,6","6,86",30',191019,Romme,Per Nilsson,0,2140,12,"14,6","44,68",125',190923,Örebro,Per Nilsson,1,1640,2,"13,0","3,10",25'
2020-04-25,ÅBY,5,PROSPEROUS,v,6,Erik Adielsson,2,"3,44","1,46",3,VOLTSTART,3140M,3180,"1.13,2",36 988,200404,Jägersro,Björn Goop,1,2140,12,"13,5a","3,48",125',200217,Vincennes,Dominik Locqueneux,1,2850,,"13,6","10,40",,200207,Wolvega,Jaap van Rijn,1,2600,,"15,2","1,40",,200103,Wolvega,Jaap van Rijn,1,2600,,"13,7a","1,50",,191220,Vincennes,Dominik Locqueneux,4,2850,,"13,8","13,30",
2020-04-25,ÅBY,5,VAGABOND BI,v,6,Carl Johan Jepson,1,"15,39","3,64 - 6,65",4,VOLTSTART,3140M,3160,"1.13,9",15 108,200410,Eskilstuna,Emilia Leo,2,3160,6,"15,2","2,93",35',200303,Axevalla,Ulf Ohlsson,2,2140,2,"14,7a","2,32",35',200222,Axevalla,Ulf Ohlsson,1,3180,5,"17,0","5,82",100',200201,Åby,Carl Johan Jepson,2,3160,4,"15,7","18,63",150',200118,Kalmar,Ulf Ohlsson,0,2140,10,"13,4a","19,44",110'
2020-04-25,ÅBY,5,ANDRE WARD,v,8,Flemming Jensen,4,"26,37","4,05 - 7,46",5,VOLTSTART,3140M,3160,"1.14,0",14 079,200301,Billund,Flemming Jensen,1,1900,,"13,1a","1,94",,190928,Solvalla,Flemming Jensen,7,2140,7,"12,2a","8,16",250',190915,Ålborg,Flemming Jensen,1,2140,,"14,3a","2,07",,190825,Charlottenlund,Flemming Jensen,1,2970,,"15,3","2,40",,190803,Rättvik,Flemming Jensen,1,2140,9,"12,8a","6,07",125'
2020-04-25,ÅBY,5,RACING RIBB,v,6,Adrian Kolgjini,8,"71,49","9,03 - 17,51",6,VOLTSTART,3140M,3160,"1.14,1",14 776,200413,Halmstad,Adrian Kolgjini,1,2640,11,"15,6a","8,78",35',200404,Jägersro,Adrian Kolgjini,0,3160,5,"16,9g","23,73",100',200314,Halmstad,Dante Kolgjini,7,2140,13,"13,9a","18,14",110',200225,Jägersro,Dante Kolgjini,5,2140,7,"14,7a","4,88",35',200218,Jägersro,Adrian Kolgjini,1,2160,4,"14,4","3,23",35'
