,datum,bana,avd,häst,kön,ålder,kusk,spår,vodds,podds,plac,start,lopp_dist,dist,tid,kr,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_kmtid,h1_odds,h1_pris,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_kmtid,h2_odds,h2_pris,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_kmtid,h3_odds,h3_pris,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_kmtid,h4_odds,h4_pris,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_kmtid,h5_odds,h5_pris
0,2020-03-07,FÄRJESTAD,4,VIKING FAKS,h,11,Kenneth Haugstad,3,"22,77","4,48",1,VOLTSTART,2140M,2160,"1.24,4",6 707,(200216),Bjerke,Andre H Stensen,3,1609,,"25,6a","11,50",,200129,Bjerke,Andre H Stensen,0,2100,,"27,5a","19,40",,190419,Färjestad,Liv Pedersen,3,2160,1,"27,5","8,67",50',190410,Bjerke,Andre H Stensen,4,2100,,"25,2a","11,20",,(190330),Biri,Andre H Stensen,3,2100,,"26,6a","15,20",
1,2020-03-07,FÄRJESTAD,4,REIME KONGEN,h,5,Kristian Malmin,8,"5,95","2,16",2,VOLTSTART,2140M,2160,"1.24,5",12 550,(200229),Jarlsberg,Kristian Malmin,0,2100,,"29,3ag","16,80",,191230,Bjerke,Kristian Malmin,3,2100,,"26,8a","17,30",,(191221),Drammen,Kristian Malmin,2,2120,,"27,7","7,20",,191214,Bjerke,Kristian Malmin,2,2160,,"25,9","5,10",,(191130),Klosterskogen,Gunnar Austevoll,2,2120,,"26,6","4,00",
2,2020-03-07,FÄRJESTAD,4,GULI RUBIN,v,8,Jorma Kontio,2,"26,95","4,83",3,VOLTSTART,2140M,2180,"1.24,3",14 163,200229,Bergsåker,Jörgen Westholm,0,2140,7,"25,0","49,02",110',200214,Romme,Jörgen Westholm,d,1640,10,14g,"27,81",50',200126,Bollnäs,Ulf Ohlsson,3,2140,4,"25,9a","10,09",50',200111,Bergsåker,Jörgen Westholm,3,1660,4,"25,2","18,85",110',191228,Romme,Örjan Kihlström,d,2140,3,5g,"4,49",125'
3,2020-03-07,FÄRJESTAD,4,GRUDE SVARTEN,v,8,Morgan Ivarsson,2,"41,26","4,80 - 7,83",4,VOLTSTART,2140M,2160,"1.25,1",11 182,200201,Åby,Jörgen Westholm,5,2640,6,"26,6","81,32",150',200117,Momarken,Morgan Ivarsson,0,2140,,"28,0a","11,92",,200101,Bergsåker,Morgan Ivarsson,0,2640,2,"28,2a","20,03",60',191124,Eskilstuna,Morgan Ivarsson,2,2180,2,"26,5","22,82",25',191115,Romme,Morgan Ivarsson,2,2140,2,"26,2","25,29",35'
4,2020-03-07,FÄRJESTAD,4,OSEN PRINSESSA,s,9,Ole Johan Östre,1,"2,34","1,56 - 2,18",5,VOLTSTART,2140M,2140,"1.26,2g",11 879,200221,Jarlsberg,Ole Johan Östre,0,2100,,"27,3ag","1,66",,200204,Gävle,Ole Johan Östre,0,1640,5,"24,8ag","3,15",35',200118,Bjerke,Ole Johan Östre,1,2180,,"26,7g","3,40",,200111,Bergsåker,Ole Johan Östre,5,1640,6,"26,6","3,81",110',191120,Bjerke,Ole Johan Östre,3,2100,,"25,5ag","2,50",
5,2020-03-07,FÄRJESTAD,4,GULI TOR,h,8,Rikard N Skoglund,1,"10,64","2,69 - 4,17",6,VOLTSTART,2140M,2180,"1.24,6",16 752,200214,Romme,Rikard N Skoglund,6,1640,8,"24,6","25,38",50',200126,Bollnäs,Rikard N Skoglund,d,2140,1,7ag,"8,76",50',200119,Boden,Rikard N Skoglund,d,1660,4,3g,"2,08",50',191219,Gävle,Rikard N Skoglund,2,2140,3,"24,9a","4,49",35',191117,Östersund,Rikard N Skoglund,6,2140,10,"25,6ag","6,03",50'
6,2020-03-07,FÄRJESTAD,4,BOSSUM FAKSEN,h,10,Örjan Kihlström,5,"5,88","1,50 - 2,00",7,VOLTSTART,2140M,2160,"1.25,5",15 638,200221,Jarlsberg,Jan Roar Mjölneröd,2,2100,,"26,8a","5,00",,200129,Bjerke,Ole-Christian Kjenner,3,2100,,"26,8a","7,10",,200117,Momarken,Jan Roar Mjölneröd,2,2140,,"27,1a","10,39",,191016,Bjerke,Ole-Christian Kjenner,0,1609,,"25,3a","16,50",,(191004),Biri,Ole-Christian Kjenner,5,2140,,"30,3","2,20",
7,2020-03-07,FÄRJESTAD,4,KOS ODIN,h,6,Simen B Jessen,6,"13,35","2,55 - 3,93",0,VOLTSTART,2140M,2160,"1.26,0g",17 237,(200215),Sörlandet,Simen B Jessen,5,2160,,"27,1","3,70",,(200125),Leangen,Simen B Jessen,1,2160,,"29,3","29,90",,(191221),Drammen,Simen B Jessen,0,2140,,"28,8","54,70",,(191130),Klosterskogen,Simen B Jessen,d,1700,,0ag,"7,80",,191107,Klosterskogen,Simen B Jessen,2,2100,,"25,0a","11,02",
8,2020-03-07,FÄRJESTAD,4,FRÖYU PELLE,v,7,Gunnar Austevoll,4,"26,01","4,82 - 7,87",0,VOLTSTART,2140M,2160,"1.26,2",9 896,200221,Jarlsberg,Gunnar Austevoll,4,2100,,"27,0a","6,01",,191210,Momarken,Gunnar Austevoll,0,2140,,ug,"3,60",,(191130),Klosterskogen,Gunnar Austevoll,6,1700,,"26,7a","13,60",,191106,Bjerke,Gunnar Austevoll,3,2100,,"25,6a","3,90",,191016,Bjerke,Gunnar Austevoll,2,1609,,"23,3a","3,40",
9,2020-03-07,FÄRJESTAD,4,MINE,s,7,Dagfinn Aarum,1,"13,82","2,75 - 4,26",0,VOLTSTART,2140M,2160,"1.26,2",14 020,200222,Bjerke,Erlend Rennesvik,0,2100,,"27,1a","93,00",,200207,Jarlsberg,Erlend Rennesvik,3,1609,,"25,1a","9,08",,(200125),Leangen,Eirik Höitomt,4,2140,,"28,9","6,90",,200118,Bjerke,Erlend Rennesvik,0,2100,,"26,1a","49,60",,(191130),Klosterskogen,Eirik Höitomt,2,1700,,"25,9a","7,10",
