,datum,bana,avd,häst,kön,ålder,kusk,spår,vodds,podds,plac,start,lopp_dist,dist,tid,kr,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_kmtid,h1_odds,h1_pris,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_kmtid,h2_odds,h2_pris,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_kmtid,h3_odds,h3_pris,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_kmtid,h4_odds,h4_pris,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_kmtid,h5_odds,h5_pris
77,2020-03-28,SOLVALLA,1,BURNING MAN,v,6,Örjan Kihlström,6,"3,66","1,73",1,AUTOSTART,2140M,2140,"1.12,1",38 479,200222,Axevalla,Örjan Kihlström,1,2140,7,"15,5","1,92",110',200201,Åby,Örjan Kihlström,1,3160,1,"15,7","1,85",150',200114,Jägersro,Peter Ingves,1,2140,8,"14,4a","2,03",35',191109,Eskilstuna,Peter Untersteiner,0,2140,6,"16,1","2,90",125',190928,Solvalla,Peter Untersteiner,2,2140,10,"11,9a","5,18",250'
78,2020-03-28,SOLVALLA,1,ADDE S.H.,v,5,Peter Untersteiner,2,"8,08","2,30",2,AUTOSTART,2140M,2140,"1.12,2",26 900,200314,Halmstad,Peter Untersteiner,1,1640,4,"11,6a","4,28",110',200220,Åby,Peter Untersteiner,1,1640,6,"13,4a","3,03",35',200206,Åby,Peter Untersteiner,0,2640,4,"15,4a","3,41",35',200122,Jägersro,Peter Untersteiner,5,1640,12,"13,2a","6,89",60',200110,Kalmar,Johan Untersteiner,1,2140,6,"15,0a","2,27",25'
79,2020-03-28,SOLVALLA,1,GUILLAUME BOKO,h,7,Björn Goop,11,"6,98","2,13",3,AUTOSTART,2140M,2140,"1.12,3",20 872,200307,Färjestad,Björn Goop,2,2140,9,"13,3a","6,30",110',200203,Vincennes,Björn Goop,3,2850,,"15,0","3,60",,191231,Vincennes,Björn Goop,4,2850,,"15,4","27,60",,191110,Eskilstuna,Anton Sverre,5,2140,1,"14,0a","13,63",100',191019,Romme,Björn Goop,5,3160,4,"15,3","3,01",125'
80,2020-03-28,SOLVALLA,1,RELIGIOUS,h,5,Mika Forss,10,"8,01","2,23 - 3,24",4,AUTOSTART,2140M,2140,"1.12,5",30 894,200314,Vermo,Antti Teivainen,1,2120,,"13,0a","3,20",,200229,Bergsåker,Mika Forss,1,3140,5,"15,8a","1,74",110',200215,Mantorp,Erik Adielsson,2,2140,6,"14,3a","2,28",110',200208,Solvalla,Mika Forss,4,2140,5,"12,8a","8,32",220',200125,Eskilstuna,Jorma Kontio,1,2640,4,"15,2a","6,24",110'
81,2020-03-28,SOLVALLA,1,SMOKEY HERMAN,v,8,Ulf Ohlsson,1,"16,65","2,80 - 4,16",4,AUTOSTART,2140M,2140,"1.12,5",11 715,200314,Halmstad,Ulf Ohlsson,2,1640,5,"11,7a","9,34",110',200305,Åby,Ulf Ohlsson,2,2640,6,"14,3a","9,69",35',200222,Axevalla,Ulf Ohlsson,5,2140,3,"15,8","33,19",110',200206,Åby,Ville Karhulahti,0,2160,6,"16,3","4,99",35',200121,Axevalla,Christoffer Eriksson,1,2140,6,"16,4a","4,13",35'
82,2020-03-28,SOLVALLA,1,STAR COSTASHORTA,v,6,Oskar J Andersson,5,"12,34","3,22 - 4,87",6,AUTOSTART,2140M,2140,"1.12,5",22 979,200311,Solvalla,Patrik Fernlund,3,2640,10,"15,1a","2,49",40',200307,Färjestad,Oskar J Andersson,1,2140,4,"13,1a","9,41",110',200218,Gävle,Patrik Fernlund,2,2140,7,"14,0a","3,29",25',200129,Solvalla,Oskar J Andersson,4,1640,8,"12,4a","28,86",60',200101,Bergsåker,Oskar J Andersson,5,2140,6,"14,8a","4,10",60'
83,2020-03-28,SOLVALLA,1,JOE MARTINI,v,8,Emilia Leo,3,"31,80","4,71 - 7,30",7,AUTOSTART,2140M,2140,"1.12,7",21 327,200307,Färjestad,Carl Johan Jepson,3,2140,3,"13,3a","32,30",110',200215,Mantorp,Emilia Leo,6,2140,4,"14,6a","18,89",110',200125,Eskilstuna,Carl Johan Jepson,2,3180,6,"15,3","23,52",100',191223,Mantorp,Carl Johan Jepson,4,1640,2,"13,4a","7,40",100',191208,Färjestad,Carl Johan Jepson,2,2640,5,"18,0a","4,50",35'
84,2020-03-28,SOLVALLA,1,RADJAH D'INVERNE,v,8,Marcus Lilius,12,"91,08","11,10 - 17,48",0,AUTOSTART,2140M,2140,"1.12,8",13 688,200320,Romme,Oskar J Andersson,5,3180,2,"17,2","33,64",60',200306,Romme,Oskar J Andersson,3,2140,3,"15,2a","4,64",35',200229,Bergsåker,Jörgen Westholm,5,3140,3,"15,9a","18,35",110',200208,Solvalla,Oskar J Andersson,0,2140,4,"14,3a","15,98",220',200125,Eskilstuna,Carl Johan Jepson,6,2640,9,"15,5a","15,18",110'
85,2020-03-28,SOLVALLA,1,INGO,v,5,Erik Adielsson,4,"22,06","3,92 - 6,01",0,AUTOSTART,2140M,2140,"1.12,8",23 607,200314,Halmstad,Erik Adielsson,5,1640,7,"12,1a","10,60",110',200222,Axevalla,Christoffer Eriksson,2,2140,5,"15,7","12,45",110',200208,Solvalla,Christoffer Eriksson,4,2140,7,"13,8a","15,90",220',200125,Eskilstuna,Erik Adielsson,1,2140,2,"14,5","3,89",110',200118,Kalmar,Christoffer Eriksson,4,2140,1,"13,2a","8,59",110'
86,2020-03-28,SOLVALLA,1,ELDORADO MEARAS,v,6,Johan Untersteiner,9,"49,19","6,63 - 10,43",0,AUTOSTART,2140M,2140,"1.12,9",21 519,200314,Halmstad,Johan Untersteiner,6,1640,9,"12,3a","8,39",110',200208,Solvalla,Johan Untersteiner,0,2140,9,"13,2a","41,48",220',200118,Kalmar,Ulf Ohlsson,3,1640,1,"11,5a","15,94",110',200104,Jägersro,Peter Ingves,1,2140,10,"13,8a","9,72",110',191226,Solvalla,Peter Untersteiner,7,2140,8,"13,0a","91,39",250'
