iter	Logloss
0	0.6582299739
1	0.6279292255
2	0.5961931514
3	0.5691353339
4	0.5419222926
5	0.5164679614
6	0.4966021905
7	0.4779210352
8	0.4616875603
9	0.4467514335
10	0.4312697478
11	0.4183534639
12	0.4054158319
13	0.3950053366
14	0.3819793939
15	0.3725978413
16	0.3623480783
17	0.3535885244
18	0.345660638
19	0.3386572831
20	0.3310062829
21	0.3244702803
22	0.3195243224
23	0.3141930335
24	0.3078042543
25	0.3027135402
26	0.2983336225
27	0.295189517
28	0.291594867
29	0.2873113243
30	0.2845034257
31	0.2810349948
32	0.2787838294
33	0.27573757
34	0.2739319243
35	0.2722061641
36	0.2702591803
37	0.2676048049
38	0.2655164044
39	0.2641412139
40	0.2625305646
41	0.2613006902
42	0.2591397023
43	0.2570913042
44	0.2557318995
45	0.254564526
46	0.2538377978
47	0.2528089629
48	0.2520585164
49	0.251159039
50	0.2497685576
51	0.2492611032
52	0.2486596415
53	0.2475792284
54	0.2468264875
55	0.2462412005
56	0.2456665028
57	0.2449073871
58	0.2440518862
59	0.2431284742
60	0.2426284593
61	0.241903942
62	0.241402229
63	0.2411037519
64	0.2404016732
65	0.2397900162
66	0.2392825678
67	0.2390204806
68	0.2386953918
69	0.2381871711
70	0.2377478101
71	0.2374294037
72	0.2369873326
73	0.2367454268
74	0.2362531236
75	0.2359019916
76	0.2354798526
77	0.2353075331
78	0.235138606
79	0.2347465967
80	0.2344351089
81	0.2342716078
82	0.2341686518
83	0.2339718609
84	0.2336730172
85	0.2333688936
86	0.2331772087
87	0.2329175174
88	0.2327222045
89	0.2325568643
90	0.2324184068
91	0.2323022087
92	0.232077806
93	0.2319454901
94	0.2317351747
95	0.2314077847
96	0.2312742229
97	0.2310644027
98	0.2308294788
99	0.2307333299
100	0.2305663418
101	0.2304369646
102	0.2303991809
103	0.2302922506
104	0.2301620939
105	0.2300377906
106	0.229835407
107	0.2296635836
108	0.229526897
109	0.2294509786
110	0.2292676877
111	0.2290818489
112	0.2289940804
113	0.2289086519
