datum,bana,avd,startnr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,kr,plac,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4
2023-01-14,kalmar,1,12,rossi garline,6,v,flemming jensen,2640.0,1,2640.0,110000.0,12.0,7.0,9.67,2.81,16194.0,6,2022-12-29,ålborg-9,flemming jensen,2.0,3180.0,,10.77,,16.4,2022-10-19,åby-6,flemming jensen,6.0,2660.0,,5.65,60.0,14.7,2022-10-03,halmstad-9,peter ingves,2.0,2140.0,,5.59,60.0,12.8,2022-09-15,åby-9,flemming jensen,2.0,2660.0,,4.45,40.0,14.4,2022-08-28,charlottenlund-10,ken ecce,2.0,2970.0,,14.76,,14.9,10,0,0,1,0,0,,697.2697008005748,5152.164935300037,4206.725054048198,,16.0,71.0,16.0,18.0,18.0
2023-01-14,kalmar,2,1,hulk marke,6,v,örjan kihlström,2140.0,1,2140.0,110000.0,1.0,11.0,9.43,2.39,9536.0,2,2023-01-07,färjestad-5,örjan kihlström,5.0,1640.0,12.0,27.09,110.0,15.2,2022-12-31,axevalla-7,björn goop,3.0,2140.0,12.0,27.89,110.0,16.6,2022-12-19,färjestad-7,rikard n skoglund,4.0,1640.0,12.0,4.04,30.0,15.6,2022-11-30,solvalla-8,christer nyström,4.0,2140.0,12.0,23.78,40.0,13.7,2022-11-18,örebro-7,magnus a djuse,4.0,2100.0,12.0,11.39,25.0,14.5,10,1,1,0,1,1,1556.570344516668,4231.196882217894,1340.2329094063966,1547.5676620451568,1223.459661321102,7.0,7.0,12.0,19.0,12.0
2023-01-14,kalmar,2,2,dira necessitas,5,v,ken ecce,2140.0,1,2140.0,110000.0,2.0,4.0,19.72,4.69,14393.0,20,2022-12-31,axevalla-9,magnus a djuse,1.0,2140.0,3.0,5.9,100.0,17.1,2022-12-22,axevalla-8,ken ecce,1.0,2140.0,3.0,7.44,15.0,19.2,2022-12-15,åby-10,ken ecce,20.0,2160.0,3.0,3.79,15.0,30.0,2022-10-14,kalmar-2,ken ecce,20.0,2140.0,3.0,24.37,30.0,19.9,2022-09-30,axevalla-4,jens laursen,20.0,2660.0,3.0,3.31,30.0,21.6,17,0,0,0,1,0,10966.331584284586,4247.24195949226,0.3179138326438188,0.4495980537908989,0.4495980537908989,14.0,9.0,7.0,62.0,14.0
2023-01-14,kalmar,2,3,deluca,6,v,martin malmqvist,2140.0,1,2140.0,110000.0,3.0,1.0,55.83,9.77,6938.0,15,2022-12-20,jägersro-6,martin malmqvist,4.0,1640.0,9.0,4.02,30.0,16.5,2022-12-11,kalmar-11,martin malmqvist,1.0,1640.0,9.0,1.78,25.0,15.5,2022-11-05,visby-10,martin malmqvist,1.0,2140.0,9.0,4.15,12.0,17.3,2022-10-28,kalmar-4,anders zackrisson,1.0,1640.0,9.0,37.0,25.0,14.1,2022-10-14,kalmar-2,martin malmqvist,1.0,2140.0,9.0,28.92,30.0,30.0,26,1,1,0,1,1,1340.2329094063966,5483.165792142293,3798.8486953256406,5483.165792142293,6006.507181794034,25.0,9.0,36.0,8.0,14.0
2023-01-14,kalmar,2,4,segway,5,v,andré eklundh,2140.0,1,2140.0,110000.0,4.0,1.0,42.61,7.36,11555.0,7,2022-12-31,axevalla-7,carl johan jepson,4.0,2140.0,4.0,6.63,110.0,16.6,2022-12-23,halmstad-9,carl johan jepson,4.0,2640.0,4.0,5.58,110.0,16.6,2022-12-06,axevalla-6,carl johan jepson,2.0,1640.0,4.0,2.5,25.0,14.6,2022-11-26,axevalla-4,carl johan jepson,2.0,2640.0,4.0,4.2,25.0,15.8,2022-11-17,åby-8,jörgen sjunnesson,2.0,1640.0,4.0,14.49,35.0,14.0,24,1,1,1,1,1,2566.350636345657,2566.350636345657,3325.708165221809,3325.708165221809,3935.0309681516123,14.0,8.0,17.0,10.0,9.0
2023-01-14,kalmar,2,5,ilaria mearas,5,s,preben sövik,2140.0,1,2140.0,110000.0,5.0,1.0,53.21,9.06,16120.0,20,2022-12-31,axevalla-3,preben sövik,1.0,2140.0,5.0,7.37,50.0,16.8,2022-12-10,åby-8,örjan kihlström,20.0,2140.0,5.0,10.19,110.0,30.0,2022-11-08,jägersro-4,preben sövik,6.0,2140.0,5.0,16.36,50.0,15.4,2022-10-28,kalmar-9,preben sövik,6.0,2140.0,5.0,3.34,50.0,15.1,2022-09-30,axevalla-7,preben sövik,6.0,2140.0,5.0,6.11,60.0,30.0,26,1,0,0,1,1,7754.367427987846,0.8609147285877977,636.517239655588,636.517239655588,697.2697008005748,14.0,21.0,32.0,11.0,28.0
2023-01-14,kalmar,2,6,kookaburra cheri,5,v,stefan persson,2140.0,1,2140.0,110000.0,6.0,8.0,13.09,3.17,13950.0,5,2022-12-23,halmstad-5,peter ingves,8.0,2640.0,1.0,7.21,100.0,16.7,2022-11-30,åby-10,stefan persson,1.0,2140.0,1.0,5.76,30.0,14.4,2022-11-19,jägersro-12,stefan persson,15.0,2140.0,1.0,6.05,35.0,15.0,2022-10-28,kalmar-4,stefan persson,15.0,1640.0,1.0,1.6,25.0,13.5,2022-10-10,halmstad-2,ola samuelsson,15.0,2140.0,1.0,3.32,25.0,14.8,13,0,1,1,1,1,331.15451958692313,6006.507181794034,5.916079783099616,5.0,5.0,22.0,23.0,11.0,22.0,18.0
2023-01-14,kalmar,2,7,laban lagö,5,v,conrad lugauer,2140.0,1,2140.0,110000.0,7.0,24.0,4.02,1.88,24950.0,3,2022-12-10,åby-6,conrad lugauer,4.0,2140.0,2.0,1.82,110.0,14.3,2022-11-19,jägersro-6,conrad lugauer,20.0,2140.0,2.0,5.93,110.0,30.0,2022-11-09,åby-8,conrad lugauer,1.0,1640.0,2.0,3.4,60.0,12.3,2022-10-14,kalmar-8,conrad lugauer,1.0,2140.0,2.0,1.56,30.0,13.9,2022-10-03,halmstad-8,markus waldmüller,1.0,2140.0,2.0,6.77,40.0,30.0,3,1,0,1,1,1,2566.350636345657,0.8609147285877977,8494.48391898452,6006.507181794034,6935.717076596412,35.0,21.0,10.0,26.0,11.0
2023-01-14,kalmar,2,8,marabou brodda,6,s,thomas uhrberg,2140.0,1,2140.0,110000.0,8.0,18.0,4.81,1.73,18628.0,1,2022-12-21,åby-8,thomas uhrberg,1.0,2140.0,10.0,7.56,60.0,15.5,2022-12-10,åby-3,andré eklundh,2.0,2660.0,10.0,5.11,40.0,15.7,2022-11-13,eskilstuna-8,thomas uhrberg,5.0,2140.0,10.0,6.14,110.0,14.6,2022-10-22,jägersro-6,thomas uhrberg,5.0,2140.0,10.0,7.72,110.0,15.8,2022-10-08,åby-10,thomas uhrberg,5.0,2140.0,10.0,11.59,110.0,14.7,5,0,0,0,0,0,8494.48391898452,4206.725054048198,1556.570344516668,1556.570344516668,1556.570344516668,24.0,11.0,27.0,22.0,14.0
2023-01-14,kalmar,2,9,lucia di quattro,5,s,victor rosleff,2140.0,1,2140.0,110000.0,9.0,1.0,50.22,5.9,13588.0,4,2022-12-21,åby-5,victor rosleff,2.0,2140.0,2.0,15.51,100.0,16.9,2022-12-06,axevalla-1,victor rosleff,1.0,2160.0,2.0,,25.0,16.3,2022-11-21,halmstad-7,mathias alm,6.0,2140.0,2.0,10.54,25.0,16.2,2022-10-27,åby-6,mathias alm,6.0,2140.0,2.0,41.0,35.0,15.0,2022-10-10,halmstad-7,mathias alm,6.0,2140.0,2.0,8.16,25.0,16.0,26,0,0,1,1,1,6651.416330443618,5483.165792142293,450.0856565026091,532.5485306196407,450.0856565026091,24.0,15.0,15.0,25.0,17.0
