datum,bana,avd,startnr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,plac,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4,rel_kr,streck_avst,rel_rank,h1_samma_bana,h2_samma_bana,h3_samma_bana,h1_samma_kusk,h2_samma_kusk,h3_samma_kusk,proba_cat1L1,proba_cat2L1,proba_xgb1L1,proba_xgb2L1,proba_cat1L2,proba_cat2L2,proba_xgb1L2,proba_xgb2L2,meta
2022-12-17,romme,1,11,mysterious lucifer,4,v,örjan kihlström,2640.0,1,2640.0,110000.0,11.0,15.0,6.17,2.0,6,2022-12-03,bergsåker,magnus a djuse,3.0,2140.0,12.0,14.01,110.0,14.1,2022-11-24,rättvik,robert bergh,1.0,2140.0,12.0,4.89,25.0,13.9,2022-10-21,umåker,micael melander,15.0,2140.0,12.0,3.44,100.0,16.4,2022-10-16,boden,stefan edin,15.0,2140.0,12.0,1.87,35.0,16.2,2022-09-30,bollnäs,robert bergh,15.0,2140.0,12.0,9.3,40.0,13.9,6,1,1,0,0,1,4231.196882217894,5483.165792142293,10.0,5.916079783099616,6.324555320336759,14.0,9.0,34.0,5.0,16.0,0.06276998791321362,22.0,0.25,False,False,False,False,False,False,0.08832045407174607,0.09906295955675422,0.0009866769,0.0016193814,0.061433292575297324,0.06700897721324142,0.0048647155,0.003947506,0.00018232802773155056
2022-12-17,romme,1,12,prometheus,6,h,benny christensen,2640.0,1,2640.0,110000.0,12.0,4.0,19.29,4.43,7,2022-12-04,mantorp,benny christensen,2.0,2640.0,11.0,5.39,40.0,15.6,2022-10-26,solvalla,benny christensen,7.0,3180.0,11.0,10.25,60.0,16.6,2022-10-13,örebro,benny christensen,2.0,2660.0,11.0,22.42,30.0,14.7,2022-09-30,solvalla,benny christensen,2.0,2140.0,11.0,17.56,40.0,14.0,2022-09-06,eskilstuna,benny christensen,2.0,2660.0,11.0,15.01,50.0,15.2,17,1,0,0,1,0,4206.725054048198,422.9154516242031,3643.130763542206,4206.725054048198,4703.261591751624,13.0,39.0,13.0,13.0,24.0,0.08356142851722774,33.0,0.5,False,False,False,True,True,True,0.030989326774684967,0.029938128823928493,2.9801777e-05,0.0014309665,0.03745999946034784,0.04041371519704413,0.00039273736,0.00093771657,1.2186940632603637e-05
2022-12-17,romme,2,1,åstas gotthard,7,v,kajsa frick,2140.0,1,2140.0,220000.0,1.0,2.0,23.52,4.5,15,2022-11-22,bollnäs,kajsa frick,15.0,2140.0,10.0,30.82,50.0,28.2,2022-10-24,hagmyren,kajsa frick,6.0,2160.0,10.0,3.11,22.0,24.8,2022-09-30,bollnäs,kajsa frick,1.0,1640.0,10.0,4.19,40.0,24.3,2022-09-10,hagmyren,kajsa frick,1.0,2140.0,10.0,71.01,200.0,23.9,2022-08-28,hagmyren,catrine hagman,1.0,1640.0,10.0,6.97,20.0,26.2,19,1,0,1,0,0,7.071067811865476,422.2177713060625,6935.717076596412,15508.734855975692,4904.29257725266,25.0,29.0,24.0,20.0,13.0,0.040820259435005404,43.0,0.5,False,False,False,True,True,True,0.02444980373600854,0.022035897487448827,0.0006753918,0.0036712477,0.02956496614387295,0.026334166975427505,0.0013233136,0.0019530014,4.049109040991507e-05
2022-12-17,romme,2,2,faks nils,14,v,jan ove olsen,2140.0,1,2160.0,220000.0,1.0,0.0,81.49,9.73,15,2022-12-10,romme,hanna forslin,3.0,1640.0,9.0,23.9,30.0,24.2,2022-11-23,bergsåker,jan ove olsen,4.0,1640.0,9.0,58.53,60.0,22.3,2022-11-09,solvalla,jan ove olsen,15.0,2140.0,9.0,109.24,100.0,25.2,2022-10-29,romme,jan ove olsen,15.0,2140.0,9.0,118.78,110.0,23.8,2022-10-06,östersund,emil eriksson,15.0,2140.0,9.0,73.81,50.0,25.2,29,1,0,1,0,1,2209.670505430644,1895.3755572212776,10.0,10.488088481701515,7.071067811865476,7.0,17.0,14.0,11.0,23.0,0.02163116758389304,45.0,0.6666666666666666,False,False,False,False,True,True,0.019869751724561565,0.01652577495875396,7.872962e-05,0.0014570791,0.02270669392963375,0.020605739546181594,0.00045296893,0.0010621743,9.59611568066484e-06
2022-12-17,romme,2,3,soldhöjdens drake,5,h,torbjörn jansson,2140.0,1,2160.0,220000.0,2.0,22.0,3.97,1.51,2,2022-12-03,bergsåker,torbjörn jansson,3.0,2160.0,3.0,37.83,200.0,23.6,2022-11-22,bollnäs,torbjörn jansson,5.0,2140.0,3.0,4.58,50.0,24.9,2022-11-10,gävle,torbjörn jansson,1.0,2160.0,3.0,2.93,50.0,24.3,2022-11-04,umåker,ola åsebö,1.0,2160.0,3.0,36.55,75.0,24.2,2022-10-20,gävle,torbjörn jansson,1.0,2160.0,3.0,37.23,100.0,24.2,3,0,1,0,0,0,5705.344712092407,1049.439512187499,7754.367427987846,9497.1217383141,10966.331584284586,14.0,11.0,12.0,6.0,15.0,0.09145936929366198,23.0,0.16666666666666666,False,False,False,True,True,True,0.11285732135837222,0.15252190840661767,0.0006048169,0.0017158638,0.10287689270130278,0.12225103401340728,0.002399455,0.0032477493,0.00020455426911421463
2022-12-17,romme,2,4,bokli rapp n.o.,8,h,björn karlsson,2140.0,1,2160.0,220000.0,3.0,3.0,24.4,3.91,7,2022-11-22,bollnäs,björn karlsson,6.0,2140.0,1.0,5.09,50.0,25.0,2022-10-29,romme,björn karlsson,2.0,2140.0,1.0,35.86,110.0,23.7,2022-10-15,solänget,björn karlsson,3.0,2180.0,1.0,9.41,200.0,26.0,2022-10-03,solänget,björn karlsson,3.0,2220.0,1.0,1.89,50.0,26.2,2022-08-26,bergsåker,björn karlsson,3.0,3180.0,1.0,13.92,50.0,25.7,19,1,0,0,0,0,636.517239655588,6976.064300232707,5705.344712092407,2852.6723560462037,2852.6723560462037,25.0,24.0,14.0,12.0,38.0,0.06671005326442025,42.0,0.4166666666666667,False,False,False,True,True,True,0.045230746378549,0.03545759989901182,0.0014726523,0.0019422689,0.040349829512071014,0.03700003422916382,0.0055057956,0.00438836,0.0001134174045464431
2022-12-17,romme,2,5,björlifanner,9,v,nathalie blom,2140.0,1,2160.0,220000.0,4.0,0.0,54.74,7.87,3,2022-12-10,romme,nathalie blom,15.0,1640.0,8.0,7.5,30.0,24.7,2022-12-03,bergsåker,nathalie blom,7.0,2160.0,8.0,33.5,200.0,24.4,2022-11-22,bollnäs,nathalie blom,1.0,2140.0,8.0,20.95,50.0,24.3,2022-11-12,bergsåker,nathalie blom,1.0,2140.0,8.0,17.62,50.0,24.1,2022-10-29,romme,nathalie blom,1.0,2140.0,8.0,92.94,110.0,24.0,26,1,0,1,0,0,5.477225575051661,772.1344425735364,7754.367427987846,7754.367427987846,11501.58559756547,7.0,7.0,11.0,10.0,14.0,0.03434702117308093,45.0,0.6666666666666666,False,False,False,True,True,True,0.02107182688383478,0.017108158300701632,0.00025512316,0.0014339561,0.025439342474418283,0.020891039885367207,0.0009033022,0.0020041056,1.887351112143342e-05
2022-12-17,romme,2,6,tekno jerven,6,h,jimmy jonsson,2140.0,1,2160.0,220000.0,5.0,15.0,7.65,2.65,1,2022-12-03,bergsåker,jimmy jonsson,20.0,2160.0,2.0,8.37,200.0,30.0,2022-11-22,bollnäs,jimmy jonsson,3.0,2140.0,2.0,3.67,50.0,24.6,2022-11-12,bergsåker,jimmy jonsson,4.0,2160.0,2.0,3.93,50.0,23.5,2022-10-20,gävle,jimmy jonsson,4.0,2160.0,2.0,38.86,100.0,23.6,2022-10-15,solänget,jimmy jonsson,4.0,2640.0,2.0,18.43,100.0,25.3,8,0,1,0,0,1,1.160857183212945,2852.6723560462037,1730.233246056696,2446.919322642204,2446.919322642204,14.0,11.0,10.0,23.0,5.0,0.103739250759792,30.0,0.25,False,False,False,True,True,True,0.09135484007601807,0.08740618557674655,0.45399377,0.45546225,0.10919165738203214,0.1271336157173539,0.40003562,0.44945213,0.04505593353156049
2022-12-17,romme,2,7,arragon,12,v,carl johan jepson,2140.0,1,2160.0,220000.0,6.0,0.0,58.33,9.05,8,2022-12-10,romme,jorma kontio,4.0,1640.0,5.0,9.64,30.0,24.5,2022-11-10,gävle,magnus a djuse,2.0,2160.0,5.0,25.55,50.0,24.7,2022-10-29,romme,magnus a djuse,8.0,2140.0,5.0,51.07,110.0,24.0,2022-10-01,romme,kenneth gorski,8.0,2200.0,5.0,20.23,10.0,26.5,2022-08-19,bollnäs,tomas pettersson,8.0,1640.0,5.0,126.92,50.0,30.0,27,1,0,0,0,1,1340.2329094063966,4703.261591751624,347.31779025430075,104.72025393535188,234.16160642048672,7.0,30.0,12.0,28.0,43.0,0.037338800887108496,45.0,0.6666666666666666,False,False,False,False,False,False,0.02242390581585783,0.01835088129685445,0.027894557,0.0350176,0.023516789663418525,0.020495648210227504,0.0481926,0.051743858,0.0008337065593415308
2022-12-17,romme,2,8,b.w.rune,7,h,mats e djuse,2140.0,1,2180.0,220000.0,1.0,9.0,9.74,2.34,4,2022-11-09,solvalla,mats e djuse,7.0,2140.0,2.0,29.45,100.0,22.9,2022-10-29,romme,mats e djuse,20.0,2160.0,2.0,19.71,110.0,30.0,2022-10-08,åbo,harri koivunen,3.0,2100.0,2.0,41.7,,23.9,2022-09-17,färjestad,mats e djuse,3.0,2140.0,2.0,48.17,300.0,22.1,2022-08-27,bergsåker,örjan kihlström,3.0,2640.0,2.0,22.9,250.0,24.7,11,1,0,1,1,1,545.9815003314424,0.8609147285877977,,6987.5916756562965,6378.769305653794,38.0,11.0,21.0,21.0,21.0,0.10302842664611069,36.0,0.3333333333333333,False,False,False,True,True,False,0.0657220482700087,0.061342137401020416,0.032614883,0.06863072,0.050388404412108706,0.046504905678984854,0.07795209,0.07815797,0.0033690595415688997
