datum,bana,avd,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4,rel_kr,streck_avst,rel_rank,h1_samma_bana,h2_samma_bana,h3_samma_bana,h1_samma_kusk,h2_samma_kusk,h3_samma_kusk,probat1,probat2,probat3,probat4
2022-10-01,skellefteå,1,kissinger boko,5,v,robert dunder,2140.0,1,2140.0,110000.0,11.0,3.0,dannero,robert dunder,15.0,2140.0,6.0,1.92,25.0,16.3,bergsåker,björn goop,6.0,1640.0,6.0,3.28,110.0,12.6,solänget,robert dunder,1.0,1640.0,6.0,1.53,30.0,13.5,östersund,robert dunder,1.0,2140.0,6.0,1.64,25.0,16.2,jägersro,erik adielsson,1.0,2640.0,6.0,12.31,200.0,15.2,1,0,1,1,1,5.0,944.107637948816,6006.507181794034,5483.165792142293,15508.734855975692,22.0,13.0,26.0,160.0,182.0,0.14721406353300748,22.0,0.5,False,False,False,True,False,True,0.02830267626788882,0.03678250493031809,0.06516871473985701,0.026547842823817915
2022-10-01,skellefteå,1,somebody's destiny,5,v,stefan johansson,2140.0,1,2140.0,110000.0,12.0,1.0,hagmyren,stefan johansson,5.0,2140.0,2.0,54.57,110.0,13.4,bergsåker,mats e djuse,7.0,1640.0,2.0,28.22,110.0,12.7,umåker,stefan johansson,1.0,2140.0,2.0,4.7,75.0,14.3,umåker,stefan johansson,1.0,2140.0,2.0,7.48,30.0,14.9,solänget,stefan johansson,1.0,2660.0,2.0,6.82,30.0,16.3,1,0,1,1,0,1556.570344516668,572.6302284848314,9497.1217383141,6006.507181794034,6006.507181794034,21.0,14.0,15.0,6.0,5.0,0.061907290797359835,24.0,0.6666666666666666,False,False,False,True,False,True,0.01913301877615424,0.02237945164406159,0.028286987556708842,0.018830046903104827
2022-10-01,skellefteå,2,indy journey,4,v,markus b svedberg,1640.0,0,1640.0,110000.0,1.0,13.0,solvalla,mats holmstedt,4.0,2140.0,10.0,4.02,40.0,14.7,jägersro,kaj widell,5.0,1640.0,10.0,22.77,110.0,14.0,färjestad,kaj widell,1.0,1640.0,10.0,2.14,30.0,13.0,örebro,kaj widell,1.0,2160.0,10.0,1.55,10.0,16.3,färjestad,markus b svedberg,1.0,2140.0,10.0,16.76,100.0,13.6,1,0,0,0,0,1547.5676620451568,1556.570344516668,6006.507181794034,3467.858538298206,10966.331584284586,10.0,18.0,12.0,11.0,59.0,0.09183454491805038,8.0,0.36363636363636365,False,False,False,False,False,False,0.08854316355903231,0.0736082900230596,0.05663534380823085,0.0973435871795202
2022-10-01,skellefteå,2,kocu boko,5,h,billy svedlund,1640.0,0,1640.0,110000.0,2.0,17.0,dannero,billy svedlund,1.0,2140.0,2.0,4.67,25.0,14.3,bollnäs,billy svedlund,4.0,1640.0,2.0,21.02,25.0,14.6,romme,billy svedlund,6.0,2640.0,2.0,11.92,30.0,16.3,mariehamn,kevin svedlund,6.0,2140.0,2.0,2.71,,16.4,mariehamn,billy svedlund,6.0,2140.0,2.0,1.87,,17.1,1,1,1,0,1,5483.165792142293,1223.459661321102,493.0441337520015,,,22.0,16.0,16.0,30.0,28.0,0.07207140749483623,4.0,0.18181818181818182,False,False,False,True,True,True,0.13883777992395469,0.1505384222449328,0.0629923428569966,0.15066873582531906
2022-10-01,skellefteå,2,m.m.hot one,5,v,frida simonsson,1640.0,0,1640.0,110000.0,3.0,2.0,boden,frida simonsson,15.0,2640.0,4.0,23.93,25.0,19.2,boden,frida simonsson,1.0,2140.0,4.0,2.57,30.0,17.3,boden,frida simonsson,2.0,2140.0,4.0,12.14,25.0,15.3,mantorp,hans crebas,2.0,2140.0,4.0,84.07,110.0,16.3,örebro,hans crebas,2.0,2100.0,4.0,41.85,100.0,15.2,1,1,1,0,1,5.0,6006.507181794034,3325.708165221809,6976.064300232707,6651.416330443618,9.0,177.0,7.0,73.0,10.0,0.05254298666809732,19.0,0.8181818181818182,False,False,False,True,True,True,0.020418678902190547,0.024931323288172675,0.04911660911646105,0.020106064740861632
2022-10-01,skellefteå,2,conrads kickoff,5,v,ulf ohlsson,1640.0,0,1640.0,110000.0,4.0,16.0,uleåborg,santtu raitala,1.0,2120.0,,2.0,,15.9,uleåborg,santtu raitala,1.0,2120.0,,2.5,,16.8,torneå,greger holmbäck,1.0,2100.0,,9.2,,16.0,rovaniemi,ville pohjola,1.0,2100.0,,5.2,,16.8,seinäjoki,santtu raitala,1.0,2100.0,,5.1,,15.9,1,1,1,1,1,,,,,,19.0,17.0,18.0,14.0,14.0,0.064607419726924,5.0,0.2727272727272727,False,False,False,False,False,False,0.12202929329256045,0.1228292876794467,0.09265162611796125,0.13992715540653222
2022-10-01,skellefteå,2,timo jutila,4,v,robert bergh,1640.0,0,1640.0,110000.0,5.0,21.0,färjestad,robert bergh,15.0,2140.0,2.0,8.35,110.0,15.6,hagmyren,robert bergh,15.0,2640.0,2.0,4.13,110.0,15.8,bergsåker,robert bergh,1.0,2140.0,2.0,4.64,100.0,14.0,örebro,robert bergh,1.0,3140.0,2.0,2.76,50.0,16.8,östersund,robert bergh,1.0,2640.0,2.0,3.79,110.0,30.0,0,1,1,0,1,10.488088481701515,10.488088481701515,10966.331584284586,7754.367427987846,11501.58559756547,14.0,7.0,15.0,6.0,70.0,0.16027790445022666,0.0,0.09090909090909091,False,False,False,True,True,True,0.20086812190595352,0.26674798261770605,0.060210766765704374,0.1819132900751484
2022-10-01,skellefteå,2,lavicii boko,4,v,micael melander,1640.0,0,1640.0,110000.0,6.0,1.0,torneå,hannu torvinen,5.0,2100.0,,14.8,,16.9,bodö,sigmund jakobsen,3.0,2100.0,,3.3,,17.7,boden,micael melander,2.0,2140.0,,8.3,25.0,15.8,harstad,dag sveinung dalen,2.0,2040.0,,4.9,,14.9,bodö,hans christian holm,2.0,2160.0,,2.38,,16.9,1,0,1,1,0,,,3325.708165221809,,,21.0,13.0,9.0,20.0,14.0,0.0708978245124601,20.0,0.9090909090909091,False,False,False,False,False,True,0.01970779251511535,0.026066319645773686,0.045587367318127514,0.020727657066152483
2022-10-01,skellefteå,2,wowfactor,5,v,daniel wäjersten,1640.0,0,1640.0,110000.0,7.0,4.0,solänget,magnus a djuse,4.0,2140.0,5.0,13.65,30.0,14.5,dannero,bo eklöf,2.0,2160.0,5.0,2.4,25.0,16.9,oviken,bo eklöf,1.0,2120.0,5.0,2.91,22.0,17.2,hoting,susanne h osterling,1.0,2060.0,5.0,2.95,25.0,17.5,lycksele,susanne h osterling,1.0,2160.0,5.0,2.45,25.0,15.3,1,0,0,0,0,1340.2329094063966,3325.708165221809,5143.665449037786,5483.165792142293,5483.165792142293,11.0,29.0,25.0,16.0,11.0,0.06299793449395102,17.0,0.6363636363636364,False,False,False,False,False,False,0.030863679353419115,0.02720899101149307,0.04856535587691305,0.03650176480963591
2022-10-01,skellefteå,2,burn notice,3,h,mats e djuse,1640.0,0,1640.0,110000.0,8.0,8.0,solvalla,roger nilsson,6.0,2640.0,4.0,66.19,150.0,13.9,umåker,roger nilsson,1.0,1640.0,4.0,2.07,40.0,15.4,boden,roger nilsson,3.0,2140.0,4.0,3.66,40.0,15.7,boden,roger nilsson,3.0,2140.0,4.0,4.41,25.0,16.3,lycksele,roger nilsson,3.0,1640.0,4.0,2.48,20.0,14.9,1,0,1,1,0,1102.4801989769735,6935.717076596412,2551.5077222615173,2017.143967463676,1804.188412660961,22.0,28.0,16.0,13.0,10.0,0.13468038305748545,13.0,0.5454545454545454,False,False,False,False,False,False,0.04803678408357536,0.03621193324997499,0.043628324364093835,0.06863658785711156
