datum,bana,avd,nr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4,rel_kr,streck_avst,rel_rank,h1_samma_bana,h2_samma_bana,h3_samma_bana,h1_samma_kusk,h2_samma_kusk,h3_samma_kusk,proba_cat1L1,proba_cat2L1,proba_xgb1L1,proba_xgb2L1,proba_cat1L2,proba_cat2L2,proba_xgb1L2,proba_xgb2L2,Meta,välj
2023-02-04,solvalla,5,4,donizetti,5,h,kevin oscarsson,2140.0,0,2140.0,250000.0,4.0,17.0,38.59,3.25,2023-01-22,vincennes,matthieu abrivard,4.0,2700.0,,18.0,,13.5,2022-12-23,halmstad,kevin oscarsson,1.0,2140.0,,4.64,125.0,14.0,2022-12-10,åby,ulf ohlsson,4.0,2640.0,,13.4,125.0,14.6,2022-11-25,solvalla,kevin oscarsson,4.0,2140.0,,93.65,400.0,13.2,2022-11-11,kalmar,peter untersteiner,4.0,2140.0,,3.51,150.0,13.4,23,0,0,1,1,1,,12260.73144313165,2735.738970442854,4893.838645284408,2996.85189111502,13.0,30.0,13.0,15.0,14.0,0.1479095510606168,3.0,0.25,False,False,False,False,True,False,0.2418267738452183,0.1971591602220121,0.18921638,0.15851302,0.0426615764688872,0.0430267366764031,0.036054634,0.043134693,0.0411046331534879,True
2023-02-04,solvalla,5,10,axel ruda,6,v,ulf ohlsson,2140.0,0,2140.0,250000.0,10.0,12.0,45.41,2.66,2023-01-21,östersund,ulf ohlsson,3.0,2140.0,3.0,6.33,125.0,14.2,2022-12-26,solvalla,claes sjöström,1.0,2140.0,3.0,9.89,250.0,14.1,2022-12-17,romme,örjan kihlström,2.0,1640.0,3.0,10.08,125.0,11.5,2022-12-09,bollnäs,ulf ohlsson,2.0,2140.0,3.0,6.2,30.0,15.1,2022-11-22,bollnäs,ulf ohlsson,2.0,2140.0,3.0,7.45,40.0,13.4,25,1,1,1,1,1,4510.471031652402,17339.292691491028,7436.509530762067,3643.130763542206,4206.725054048198,14.0,26.0,9.0,8.0,17.0,0.0744570536044122,8.0,0.3333333333333333,False,False,False,True,False,False,0.1201505758143584,0.1120850680383386,0.15042232,0.16877624,0.0213170691222526,0.0235668827717425,0.037112694,0.039192725,0.0292374434357378,True
2023-02-04,solvalla,5,8,tabasco c.d.,7,h,carl johan jepson,2140.0,0,2140.0,250000.0,8.0,2.0,1.39,1.0,2023-01-14,kalmar,kevin oscarsson,2.0,1640.0,9.0,23.92,125.0,13.1,2022-12-31,axevalla,carl johan jepson,7.0,1640.0,9.0,6.89,125.0,14.1,2022-11-03,örebro,carl johan jepson,1.0,1609.0,9.0,1.61,40.0,12.0,2022-10-18,axevalla,björn goop,1.0,1640.0,9.0,36.4,100.0,12.3,2022-01-08,vincennes,yoann lebourgeois,1.0,2850.0,9.0,17.6,,30.0,0,1,1,1,1,0,7436.509530762067,610.4258745992146,6935.717076596412,10966.331584284586,,21.0,14.0,58.0,16.0,283.0,0.095380986020467,18.0,0.6666666666666666,False,False,False,False,True,True,0.0436305779577546,0.0412412815104995,0.07584533,0.09016793,0.0127439269499533,0.0099724603731873,0.061656583,0.042248413,0.0239868854616483,True
2023-02-04,solvalla,5,11,huddlestone,7,v,henrik svensson,2140.0,0,2140.0,250000.0,11.0,11.0,47.39,4.7,2023-01-21,östersund,henrik svensson,1.0,2140.0,2.0,2.06,125.0,14.2,2023-01-03,bergsåker,henrik svensson,1.0,2140.0,2.0,1.72,40.0,14.1,2022-12-18,bergsåker,henrik svensson,1.0,1640.0,2.0,2.1,40.0,12.0,2022-12-03,bergsåker,henrik svensson,1.0,1640.0,2.0,20.0,125.0,12.1,2022-10-29,romme,henrik svensson,1.0,2640.0,2.0,13.03,125.0,30.0,25,1,1,1,1,1,12260.73144313165,6935.717076596412,6935.717076596412,12260.73144313165,12260.73144313165,14.0,18.0,16.0,15.0,35.0,0.0755717868785524,9.0,0.4166666666666667,False,False,False,True,True,True,0.0979224231018736,0.0864495988487101,0.13096625,0.17990686,0.0197857151211152,0.0227031998188773,0.021911466,0.027969673,0.0229060083867689,True
2023-02-04,solvalla,6,15,heroine darling,6,s,stefan persson,2140.0,1,2160.0,220000.0,9.0,15.0,14.53,6.84,2023-01-14,kalmar,stefan persson,1.0,2140.0,4.0,7.47,110.0,13.8,2022-12-23,halmstad,stefan persson,7.0,2140.0,4.0,7.52,110.0,15.0,2022-12-10,åby,stefan persson,1.0,2160.0,4.0,49.44,110.0,14.3,2022-11-14,halmstad,gustav johansson,1.0,2640.0,4.0,19.32,25.0,15.0,2022-09-27,åby,stefan persson,1.0,2140.0,4.0,14.34,30.0,15.3,14,1,1,0,1,1,11501.58559756547,572.6302284848314,11501.58559756547,5483.165792142293,6006.507181794034,21.0,22.0,13.0,26.0,48.0,0.0832725422523555,8.0,0.2,False,False,False,True,True,True,0.1771775353734214,0.1364436450661978,0.44936562,0.34780902,0.0448667086916452,0.0377731492007012,0.10822288,0.13487002,0.0705237634835846,True
2023-02-04,solvalla,6,9,jeans'n passion,7,s,joakim lövgren,2140.0,1,2160.0,220000.0,3.0,23.0,20.4,2.73,2023-01-14,kalmar,joakim lövgren,2.0,2140.0,11.0,7.3,110.0,14.1,2022-12-31,axevalla,jonas m oscarsson,15.0,2660.0,11.0,72.47,593.0,17.1,2022-12-10,åby,joakim lövgren,5.0,1640.0,11.0,8.67,110.0,12.6,2022-10-04,kalmar,joakim lövgren,5.0,3180.0,11.0,3.34,60.0,14.3,2022-09-16,kalmar,joakim lövgren,5.0,2160.0,11.0,2.4,150.0,13.7,18,1,0,1,0,0,6976.064300232707,24.35159132377184,1556.570344516668,1149.6033871246218,1817.6825545790464,21.0,14.0,21.0,67.0,18.0,0.0680328823554653,0.0,0.0666666666666666,False,False,False,True,False,True,0.3264589889499479,0.2414139108980205,0.13212974,0.17752531,0.0535956561713664,0.0573026885812371,0.027897531,0.029255746,0.0397896743400785,True
2023-02-04,solvalla,6,5,miss mighty,4,s,daniel wäjersten,2140.0,1,2140.0,220000.0,5.0,19.0,17.02,6.18,2023-01-21,östersund,daniel wäjersten,1.0,2140.0,1.0,5.21,110.0,15.7,2022-10-15,solänget,daniel wäjersten,1.0,2140.0,1.0,1.6,40.0,15.0,2022-09-14,bergsåker,daniel wäjersten,1.0,2140.0,1.0,6.24,50.0,14.7,2022-09-06,bergsåker,mats e djuse,1.0,2160.0,1.0,3.96,50.0,15.7,2022-08-05,bergsåker,daniel wäjersten,1.0,2140.0,1.0,5.16,50.0,15.7,16,0,1,1,0,1,11501.58559756547,6935.717076596412,7754.367427987846,7754.367427987846,7754.367427987846,14.0,98.0,31.0,8.0,32.0,0.101828636583766,4.0,0.1333333333333333,False,False,False,True,True,True,0.2280021059640871,0.2192031597870868,0.11715802,0.13640507,0.0453136123256431,0.0434051447519954,0.014079156,0.014027785,0.0249651341002857,True
2023-02-04,solvalla,6,12,affinity face,5,s,adrian kolgjini,2140.0,1,2160.0,220000.0,6.0,7.0,17.76,4.87,2023-01-14,kalmar,adrian kolgjini,15.0,2140.0,3.0,4.34,110.0,15.6,2022-12-23,halmstad,adrian kolgjini,1.0,2140.0,3.0,14.56,110.0,14.4,2022-12-10,åby,adrian kolgjini,15.0,2160.0,3.0,18.62,110.0,30.0,2022-12-02,kalmar,adrian kolgjini,15.0,2180.0,3.0,22.13,50.0,14.6,2022-11-05,bjerke,per oleg midtfjeld,15.0,2100.0,3.0,12.07,,14.6,16,1,1,0,0,1,10.488088481701515,11501.58559756547,10.488088481701515,7.071067811865476,,21.0,22.0,13.0,8.0,27.0,0.0756465821108706,16.0,0.3333333333333333,False,False,False,True,True,True,0.0721957563056628,0.0818401354042502,0.14805464,0.1267402,0.0153882932847319,0.0175218119698952,0.030259265,0.039962366,0.0238957000876092,True
2023-02-04,solvalla,7,4,borups victory,5,h,daniel wäjersten,2140.0,0,2140.0,220000.0,4.0,62.0,1.03,1.0,2023-01-21,östersund,daniel wäjersten,1.0,2140.0,1.0,1.62,110.0,14.0,2023-01-09,gävle,daniel wäjersten,2.0,2140.0,1.0,2.54,40.0,14.6,2022-12-13,bergsåker,daniel wäjersten,1.0,2140.0,1.0,2.56,30.0,13.8,2022-07-21,bergsåker,jorma kontio,1.0,2140.0,1.0,25.39,250.0,13.0,2022-07-03,hagmyren,ulf ohlsson,1.0,2140.0,1.0,7.59,50.0,12.8,0,1,1,1,1,1,11501.58559756547,4206.725054048198,6006.507181794034,17339.292691491028,7754.367427987846,14.0,12.0,27.0,145.0,18.0,0.1811103228095069,0.0,0.0833333333333333,False,False,False,True,True,True,0.3712851329964774,0.5589459346971997,0.20547007,0.25393426,0.0913379683601336,0.0998293553314666,0.025863094,0.040303905,0.0555244550168022,True
2023-02-04,solvalla,7,2,gaylord am,7,v,anders eriksson,2140.0,0,2140.0,220000.0,2.0,18.0,45.76,2.22,2022-12-31,axevalla,anders eriksson,1.0,2140.0,12.0,2.83,110.0,15.9,2022-12-09,solvalla,anders eriksson,1.0,2640.0,12.0,1.86,40.0,14.4,2022-11-12,eskilstuna,anders eriksson,15.0,2140.0,12.0,14.27,110.0,13.0,2022-10-29,romme,anders eriksson,15.0,2140.0,12.0,18.04,110.0,13.5,2022-10-19,solvalla,anders eriksson,15.0,2640.0,12.0,13.13,60.0,13.6,25,1,1,1,1,1,11501.58559756547,6935.717076596412,10.488088481701515,10.488088481701515,7.745966692414834,35.0,22.0,27.0,14.0,10.0,0.1310109968073785,44.0,0.1666666666666666,False,False,False,True,True,True,0.1654816674882357,0.1573504588587031,0.19908842,0.22665058,0.0352470760062813,0.038565539749119,0.05969008,0.06134328,0.0472332592945237,True
