bana,häst,kusk,streck,spår,dist,lopp_dist,start,ålder,kön,pris,h1_kusk,h1_bana,h1_spår,h1_plac,h1_pris,h1_odds,h1_kmtid,h2_kusk,h2_bana,h2_spår,h2_plac,h2_pris,h2_odds,h2_kmtid,h3_kusk,h3_bana,h3_spår,h3_plac,h3_pris,h3_odds,h3_kmtid,h4_kusk,h4_bana,h4_spår,h4_plac,h4_pris,h4_odds,h4_kmtid,h5_kusk,h5_bana,h5_spår,h5_plac,h5_pris,h5_odds,h5_kmtid,h1_dist,h2_dist,h3_dist,h4_dist,h5_dist,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4,rel_kr,streck_avst,rel_rank,h1_samma_bana,h2_samma_bana,h3_samma_bana,h1_samma_kusk,h2_samma_kusk,h3_samma_kusk,probat1,probat2,probat3,probat4,meta1_et,meta2_ridge,meta3_knn,datum,avd,y,välj,spik,proba
0.09283819628647215,0.1451771695767419,0.10256410256410256,61.0,6.0,2000.0,2000.0,0,5,0.07195266272189349,50000.0,0.11475409836065574,0.1031578947368421,1.0,1.0,40.0,1.99,14.7,0.09266539552790815,0.09516129032258064,1.0,1.0,125.0,12.58,13.3,0.10059171597633114,0.09699570815450644,1.0,1.0,100.0,5.7,14.6,0.10723192019950124,0.10661609776654024,1.0,1.0,100.0,6.33,14.5,0.09002433090024331,0.06666666666666682,1.0,1.0,100.0,6.87,18.1,2660.0,2140.0,2160.0,2140.0,2160.0,0,1,0,1,0,6935.717076596412,12260.73144313165,10966.331584284586,10966.331584284586,10966.331584284586,38.0,26.0,56.0,17.0,52.0,0.37332301558596676,0.0,0.125,False,False,False,True,False,False,0.48819093390793394,0.3628948036190455,0.10739106434598307,0.42461110724512857,0.4243834056665591,0.35580793204616473,0.1099993591693712,2019-12-29,1.0,0,True,True,0.2551455852060427
0.09283819628647215,0.1439375259379284,0.16137606781681563,69.0,10.0,2000.0,2000.0,0,10,0.08113870077752697,75000.0,0.14654627628117078,0.1031578947368421,8.0,2.0,200.0,4.09,12.2,0.13249143512065378,0.09516129032258064,8.0,4.0,200.0,18.02,12.1,0.11994209675879586,0.07894736873477634,8.0,2.0,94.0,1.78,12.4,0.12918465194597567,0.08652535019214082,8.0,2.0,0.0,23.1,12.0,0.13249143512065378,0.05346842941301703,8.0,2.0,80.0,2.2,13.8,1640.0,2140.0,1600.0,2011.0,2140.0,1,1,1,1,1,9406.523183503248,3460.466492113392,6448.7873936763135,0.0,5949.207624609655,22.0,14.0,13.0,29.0,27.0,0.16205464114366694,0.0,0.09090909090909091,False,False,True,True,True,True,0.6029951252035554,0.34076403789931753,0.09689525461260962,0.59996534891504,0.4560399093323255,0.3289850254422716,0.10495358527768545,2019-12-29,6.0,1,True,True,0.25064483138549476
0.09283819628647215,0.08652535019214082,0.13905222755021582,57.0,4.0,2000.0,2000.0,0,4,0.11308767471410419,50000.0,0.15667022469619138,0.09418509418509419,6.0,1.0,50.0,1.66,17.6,0.08652535019214082,0.10260517991822303,6.0,1.0,20.0,1.51,16.7,0.14266928718332392,0.07894736873477634,6.0,1.0,17.0,1.59,14.7,0.1465647147461484,0.04952569559910139,6.0,1.0,13.0,10.72,15.6,0.14449585405917487,0.07200748924054459,6.0,1.0,33.0,2.4,17.5,2140.0,2060.0,2000.0,2140.0,2140.0,1,1,1,1,1,7754.367427987845,4904.29257725266,4521.53434475524,3953.967083087832,6299.6778788631445,26.0,16.0,30.0,14.0,322.0,0.14873212734023225,0.0,0.09090909090909091,False,False,True,True,False,True,0.4266963988402706,0.2943559164220495,0.13444306221947896,0.45018013859202566,0.35191961680037837,0.32784393014882224,0.09765628863021023,2019-12-29,5.0,1,True,False,0.2241834833172124
0.09283819628647215,0.06940924187602454,0.10256410256410256,31.0,1.0,2000.0,2000.0,0,6,0.08113870077752697,50000.0,0.11475409836065574,0.1031578947368421,1.0,1.0,35.0,4.04,15.9,0.12155963302752294,0.07374631268436596,1.0,2.0,35.0,4.58,14.5,0.10739856801909307,0.09699570815450644,1.0,2.0,30.0,27.43,13.4,0.10723192019950124,0.10207336523125997,1.0,2.0,50.0,21.65,15.2,0.0954312780862145,0.09668755595344673,1.0,2.0,125.0,53.8,13.6,2640.0,2140.0,2140.0,2140.0,2140.0,0,1,1,1,1,6487.769258055282,3935.030968151612,3643.130763542206,4703.261591751624,7436.509530762067,17.0,13.0,10.0,38.0,11.0,0.12433703077940204,0.0,0.08333333333333333,False,False,False,True,True,True,0.2996011282215529,0.33864673300820824,0.13318643191586524,0.2900755866760662,0.28858665354536367,0.32078200169218773,0.09507118547608898,2019-12-29,7.0,0,True,False,0.20646433807401424
0.09283819628647215,0.06940924187602454,0.1325807860732788,30.0,4.0,2000.0,2000.0,0,4,0.08113870077752697,50000.0,0.14261852627115615,0.1031578947368421,1.0,3.0,30.0,2.69,15.1,0.19953814254801894,0.09516129032258064,1.0,2.0,30.0,4.04,13.9,0.1694819663912119,0.08628659476117104,1.0,6.0,125.0,15.51,12.3,0.19953814254801894,0.09791332263242375,1.0,6.0,40.0,8.13,13.3,0.16851421915180193,0.06666666666666682,1.0,6.0,25.0,4.85,12.9,2140.0,2140.0,1640.0,1640.0,1640.0,1,1,1,1,1,2209.670505430644,3643.130763542206,1006.422123637454,569.3183266881678,450.0856565026091,27.0,13.0,35.0,15.0,17.0,0.17375971071506627,0.0,0.08333333333333333,False,False,False,True,False,True,0.2611901572082059,0.31312698191015564,0.06010657275800323,0.2636076540725646,0.2788216203843573,0.2993119797112092,0.07571158608502389,2019-12-29,3.0,0,True,False,0.1848719250607038
0.09283819628647215,0.08652535019214082,0.09224416204659829,27.0,11.0,2000.0,2000.0,0,4,0.11308767471410419,50000.0,0.09990981617757906,0.1114906834406553,4.0,1.0,20.0,1.66,16.4,0.08571971404792599,0.09655168677325202,4.0,1.0,20.0,1.66,14.3,0.06953815539884965,0.0600088952796476,4.0,15.0,0.0,5.9,14.9,0.11409991830723212,0.028033530861153948,4.0,15.0,54.0,4.16,14.6,0.0779507681773118,0.07658321060382917,4.0,15.0,1018.0,20.4,15.0,2140.0,2000.0,2140.0,1900.0,2600.0,1,1,1,1,1,4904.29257725266,4904.29257725266,0.0,7.3484692283495345,31.906112267087632,14.0,9.0,34.0,20.0,35.0,0.15266325283497578,0.0,0.09090909090909091,False,True,False,True,True,True,0.23421536273500318,0.27714627064243436,0.06695340911697563,0.23070709425523958,0.23393462925610892,0.3104056270646099,0.08474062885732013,2019-12-29,4.0,0,True,False,0.1832477261651314
0.09283819628647215,0.08652535019214082,0.16137606781681563,24.0,9.0,2000.0,2000.0,0,6,0.07195266272189349,50000.0,0.14654627628117078,0.1031578947368421,12.0,15.0,0.0,26.4,15.2,0.13249143512065378,0.09516129032258064,12.0,20.0,0.0,8.1,30.0,0.11994209675879586,0.07894736873477634,12.0,1.0,27.0,1.86,13.8,0.15651540057644636,0.028033530861153948,12.0,1.0,54.0,1.56,13.6,0.0779507681773118,0.05346842941301703,12.0,1.0,27.0,5.36,14.3,2140.0,1640.0,2000.0,1900.0,2140.0,1,1,1,1,1,0.0,0.0,5698.2730429884605,8058.575019499288,5698.2730429884605,22.0,14.0,27.0,14.0,28.0,0.2240138103283626,7.0,0.16666666666666666,False,False,True,True,True,True,0.1651308997989427,0.1572126907965384,0.04191224319784465,0.15723459566737397,0.1627210441810452,0.2914576612818416,0.09211322788950661,2019-12-29,7.0,0,True,False,0.16347338913325604
0.09283819628647215,0.08652535019214082,0.11137120341527193,16.0,7.0,2000.0,2000.0,0,6,0.08113870077752697,50000.0,0.11406979056991973,0.09090909088194657,11.0,1.0,20.0,3.75,15.6,0.14034710851310117,0.007196546690561273,11.0,1.0,13.0,1.59,16.2,0.1439375259379284,0.04645446862570704,11.0,1.0,10.0,2.31,14.9,0.09266539552790815,0.08204152214159312,11.0,1.0,10.0,4.3,13.5,0.0901492416639294,0.06702384911812656,11.0,1.0,10.0,1.51,30.0,2000.0,2140.0,2060.0,1600.0,2060.0,1,1,1,1,1,4904.29257725266,3953.967083087832,3467.858538298206,3467.858538298206,3467.858538298206,49.0,37.0,18.0,14.0,14.0,0.12418199538978017,11.0,0.18181818181818182,True,False,False,True,True,True,0.13762911721202267,0.13525338231709877,0.07712215269752197,0.1327750326332439,0.1501346572456526,0.3134576760702103,0.08839445332561781,2019-12-29,4.0,0,True,False,0.16082798726414768
0.09283819628647215,0.08652535019214082,0.09224416204659829,15.0,4.0,2020.0,2000.0,1,3,0.07195266272189349,37500.0,0.09990981617757906,0.09090909088194657,11.0,1.0,13.0,6.07,16.7,0.08571971404792599,0.06484129396321843,11.0,3.0,13.0,19.87,17.7,0.06953815539884965,0.07894736873477634,11.0,5.0,11.0,5.43,14.6,0.0649165183718101,0.08204152214159312,11.0,5.0,13.0,20.72,18.5,0.06394322545042849,0.05346842941301703,11.0,5.0,20.0,4.92,30.0,2000.0,2160.0,1600.0,2060.0,2140.0,1,0,1,1,1,3953.967083087832,1454.5832009366295,492.23076269456567,535.1112550979351,663.723825017706,23.0,14.0,12.0,7.0,83.0,0.08552865650862403,0.0,0.09090909090909091,True,False,True,True,True,True,0.16190107448180258,0.23365947224128253,0.0435456986325433,0.14839556787397676,0.15868150538984593,0.2993854968608778,0.08279247305066019,2019-12-29,2.0,0,True,False,0.15785171635187875
0.09283819628647215,0.08652535019214082,0.11137120341527193,11.0,5.0,2040.0,2000.0,1,5,0.07195266272189349,37500.0,0.08652535019214082,0.08588957055214724,6.0,6.0,0.0,3.5,16.5,0.08652535019214082,0.06484129396321843,6.0,1.0,13.0,2.11,15.7,0.08652535019214082,0.07894736873477634,6.0,1.0,17.0,3.32,15.3,0.33144731755642476,0.07688368068991504,6.0,1.0,0.0,0.0,14.9,0.30093481713154785,0.12918465194597567,6.0,1.0,0.0,8.8,16.5,2100.0,2140.0,2000.0,2300.0,2100.0,1,1,1,1,0,0.0,3953.967083087832,4521.53434475524,0.0,0.0,15.0,33.0,24.0,156.0,28.0,0.09941990873230722,4.0,0.36363636363636365,False,False,True,False,False,False,0.09824747220559742,0.09640315322160463,0.07778638847562536,0.12190652258921587,0.1429591519991853,0.2957653585237578,0.08430341766352863,2019-12-29,2.0,0,True,False,0.15275712763830038
