datum,bana,avd,startnr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,kr,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4,proba,f,spela,insats,prob_order,poäng
2021-10-09,ÅBY,1,5,DIGITAL CLASS,6,s,Mats E Djuse,2140.0,0,2140.0,1.0,5.0,1.0,35.14,7.06,18997.0,2021-09-25,Solvalla-5,Per Lennartsson,5.0,2140.0,12.0,138.4,250.0,12.2,2021-09-18,Färjestad-8,Ulf Ohlsson,15.0,3180.0,12.0,8.4,110.0,14.7,2021-08-28,Bergsåker-5,Ulf Ohlsson,4.0,2640.0,12.0,22.0,125.0,13.1,2021-08-18,Solvalla-8,Ulf Ohlsson,4.0,2640.0,12.0,6.59,200.0,13.6,2021-07-31,Hagmyren-8,Ulf Ohlsson,4.0,2180.0,12.0,3.0,110.0,13.1,22,1,0,1,1,0,2346.6180875254668,10.488088481701515,2735.738970442854,3460.466492113392,2566.350636345657,14.0,7.0,21.0,10.0,18.0,0.015466981813459995,-0.01337112651069173,False,-0.0,11,15
2021-10-09,ÅBY,1,10,SAGA DOC,8,s,Troels Andersen,2140.0,0,2140.0,0.0,10.0,0.0,55.24,12.22,9982.0,2021-09-25,Solvalla-7,Troels Andersen,3.0,2160.0,2.0,10.07,220.0,13.2,2021-09-11,Bollnäs-8,Troels Andersen,3.0,2160.0,2.0,6.12,110.0,13.7,2021-08-28,Bergsåker-8,Niclas Hammarström,5.0,2140.0,2.0,20.83,200.0,13.4,2021-08-11,Solvalla-9,Troels Andersen,5.0,2140.0,2.0,25.52,110.0,12.5,2021-07-29,Gävle-7,Troels Andersen,5.0,2140.0,2.0,7.31,30.0,13.9,26,0,0,0,1,1,5983.816015903301,4231.196882217894,2098.879024374998,1556.570344516668,812.8923507108439,14.0,14.0,14.0,17.0,13.0,0.015109443286471017,-0.003048568452347731,False,-0.0,12,15
2021-10-09,ÅBY,2,4,IVENSONG,3,s,David Thomain,2140.0,0,2140.0,28.0,4.0,28.0,2.18,1.43,116629.0,2021-09-04,Vincennes-5,David Thomain,1.0,2175.0,,3.2,,12.0,2021-08-21,Vincennes-6,David Thomain,2.0,2700.0,,7.3,,14.2,2021-08-07,Enghien-8,David Thomain,4.0,1609.0,,12.4,,11.3,2021-07-10,Enghien-6,David Thomain,4.0,2150.0,,14.3,,30.0,2021-06-12,Vincennes-9,David Thomain,4.0,2700.0,,8.5,,15.1,1,0,0,1,1,0,,,,,,35.0,14.0,14.0,28.0,28.0,0.2643850670479911,-0.3590174185045587,False,-0.0,1,1
2021-10-09,ÅBY,2,6,RED LADY EXPRESS,3,s,Carl Johan Jepson,2140.0,0,2140.0,19.0,6.0,19.0,5.1,1.93,157333.0,2021-09-25,Solvalla-8,Erik Adielsson,15.0,2140.0,2.0,6.85,1400.0,30.0,2021-09-10,Solvalla-1,Björn Goop,1.0,2140.0,2.0,1.24,150.0,14.2,2021-08-02,Mantorp-6,Björn Goop,1.0,2140.0,2.0,1.35,110.0,13.9,2021-07-03,Färjestad-8,Carl Johan Jepson,1.0,2140.0,2.0,6.46,975.0,12.6,2021-06-20,Eskilstuna-8,Björn Goop,1.0,2140.0,2.0,9.86,100.0,12.7,5,1,1,1,1,1,37.416573867739416,13430.958365832146,11501.58559756547,34242.35939681518,10966.331584284586,14.0,15.0,39.0,30.0,13.0,0.182094587553955,-0.017394537432885278,False,-0.0,2,2
2021-10-09,ÅBY,2,2,COBRA KILLER GAR,3,h,Alessandro Gocciadoro,2140.0,0,2140.0,16.0,2.0,16.0,8.61,2.1,24415.0,2021-09-18,Rom-6,Gabriele Gelormini,4.0,2100.0,,4.3,,13.5,2021-09-03,Milano-3,Alessandro Gocciadoro,3.0,2250.0,,1.3,,14.3,2021-07-30,Neapel-6,Alessandro Gocciadoro,20.0,2100.0,,1.0,,30.0,2021-06-20,Milano-6,Alessandro Gocciadoro,20.0,2250.0,,1.2,,13.1,2021-06-06,Turin-4,Alessandro Gocciadoro,20.0,1600.0,,1.5,,13.3,9,1,1,1,1,1,,,,,,21.0,15.0,35.0,40.0,14.0,0.15526072871418728,0.044256882290295986,True,8.851376458059198,3,3
2021-10-09,ÅBY,2,5,AQUARIUS FACE,3,h,Adrian Kolgjini,2140.0,0,2140.0,15.0,5.0,15.0,7.03,2.05,58875.0,2021-09-10,Solvalla-11,Adrian Kolgjini,3.0,2640.0,12.0,3.45,150.0,13.6,2021-09-01,Åby-8,Adrian Kolgjini,2.0,2140.0,12.0,3.53,100.0,12.9,2021-08-02,Mantorp-7,Lutfi Kolgjini,2.0,2140.0,12.0,3.07,110.0,14.8,2021-07-26,Solvalla-6,Adrian Kolgjini,2.0,2640.0,12.0,7.87,200.0,14.3,2021-06-20,Eskilstuna-9,Lutfi Kolgjini,2.0,2140.0,12.0,1.81,100.0,30.0,7,1,1,1,1,1,4940.973458019238,6651.416330443618,6976.064300232707,9406.523183503248,6651.416330443618,29.0,9.0,30.0,7.0,36.0,0.14980245377934334,0.008807835832302456,True,1.7615671664604913,4,3
2021-10-09,ÅBY,2,3,CIAK BI,3,h,Jorma Kontio,2140.0,0,2140.0,7.0,3.0,7.0,22.71,4.18,31189.0,2021-09-30,Örebro-3,Jorma Kontio,2.0,2100.0,2.0,1.88,40.0,15.6,2021-08-11,Solvalla-1,Jorma Kontio,3.0,2140.0,2.0,1.41,125.0,14.3,2021-07-20,Solvalla-7,Jorma Kontio,1.0,2140.0,2.0,1.76,60.0,15.7,2021-03-31,Solvalla-3,Jorma Kontio,1.0,2140.0,2.0,1.66,60.0,15.7,2020-09-27,Bologna-6,Roberto Andreghetti,1.0,1660.0,2.0,2.7,,30.0,19,1,1,1,1,1,4206.725054048198,4510.471031652402,8494.48391898452,8494.48391898452,,9.0,50.0,22.0,111.0,185.0,0.07659317163410578,0.034059462358845806,True,6.811892471769161,5,4
2021-10-09,ÅBY,2,8,INVICTUS MADIBA,3,h,Eric Raffin,2140.0,0,2140.0,5.0,8.0,5.0,21.52,5.12,44624.0,2021-09-19,Vincennes-9,Eric Raffin,7.0,2700.0,,10.0,,14.8,2021-09-11,Vincennes-6,Eric Raffin,3.0,2700.0,,15.0,,15.7,2021-08-21,Vincennes-7,Adrien Lamy,20.0,2700.0,,97.7,,30.0,2021-07-31,Enghien-2,Franck Ouvrie,20.0,2875.0,,23.9,,14.4,2021-07-10,Enghien-6,Adrien Lamy,20.0,2150.0,,15.9,,13.2,18,0,0,0,0,1,,,,,,20.0,8.0,21.0,21.0,21.0,0.05430037894263406,0.008213652770247803,True,1.6427305540495607,6,15
2021-10-09,ÅBY,2,9,KENTUCKY RIVER,3,h,Conrad Lugauer,2140.0,0,2140.0,3.0,9.0,3.0,19.46,4.62,16437.0,2021-09-15,Solvalla-8,Conrad Lugauer,4.0,2140.0,10.0,4.76,100.0,13.5,2021-08-26,Kalmar-2,Conrad Lugauer,4.0,2140.0,10.0,20.69,40.0,13.9,2021-08-02,Mantorp-7,Conrad Lugauer,15.0,2140.0,10.0,7.19,110.0,15.2,2021-07-16,Axevalla-1,Conrad Lugauer,15.0,2140.0,10.0,15.43,40.0,14.4,2021-07-01,Åby-3,Conrad Lugauer,15.0,2140.0,10.0,3.4,50.0,15.6,17,1,1,1,1,0,2446.919322642204,1547.5676620451568,10.488088481701515,6.324555320336759,7.071067811865476,24.0,20.0,24.0,17.0,15.0,0.025039586778070506,-0.02777517016786283,False,-0.0,7,15
2021-10-09,ÅBY,2,10,CINTRA,3,s,Robert Bergh,2140.0,0,2140.0,2.0,10.0,2.0,31.19,4.86,46933.0,2021-09-29,Solvalla-10,Rikard N Skoglund,4.0,2140.0,7.0,5.21,100.0,13.2,2021-09-20,Halmstad-4,Robert Bergh,1.0,2140.0,7.0,2.45,40.0,13.3,2021-09-10,Solvalla-12,Robert Bergh,5.0,2140.0,7.0,4.69,150.0,13.2,2021-08-25,Solvalla-9,Torbjörn Jansson,5.0,2140.0,7.0,24.02,100.0,13.6,2021-08-06,Romme-8,Robert Bergh,5.0,1640.0,7.0,33.09,100.0,12.9,21,1,1,1,1,1,2446.919322642204,6935.717076596412,1817.6825545790464,1484.131591025766,1484.131591025766,10.0,9.0,10.0,16.0,19.0,0.02185175645592038,-0.010547986622717562,False,-0.0,8,15
