bana,häst,kusk,streck,spår,dist,lopp_dist,start,ålder,kön,pris,h1_kusk,h1_bana,h1_spår,h1_plac,h1_pris,h1_odds,h1_kmtid,h2_kusk,h2_bana,h2_spår,h2_plac,h2_pris,h2_odds,h2_kmtid,h3_kusk,h3_bana,h3_spår,h3_plac,h3_pris,h3_odds,h3_kmtid,h4_kusk,h4_bana,h4_spår,h4_plac,h4_pris,h4_odds,h4_kmtid,h5_kusk,h5_bana,h5_spår,h5_plac,h5_pris,h5_odds,h5_kmtid,h1_dist,h2_dist,h3_dist,h4_dist,h5_dist,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4,rel_kr,streck_avst,rel_rank,h1_samma_bana,h2_samma_bana,h3_samma_bana,h1_samma_kusk,h2_samma_kusk,h3_samma_kusk,probat1,probat2,probat3,probat4,meta2_ridge,meta3_knn,meta4_et,datum,avd,y,välj,spik,proba
0.08235294117667782,0.14445394287164492,0.1371539517398829,27.0,4.0,3160.0,3140.0,1,7,0.08214120904476234,100000.0,0.14233317499313905,0.12499996730645907,1.0,1.0,200.0,5.73,12.3,0.10248563134793834,0.11111110407270107,1.0,2.0,110.0,10.0,13.3,0.10464414217906678,0.11868131868131868,1.0,2.0,30.0,3.59,11.6,0.16393178948528428,0.05333391827833871,1.0,2.0,0.0,2.2,13.1,0.13242704235221625,0.06584918233754068,1.0,2.0,0.0,1.9,13.4,2140.0,2140.0,1640.0,1640.0,1900.0,1,1,1,1,1,15508.73485597569,6976.064300232708,3643.130763542206,0.0,0.0,22.0,28.0,16.0,34.0,20.0,0.08478108261982278,7.0,0.15384615384615385,False,False,False,True,True,True,0.1622434183698825,0.13086289243299876,0.08477491381584476,0.17567488736814646,0.35645900961794985,0.0924157748004155,0.2710890031021553,2016-07-24,7.0,0,True,False,0.20747026827343076
0.08235294117667782,0.11328488133287734,0.12371798646278628,34.0,1.0,3140.0,3140.0,1,4,0.10677083333333333,100000.0,0.12371798646278628,0.09734513273017033,7.0,2.0,100.0,3.63,13.8,0.1475308491730034,0.0878378318876635,7.0,1.0,100.0,10.89,13.7,0.1475308491730034,0.05333391827833871,7.0,1.0,25.0,2.85,14.2,0.0979273672292458,0.11036036036036036,7.0,1.0,100.0,19.73,16.8,0.12371798646278628,0.10096153846153846,7.0,1.0,20.0,4.22,15.9,2140.0,2140.0,2140.0,2640.0,2640.0,0,0,1,1,0,6651.416330443618,10966.331584284586,5483.165792142293,10966.331584284586,4904.29257725266,17.0,11.0,23.0,20.0,25.0,0.17361383648494028,0.0,0.07692307692307693,False,False,False,True,True,True,0.2959034374447742,0.33322050910821455,0.07669342990267596,0.27180164737489,0.342677428604422,0.09689223063886741,0.2566819483578914,2016-07-24,7.0,1,True,False,0.20426310387805147
0.08235294117667782,0.14445394287164492,0.05246719169128664,38.0,2.0,2140.0,2140.0,0,4,0.07166947723440135,100000.0,0.12085853820696878,0.10179640053182824,2.0,15.0,50.0,1.5,16.5,0.07583491114462625,0.09400417388254512,2.0,1.0,70.0,2.49,13.7,0.06933130770962921,0.10306748466257669,2.0,1.0,80.0,8.1,13.5,0.10118767575131411,0.10066225165562914,2.0,1.0,80.0,11.78,13.0,0.0731070215345045,0.09647058823529411,2.0,1.0,100.0,2.75,15.0,2640.0,2140.0,2140.0,2140.0,2140.0,1,1,1,1,1,7.071067811865476,9175.091274289012,9808.58515450532,9808.58515450532,10966.331584284586,9.0,20.0,17.0,21.0,19.0,0.4658380901498749,0.0,0.08333333333333333,True,False,False,True,True,True,0.3339361762709369,0.4599119801333421,0.1663204778278303,0.30995083265582907,0.314249547163749,0.08898606016480806,0.26771038131023345,2016-07-24,4.0,0,True,False,0.19562331646497869
0.08235294117667782,0.12393601496371369,0.1597219172846228,14.0,1.0,2640.0,2640.0,0,4,0.07166947723440135,1000000.0,0.08570850085543662,0.10179640053182824,7.0,1.0,50.0,1.92,14.7,0.04741221277242112,0.0878378318876635,7.0,1.0,25.0,1.21,14.6,0.1613513641934721,0.10306748466257669,7.0,5.0,80.0,1.79,13.7,0.13636355957464086,0.11036036036036036,7.0,5.0,929.0,3.34,13.1,0.13194214963071718,0.09647058823529411,7.0,5.0,100.0,1.73,15.0,2640.0,2180.0,2140.0,2140.0,2140.0,1,0,1,1,1,7754.367427987845,5483.165792142293,1327.447650035412,4523.559077029439,1484.131591025766,9.0,13.0,24.0,25.0,15.0,0.46021197655278334,25.0,0.16666666666666666,True,False,False,False,False,False,0.13493089816651607,0.17072058994326222,0.17343239019766188,0.10875579559075367,0.3050759908081854,0.10915916639361806,0.20598853179324467,2016-07-24,6.0,0,True,False,0.19000736168456475
0.08235294117667782,0.07005188630649199,0.1415094337061762,46.0,3.0,1640.0,1640.0,0,7,0.08214120904476234,100000.0,0.12592551826114315,0.07425250711081259,2.0,2.0,125.0,6.44,14.9,0.12280394671306562,0.08000001284446216,2.0,5.0,220.0,8.93,13.0,0.1455695594300584,0.03492572083042887,2.0,2.0,125.0,4.13,13.7,0.13636355957464086,0.04734567514927526,2.0,2.0,0.0,4.1,13.4,0.09999935001941593,0.09090906711943396,2.0,2.0,125.0,2.07,13.2,2640.0,2140.0,2140.0,2000.0,2100.0,0,1,1,1,1,7436.509530762067,2201.322892003233,7436.509530762067,0.0,7436.509530762067,8.0,14.0,14.0,34.0,8.0,0.1991617958764211,0.0,0.1111111111111111,False,False,False,False,False,True,0.36843917243949353,0.4009873035568058,0.13380402794856927,0.3631713510212814,0.3136148468228286,0.07916627072699979,0.2629251330993757,2016-07-24,1.0,1,True,False,0.18689153656459695
0.08235294117667782,0.06733236480675418,0.15053763440823598,60.0,5.0,1640.0,1640.0,0,6,0.07166947723440135,100000.0,0.0986547085003717,0.07005188630649199,7.0,3.0,125.0,7.06,12.2,0.025332456403283635,0.10305953974631436,7.0,15.0,700.0,40.96,30.0,0.10243902423545705,0.10306748466257669,7.0,4.0,200.0,3.0,10.3,0.14093945928095822,0.11111047754924167,7.0,4.0,100.0,1.71,13.0,0.15094333625299203,0.01405616011269609,7.0,4.0,100.0,1.45,14.0,2140.0,2140.0,1609.0,2100.0,2160.0,1,1,1,1,0,4510.4710316524015,26.457513110645905,3460.466492113392,2446.919322642204,2446.919322642204,11.0,32.0,14.0,21.0,15.0,0.1583189114647019,0.0,0.1,False,False,False,False,False,True,0.5257743115109428,0.40577858344996176,0.1518187676302384,0.6189659757800173,0.2988399140762933,0.05981461350062259,0.25559001256095565,2016-07-24,3.0,0,True,False,0.16593191588497752
0.08235294117667782,0.08568257491675915,0.12478429285403658,39.0,2.0,2640.0,2640.0,0,4,0.07166947723440135,1000000.0,0.08570850085543662,0.10179640053182824,12.0,1.0,50.0,1.98,14.6,0.19039362960795592,0.09840425531914894,12.0,3.0,35.0,3.76,11.6,0.1613513641934721,0.09289617426200386,12.0,1.0,60.0,1.7,14.5,0.04315626124591111,0.10066225165562914,12.0,1.0,80.0,7.47,13.2,0.06873318112843785,0.10096153846153846,12.0,1.0,35.0,1.38,13.8,2640.0,1640.0,2640.0,2140.0,2140.0,1,1,1,1,1,7754.367427987845,2386.7169291026403,8494.48391898452,9808.58515450532,6487.769258055282,9.0,17.0,23.0,18.0,50.0,0.11158419149609826,0.0,0.08333333333333333,True,False,True,False,True,True,0.2946456036406723,0.30182036750694263,0.11077513045113614,0.3070467302845828,0.299824532842539,0.07338202449196377,0.19920723340032712,2016-07-24,6.0,0,True,False,0.16365174967959412
0.08235294117667782,0.12393601496371369,0.15189866692606827,11.0,11.0,2140.0,2140.0,0,4,0.07166947723440135,100000.0,0.12426034198743233,0.10179640053182824,8.0,4.0,50.0,7.59,15.2,0.11731843181961937,0.12189616252821671,8.0,15.0,35.0,2.4,14.5,0.12359550040681662,0.11868131868131868,8.0,2.0,929.0,45.27,13.1,0.13939391230475193,0.11036036036036036,8.0,2.0,100.0,3.9,14.4,0.1286549588658276,0.09090906711943396,8.0,2.0,70.0,12.28,14.0,2640.0,2140.0,2140.0,2140.0,2100.0,1,1,1,1,1,1730.233246056696,5.916079783099617,20273.185274551382,6651.416330443618,5564.974163518141,9.0,15.0,47.0,15.0,15.0,0.13480583752776762,27.0,0.25,True,False,False,True,True,True,0.10872722856263935,0.09723808616279568,0.05670794983800952,0.09713086838397332,0.29922645612981347,0.07865266251429179,0.18385213247711124,2016-07-24,4.0,0,True,False,0.1629523756948985
0.08235294117667782,0.08568257491675915,0.20224717498934158,15.0,4.0,2140.0,2140.0,1,4,0.08214120904476234,100000.0,0.13586956143155687,0.12499996730645907,5.0,1.0,25.0,1.68,17.4,0.14285712149502056,0.12189616252821671,5.0,1.0,25.0,4.05,14.7,0.07005188630649199,0.08391609195666294,5.0,15.0,30.0,4.14,19.3,0.13636355957464086,0.11036036036036036,5.0,15.0,30.0,2.68,18.4,0.1493505528844874,0.08205128214246378,5.0,15.0,50.0,2.5,18.5,2160.0,2140.0,2140.0,2640.0,2140.0,0,0,1,0,0,5483.165792142293,5483.165792142293,5.47722557505166,5.47722557505166,7.071067811865476,22.0,30.0,10.0,163.0,23.0,0.1116210538189304,21.0,0.13333333333333333,False,False,False,True,True,False,0.12717941873813085,0.12858421679126555,0.10628088967825478,0.1122589168583314,0.31622665980405684,0.0769887753124475,0.1743556693657518,2016-07-24,2.0,0,True,False,0.1619150886005132
0.08235294117667782,0.08568257491675915,0.15053763440823598,36.0,2.0,2140.0,2140.0,1,4,0.10677083333333333,100000.0,0.08568257491675915,0.045600296102214936,0.0,1.0,0.0,1.8,14.5,0.08568257491675915,0.09554139020789397,0.0,1.0,0.0,2.8,16.2,0.08568257491675915,0.0756307564476361,0.0,1.0,0.0,3.7,15.6,0.08568257491675915,0.07826142505186465,0.0,1.0,0.0,4.2,30.0,0.08568257491675915,0.07272887134129317,0.0,1.0,0.0,2.8,16.7,2100.0,2100.0,2100.0,2100.0,2100.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,16.0,9.0,21.0,133.0,32.0,0.06723488854109386,0.0,0.06666666666666667,False,False,False,False,False,False,0.28075319589752,0.2793672252690198,0.12023412578298738,0.3163573105171591,0.2827473521677954,0.0750546369956674,0.1934423024566353,2016-07-24,2.0,0,True,False,0.16011886737307252
