datum,bana,avd,startnr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,kr,plac,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4
2022-08-20,örebro,6,1,lollo trot,3,s,kim eriksson,1609.0,0,1609.0,1000000.0,1.0,5.0,16.96,3.19,30806.0,15,2022-08-04,gävle-4,kim eriksson,1.0,1640.0,5.0,2.77,100.0,12.6,2022-07-22,axevalla-7,kim eriksson,3.0,2140.0,5.0,20.55,100.0,13.4,2022-07-01,eskilstuna-6,kim eriksson,1.0,2140.0,5.0,4.3,100.0,13.7,2022-06-16,bergsåker-9,kim eriksson,1.0,2140.0,5.0,48.26,100.0,14.0,2022-05-29,solvalla-8,kim eriksson,1.0,2140.0,5.0,102.58,1000.0,13.7,16,1,1,1,1,1,10966.331584284586,4034.287934927351,10966.331584284586,10966.331584284586,34678.585382982055,16.0,13.0,21.0,15.0,18.0
2022-08-20,örebro,6,2,jewilla,3,s,mats e djuse,1609.0,0,1609.0,1000000.0,2.0,16.0,5.34,1.93,61625.0,5,2022-08-04,gävle-6,mats e djuse,1.0,1640.0,4.0,2.36,100.0,12.0,2022-07-25,solvalla-6,örjan kihlström,2.0,2140.0,4.0,1.58,100.0,14.3,2022-07-05,solvalla-6,mats e djuse,2.0,2140.0,4.0,11.95,300.0,13.0,2022-06-16,bergsåker-9,mats e djuse,2.0,2140.0,4.0,4.32,100.0,14.1,2022-05-29,solvalla-8,mats e djuse,2.0,2140.0,4.0,5.27,1000.0,13.4,5,1,1,1,1,1,10966.331584284586,6651.416330443618,11520.591026621687,6651.416330443618,21033.625270240995,16.0,10.0,20.0,19.0,18.0
2022-08-20,örebro,6,3,dea grif,3,s,santtu raitala,1609.0,0,1609.0,1000000.0,3.0,22.0,3.79,1.61,80722.0,1,2022-08-04,gävle-10,santtu raitala,1.0,1640.0,2.0,1.41,100.0,11.3,2022-07-02,eskilstuna-7,matthieu abrivard,20.0,2140.0,2.0,5.04,1000.0,30.0,2022-06-16,bergsåker-3,örjan kihlström,2.0,2140.0,2.0,1.25,100.0,13.9,2022-05-29,solvalla-2,matthieu abrivard,2.0,1640.0,2.0,5.38,400.0,11.2,2022-05-11,jägersro-3,gustav johansson,2.0,2140.0,2.0,5.16,100.0,13.9,3,1,1,1,1,1,10966.331584284586,2.595755573833073,6651.416330443618,13302.832660887236,6651.416330443618,16.0,33.0,16.0,18.0,18.0
2022-08-20,örebro,6,4,beat it,3,s,örjan kihlström,1609.0,0,1609.0,1000000.0,4.0,25.0,3.5,1.47,49315.0,20,2022-08-04,gävle-8,örjan kihlström,1.0,1640.0,4.0,2.36,100.0,11.1,2022-07-05,solvalla-6,örjan kihlström,3.0,2140.0,4.0,3.28,300.0,13.0,2022-06-25,rättvik-5,örjan kihlström,5.0,2140.0,4.0,18.7,110.0,14.3,2021-12-15,solvalla-9,mattias djuse,5.0,2140.0,4.0,8.38,200.0,16.1,2021-12-07,axevalla-7,magnus a djuse,5.0,1640.0,4.0,3.79,100.0,30.0,2,1,1,1,1,1,10966.331584284586,6987.5916756562965,1556.570344516668,2098.879024374998,1484.131591025766,16.0,30.0,10.0,192.0,8.0
2022-08-20,örebro,6,5,o'mara zon,3,s,daniel wäjersten,1609.0,0,1609.0,1000000.0,5.0,12.0,10.03,2.59,54500.0,2,2022-08-04,gävle-3,daniel wäjersten,1.0,1640.0,9.0,4.36,100.0,12.4,2022-07-25,solvalla-6,daniel wäjersten,1.0,2140.0,9.0,4.56,100.0,13.9,2022-06-25,rättvik-5,ulf ohlsson,2.0,2140.0,9.0,13.34,110.0,14.0,2022-06-16,bergsåker-7,daniel wäjersten,2.0,2140.0,9.0,4.04,100.0,18.8,2022-05-30,bollnäs-6,daniel wäjersten,2.0,2140.0,9.0,3.23,25.0,15.4,11,1,1,1,1,1,10966.331584284586,10966.331584284586,6976.064300232707,6651.416330443618,3325.708165221809,16.0,10.0,30.0,9.0,17.0
2022-08-20,örebro,6,6,decision maker,3,s,björn goop,1609.0,0,1609.0,1000000.0,6.0,18.0,4.72,1.81,23375.0,15,2022-08-04,gävle-10,mats e djuse,2.0,1640.0,6.0,17.32,100.0,11.4,2022-07-17,solvalla-5,mats e djuse,5.0,2140.0,6.0,20.51,60.0,14.2,2022-07-05,solvalla-6,magnus a djuse,5.0,2140.0,6.0,26.69,300.0,13.3,2022-06-16,bergsåker-5,mats e djuse,5.0,2140.0,6.0,42.43,100.0,15.1,2022-05-30,bollnäs-3,tomas pettersson,5.0,2140.0,6.0,11.37,40.0,30.0,4,1,1,1,1,1,6651.416330443618,1149.6033871246218,2570.5913207746607,1484.131591025766,938.6472350101867,16.0,18.0,12.0,19.0,17.0
2022-08-20,örebro,6,7,caradja,3,s,ulf ohlsson,1609.0,0,1609.0,1000000.0,7.0,0.0,73.05,9.27,19333.0,3,2022-08-04,gävle-4,örjan kihlström,2.0,1640.0,7.0,26.41,100.0,12.7,2022-07-02,eskilstuna-7,daniel wäjersten,15.0,2140.0,7.0,160.03,1000.0,14.0,2022-06-16,bergsåker-7,örjan kihlström,3.0,2140.0,7.0,61.66,100.0,13.6,2022-05-30,bollnäs-3,daniel wäjersten,3.0,2140.0,7.0,14.8,40.0,16.4,2022-05-12,bergsåker-4,jessika sidbäck,3.0,2160.0,7.0,47.71,50.0,15.9,28,1,1,1,1,0,6651.416330443618,31.622776601683793,4034.287934927351,2551.5077222615173,2852.6723560462033,16.0,33.0,16.0,17.0,18.0
2022-08-20,örebro,6,8,independence day,3,s,oskar kylin blom,1609.0,0,1609.0,1000000.0,8.0,1.0,40.42,6.33,26750.0,15,2022-08-04,gävle-8,oskar kylin blom,2.0,1640.0,3.0,6.74,100.0,11.3,2022-07-21,visby-2,oskar kylin blom,2.0,2160.0,3.0,2.34,40.0,14.5,2022-06-16,bergsåker-3,oskar kylin blom,8.0,2140.0,3.0,15.86,100.0,14.7,2022-05-21,gävle-3,oskar kylin blom,8.0,2140.0,3.0,9.65,40.0,14.4,2022-05-09,romme-2,oskar kylin blom,8.0,2140.0,3.0,4.11,40.0,16.4,24,1,0,1,1,0,6651.416330443618,4206.725054048198,331.15451958692313,209.44050787070378,209.44050787070378,16.0,14.0,35.0,26.0,12.0
2022-08-20,örebro,6,9,crazy life,3,s,per lennartsson,1609.0,0,1609.0,1000000.0,9.0,0.0,67.7,10.32,12240.0,4,2022-08-04,gävle-3,örjan kihlström,2.0,1640.0,4.0,27.82,100.0,12.7,2022-07-25,solvalla-2,per lennartsson,5.0,2140.0,4.0,64.84,60.0,14.6,2022-07-17,solvalla-7,mats e djuse,6.0,2140.0,4.0,54.59,40.0,14.3,2022-07-04,mantorp-10,carl johan jepson,6.0,2140.0,4.0,20.29,40.0,15.7,2022-06-13,solvalla-7,örjan kihlström,6.0,2140.0,4.0,6.74,100.0,16.1,28,1,1,1,0,1,6651.416330443618,1149.6033871246218,569.3183266881678,569.3183266881678,900.1713130052182,16.0,10.0,8.0,13.0,21.0
2022-08-20,örebro,6,10,brilliant minds,3,s,mika forss,1609.0,0,1609.0,1000000.0,10.0,1.0,56.77,8.84,18857.0,6,2022-08-04,gävle-6,örjan kihlström,2.0,1640.0,3.0,13.9,100.0,12.2,2022-07-23,axevalla-12,mika forss,5.0,2140.0,3.0,11.38,50.0,15.4,2022-07-15,axevalla-2,mika forss,4.0,2140.0,3.0,15.18,40.0,17.3,2022-06-26,kalmar-2,mika forss,4.0,2140.0,3.0,5.51,40.0,15.0,2022-06-14,jägersro-1,mika forss,4.0,2140.0,3.0,8.04,50.0,16.2,27,1,1,0,1,0,6651.416330443618,1049.439512187499,1547.5676620451568,1547.5676620451568,1730.2332460566959,16.0,12.0,8.0,19.0,12.0
