datum,bana,avd,häst,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_kmtid,h1_odds,h1_pris,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_kmtid,h2_odds,h2_pris,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_kmtid,h3_odds,h3_pris,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_kmtid,h4_odds,h4_pris,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_kmtid,h5_odds,h5_pris
2020-02-15 00:00:00,MANTORP,4,LYX HÅLERYD,210227,Romme,Rikard N Skoglund,4,2660,4,"14,8","5,57",110',210219,Romme,Rikard N Skoglund,3,1660,2,"13,6","3,35",35',210206,Solvalla,Rikard N Skoglund,2,2160,9,"14,5","12,22",220',210130,Eskilstuna,Rikard N Skoglund,2,2160,3,"14,4","11,84",110',210102,Kalmar,Rikard N Skoglund,5,2160,7,"14,4","6,77",110'
2019-12-14 00:00:00,BERGSÅKER,7,ISLAND LIFE,210305,Solvalla,Robert Bergh,2,2140,8,"14,2a","4,62",40',210202,Cagnes sur Mer,Dominik Locqueneux,2,2925,,"13,6","59,00",,201119,Åby,Robert Bergh,3,2200,1,"13,7g","1,39",25',201114,Romme,Robert Bergh,2,1640,7,"11,2a","14,90",125',201028,Åby,Stefan Persson,0,2180,2,"13,0","12,00",150'
2019-12-07 00:00:00,ÅBY,7,NIGHT BRODDE,210220,Mantorp,Conrad Lugauer,8,2140,9,"17,6a","6,75",150',210206,Solvalla,Conrad Lugauer,1,2140,9,"13,4a","9,41",250',210116,Jägersro,Conrad Lugauer,1,2140,4,"12,9","5,60",125',201226,Solvalla,Marc Elias,3,2140,2,"12,1a","4,72",250',201205,Åby,Marc Elias,7,2640,2,"14,0a","3,77",125'
2019-12-01 00:00:00,ÖREBRO,7,ANTONIO TROT,210224,Solvalla,Claes Sjöström,1,2160,2,"12,8","2,86",100',210206,Solvalla,Claes Sjöström,1,2140,5,"12,4a","4,74",300',210123,Bollnäs,Claes Sjöström,4,2140,11,"13,4a","7,60",150',210109,Bergsåker,Erik Adielsson,3,2140,5,"12,4a","3,62",150',201212,Bergsåker,Jorma Kontio,7,2640,6,"15,0ag","2,38",150'
2019-11-30 00:00:00,GÄVLE,6,GLOBAL WINNER,210227,Romme,Mika Forss,0,2140,6,"13,7ag","5,32",110',210203,Solvalla,Mika Forss,1,1640,7,"12,5a","5,43",60',210113,Solvalla,Mika Forss,2,2140,4,"13,6a","1,96",60',201128,Solvalla,Mika Forss,4,2140,2,"11,7a","23,85",220',201114,Romme,Mika Forss,6,2140,1,"12,9a","5,04",110'
2019-11-09 00:00:00,ESKILSTUNA,1,MR CLAYTON J.F.,210306,Åby,Örjan Kihlström,0,2140,6,ug,"5,04",125',210220,Mantorp,Örjan Kihlström,3,2140,6,"16,4a","13,94",125',210206,Solvalla,Jorma Kontio,d,2140,3,uag,"35,46",250',210123,Bollnäs,Erik Adielsson,8,1640,4,"13,7a","6,00",125',210109,Bergsåker,Erik Adielsson,3,2140,4,"13,1a","14,16",125'
2019-11-09 00:00:00,ESKILSTUNA,7,ISLAND LIFE,210305,Solvalla,Robert Bergh,2,2140,8,"14,2a","4,62",40',210202,Cagnes sur Mer,Dominik Locqueneux,2,2925,,"13,6","59,00",,201119,Åby,Robert Bergh,3,2200,1,"13,7g","1,39",25',201114,Romme,Robert Bergh,2,1640,7,"11,2a","14,90",125',201028,Åby,Stefan Persson,0,2180,2,"13,0","12,00",150'
2019-11-02 00:00:00,SOLVALLA,6,MCGARRET,210306,Åby,Mikael J Andersson,5,1640,12,"11,3a","55,48",110',210220,Mantorp,Mikael J Andersson,0,3180,4,"19,5","6,85",100',210126,Örebro,Mikael J Andersson,1,2100,4,"13,6a","2,77",25',210114,Örebro,Mikael J Andersson,1,2100,3,"15,3a","6,68",25',201228,Romme,Mikael J Andersson,7,2680,4,"16,9","4,51",100'
2019-11-02 00:00:00,SOLVALLA,7,ELIAN WEB,210130,Eskilstuna,Jorma Kontio,0,2140,7,ua,"8,78",150',201226,Solvalla,Jorma Kontio,3,2140,5,"12,2a","17,72",300',201216,Solvalla,Jorma Kontio,5,2140,11,"13,3a","6,73",100',201121,Jägersro,Jorma Kontio,2,2140,2,"14,3a","1,68",150',201029,Gävle,Jorma Kontio,1,1640,7,"11,6","2,38",50'
2019-10-12 00:00:00,ÅBY,7,DISCO VOLANTE,210227,Romme,Ulf Ohlsson,1,1640,7,"11,0a","1,77",150',210220,Mantorp,Ulf Ohlsson,3,2140,3,"15,9a","1,85",150',210206,Solvalla,Örjan Kihlström,4,2140,11,"12,6a","4,38",300',210123,Bollnäs,Ulf Ohlsson,1,2140,2,"13,3a","1,78",150',210109,Bergsåker,Ulf Ohlsson,1,2140,11,"12,2a","3,47",150'
